GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	topGOresult	p_raw	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	ontology	algorithm	statistic	Members_n	Members
GO:0040022	feminization of hermaphroditic germ-line	8	1	0.01	100	0.00780	0.0078	1	1	1	1	1	1	1	0.0078	BP	weight01	fisher	1	N0.HOG0000028
GO:0008611	ether lipid biosynthetic process	8	1	0.01	100	0.00780	0.0078	1	1	1	1	1	1	1	0.0078	BP	weight01	fisher	1	N0.HOG0000639
GO:0042587	glycogen granule	8	1	0.01	100	0.00800	0.008	1	1	1	1	1	1	1	0.008	CC	weight01	fisher	1	N0.HOG0000639
GO:0071329	cellular response to sucrose stimulus	9	1	0.01	100	0.00877	0.00877	1	1	1	1	1	1	1	0.00877	BP	weight01	fisher	1	N0.HOG0000639
GO:0016125	sterol metabolic process	98	2	0.1	20	0.00929	0.00929	1	1	1	1	1	1	1	0.00929	BP	weight01	fisher	2	N0.HOG0000101;N0.HOG0000639
GO:0006121	mitochondrial electron transport, succinate to ubiquinone	10	1	0.01	100	0.00974	0.00974	1	1	1	1	1	1	1	0.00974	BP	weight01	fisher	1	N0.HOG0000158
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	9	1	0.01	100	0.00996	0.00996	1	1	1	1	1	1	1	0.00996	MF	weight01	fisher	1	N0.HOG0000158
GO:0045283	fumarate reductase complex	10	1	0.01	100	0.00999	0.00999	1	1	1	1	1	1	1	0.00999	CC	weight01	fisher	1	N0.HOG0000158
GO:0045273	respiratory chain complex II (succinate dehydrogenase)	10	1	0.01	100	0.00999	0.00999	1	1	1	1	1	1	1	0.00999	CC	weight01	fisher	1	N0.HOG0000158
GO:0090557	establishment of endothelial intestinal barrier	11	1	0.01	100	0.01070	0.0107	1	1	1	1	1	1	1	0.0107	BP	weight01	fisher	1	N0.HOG0000639
GO:0070402	NADPH binding	10	1	0.01	100	0.01106	0.01106	1	1	1	1	1	1	1	0.01106	MF	weight01	fisher	1	N0.HOG0000639
GO:0008177	succinate dehydrogenase (quinone) activity	10	1	0.01	100	0.01106	0.01106	1	1	1	1	1	1	1	0.01106	MF	weight01	fisher	1	N0.HOG0000158
GO:0004312	fatty acid synthase activity	10	1	0.01	100	0.01106	0.01106	1	1	1	1	1	1	1	0.01106	MF	weight01	fisher	1	N0.HOG0000639
GO:0000786	nucleosome	12	1	0.01	100	0.01198	0.01198	1	1	1	1	1	1	1	0.01198	CC	weight01	fisher	1	N0.HOG0000103
GO:0008395	steroid hydroxylase activity	11	1	0.01	100	0.01216	0.01216	1	1	1	1	1	1	1	0.01216	MF	weight01	fisher	1	N0.HOG0000101
GO:0006089	lactate metabolic process	13	1	0.01	100	0.01264	0.01264	1	1	1	1	1	1	1	0.01264	BP	weight01	fisher	1	N0.HOG0000639
GO:0051539	4 iron, 4 sulfur cluster binding	12	1	0.01	100	0.01326	0.01326	1	1	1	1	1	1	1	0.01326	MF	weight01	fisher	1	N0.HOG0000158
GO:0048039	ubiquinone binding	12	1	0.01	100	0.01326	0.01326	1	1	1	1	1	1	1	0.01326	MF	weight01	fisher	1	N0.HOG0000158
