Comparison	Direction	GO ID	GO term	Annotated HOGs	Foreground HOGs	Expected HOGs	Fold enrichment	weight01 P	Contributing HOGs	Contributing consensus HOG names
Polistes L4 to Vespula L2	Concordant up	GO:0045944	positive regulation of transcription by RNA polymerase II	610	18	4.96	3.63	8.2e-7	N13.HOG0001538; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003585; N13.HOG0003957; N13.HOG0004754; N13.HOG0005004; N13.HOG0005090; N13.HOG0005197; N13.HOG0006185; N13.HOG0006961; N13.HOG0007312; N13.HOG0008726; N13.HOG0009018; N13.HOG0009652; N13.HOG0010029; N13.HOG0010318	krz; homeobox protein araucan; Chi; transcription factor Sox-8-like / sex-determining region Y protein-like; br; hth; Ecr; ss; Ptx1; mu2; glycogen synthase kinase-3 beta; phosphoenolpyruvate carboxykinase [GTP]; Tnks; Pits; ski oncogene; forkhead box protein D2-like / fork head domain transcription factor slp1-like; Hr39; scalloped
Polistes L4 to Vespula L2	Concordant up	GO:0045912	negative regulation of carbohydrate metabolic process	27	4	0.22	18.2	6e-5	N13.HOG0006185; N13.HOG0006537; N13.HOG0006961; N13.HOG0008458	glycogen synthase kinase-3 beta; midnolin-like / midnolin-A-like; phosphoenolpyruvate carboxykinase [GTP]; AP-2alpha
Polistes L4 to Vespula L2	Concordant up	GO:0060562	epithelial tube morphogenesis	532	15	4.33	3.46	1.3e-4	N13.HOG0000655; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0005004; N13.HOG0005090; N13.HOG0006185; N13.HOG0008057; N13.HOG0009018; N13.HOG0009263; N13.HOG0010318; N13.HOG0010831	protein bric-a-brac 2-like / protein bric-a-brac 1-like; homeobox protein araucan; Chi; transcription factor Sox-8-like / sex-determining region Y protein-like; hth; Ecr; Psq; ss; Ptx1; glycogen synthase kinase-3 beta; sfl; ski oncogene; nmo; scalloped; uncharacterized (LOC107063880 / LOC127066682)
Polistes L4 to Vespula L2	Concordant up	GO:0001541	ovarian follicle development	33	4	0.27	14.8	1.4e-4	N13.HOG0001538; N13.HOG0005004; N13.HOG0006201; N13.HOG0009652	krz; ss; Actbeta; forkhead box protein D2-like / fork head domain transcription factor slp1-like
Polistes L4 to Vespula L2	Concordant up	GO:0051674	localization of cell	594	14	4.83	2.9	2.2e-4	N13.HOG0000187; N13.HOG0001538; N13.HOG0002885; N13.HOG0003345; N13.HOG0003843; N13.HOG0004032; N13.HOG0004754; N13.HOG0005090; N13.HOG0005862; N13.HOG0006185; N13.HOG0007424; N13.HOG0008057; N13.HOG0009018; N13.HOG0009354	Dhc16F; krz; transcription factor Sox-8-like / sex-determining region Y protein-like; Awh; Shrm; jvl; Ecr; Ptx1; capt; glycogen synthase kinase-3 beta; Pdk1; sfl; ski oncogene; amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Polistes L4 to Vespula L2	Concordant up	GO:0000122	negative regulation of transcription by RNA polymerase II	456	12	3.71	3.23	2.4e-4	N13.HOG0003585; N13.HOG0003957; N13.HOG0004754; N13.HOG0005004; N13.HOG0005090; N13.HOG0005532; N13.HOG0006218; N13.HOG0008726; N13.HOG0009018; N13.HOG0009652; N13.HOG0009822; N13.HOG0010525	br; hth; Ecr; ss; Ptx1; mub; Mad; Pits; ski oncogene; forkhead box protein D2-like / fork head domain transcription factor slp1-like; LKRSDH; DDB1- and CUL4-associated factor 11
Polistes L4 to Vespula L2	Concordant up	GO:0048813	dendrite morphogenesis	223	10	1.81	5.52	2.8e-4	N13.HOG0002503; N13.HOG0002535; N13.HOG0003585; N13.HOG0004754; N13.HOG0005004; N13.HOG0006185; N13.HOG0006201; N13.HOG0008444; N13.HOG0009018; N13.HOG0009616	homeobox protein araucan; Chi; br; Ecr; ss; glycogen synthase kinase-3 beta; Actbeta; Ptp99A; ski oncogene; zinc finger protein 497
Polistes L4 to Vespula L2	Concordant up	GO:0002088	lens development in camera-type eye	45	4	0.37	10.8	4.6e-4	N13.HOG0003843; N13.HOG0003957; N13.HOG0005090; N13.HOG0009018	Shrm; hth; Ptx1; ski oncogene
Polistes L4 to Vespula L2	Concordant up	GO:0048593	camera-type eye morphogenesis	79	5	0.64	7.81	4.9e-4	N13.HOG0002885; N13.HOG0003843; N13.HOG0003957; N13.HOG0005090; N13.HOG0009018	transcription factor Sox-8-like / sex-determining region Y protein-like; Shrm; hth; Ptx1; ski oncogene
Polistes L4 to Vespula L2	Concordant up	GO:0071390	cellular response to ecdysone	23	3	0.19	15.8	8.1e-4	N13.HOG0003585; N13.HOG0004754; N13.HOG0009822	br; Ecr; LKRSDH
Polistes L4 to Vespula L2	Concordant up	GO:0010628	positive regulation of gene expression	1095	19	8.91	2.13	0.0013	N13.HOG0001538; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003585; N13.HOG0003957; N13.HOG0004754; N13.HOG0005004; N13.HOG0005090; N13.HOG0005197; N13.HOG0005551; N13.HOG0006185; N13.HOG0006961; N13.HOG0007312; N13.HOG0008726; N13.HOG0009018; N13.HOG0009652; N13.HOG0010029; N13.HOG0010318	krz; homeobox protein araucan; Chi; transcription factor Sox-8-like / sex-determining region Y protein-like; br; hth; Ecr; ss; Ptx1; mu2; Dora; glycogen synthase kinase-3 beta; phosphoenolpyruvate carboxykinase [GTP]; Tnks; Pits; ski oncogene; forkhead box protein D2-like / fork head domain transcription factor slp1-like; Hr39; scalloped
