Stage	HOGs	Robust_slope	SE	CI_95_lower	CI_95_upper	P_value	Bonferroni_P
L1	5599	0.004199923800915897	0.004274016388413369	-0.0041769943897082586	0.012576841991540053	0.32577263149138486	1
L2	5599	0.2161450851760437	0.014198437795288229	0.1883166584605465	0.2439735118915409	2.4824633583353028e-52	1.4894780150011816e-51
L3	5599	0.08742019022133553	0.009975721855564173	0.06786813466464067	0.10697224577803038	1.8962512636218718e-18	1.137750758173123e-17
L4	5599	-0.04921212632260608	0.0032770944322876453	-0.0556351133838266	-0.04278913926138556	5.682198724145955e-51	3.409319234487573e-50
L5	5599	-0.3253767190460371	0.027832613973989836	-0.37992764003066337	-0.2708257980614108	1.4257235337448818e-31	8.554341202469291e-31
P	5599	1.1830360725190823	0.035468413470564585	1.1135192595280003	1.2525528855101642	6.239859748096898e-244	3.7439158488581385e-243
