Node	HOG	change	pvalue	direction	source
21	N0.HOG0000274	1	0.0306238	expansion	main_model
21	N0.HOG0000350	1	0.0306238	expansion	main_model
21	N0.HOG0000382	1	0.0306238	expansion	main_model
21	N0.HOG0000947	1	0.0306238	expansion	main_model
21	N0.HOG0000087	-1	0.0450356	contraction	main_model
21	N0.HOG0000435	-1	0.0450356	contraction	main_model
21	N0.HOG0000747	-1	0.0450356	contraction	main_model
21	N0.HOG0000949	-1	0.0450356	contraction	main_model
21	N0.HOG0001047	-1	0.0450356	contraction	main_model
21	N0.HOG0001118	-1	0.0450356	contraction	main_model
21	N0.HOG0001779	-1	0.0450356	contraction	main_model
21	N0.HOG0002822	-1	0.0450356	contraction	main_model
21	N0.HOG0006369	-1	0.0450356	contraction	main_model
21	N0.HOG0008864	-1	0.0450356	contraction	main_model
21	N0.HOG0008955	-1	0.0450356	contraction	main_model
21	N0.HOG0009015	-1	0.0450356	contraction	main_model
21	N0.HOG0009045	-1	0.0450356	contraction	main_model
21	N0.HOG0009060	-1	0.0450356	contraction	main_model
21	N0.HOG0009219	-1	0.0450356	contraction	main_model
21	N0.HOG0009245	-1	0.0450356	contraction	main_model
21	N0.HOG0009262	-1	0.0450356	contraction	main_model
21	N0.HOG0009277	-1	0.0450356	contraction	main_model
21	N0.HOG0009350	-1	0.0450356	contraction	main_model
21	N0.HOG0009401	-1	0.0450356	contraction	main_model
21	N0.HOG0009431	-1	0.0450356	contraction	main_model
21	N0.HOG0009534	-1	0.0450356	contraction	main_model
21	N0.HOG0009537	-1	0.0450356	contraction	main_model
21	N0.HOG0009546	-1	0.0450356	contraction	main_model
21	N0.HOG0009617	-1	0.0450356	contraction	main_model
21	N0.HOG0009638	-1	0.0450356	contraction	main_model
21	N0.HOG0009667	-1	0.0450356	contraction	main_model
21	N0.HOG0009701	-1	0.0450356	contraction	main_model
21	N0.HOG0009716	-1	0.0450356	contraction	main_model
21	N0.HOG0009720	-1	0.0450356	contraction	main_model
21	N0.HOG0009777	-1	0.0450356	contraction	main_model
21	N0.HOG0009794	-1	0.0450356	contraction	main_model
21	N0.HOG0009823	-1	0.0450356	contraction	main_model
21	N0.HOG0009832	-1	0.0450356	contraction	main_model
21	N0.HOG0009833	-1	0.0450356	contraction	main_model
21	N0.HOG0009942	-1	0.0450356	contraction	main_model
21	N0.HOG0009953	-1	0.0450356	contraction	main_model
21	N0.HOG0010017	-1	0.0450356	contraction	main_model
21	N0.HOG0010019	-1	0.0450356	contraction	main_model
21	N0.HOG0010046	-1	0.0450356	contraction	main_model
21	N0.HOG0010065	-1	0.0450356	contraction	main_model
21	N0.HOG0010226	-1	0.0450356	contraction	main_model
21	N0.HOG0010286	-1	0.0450356	contraction	main_model
21	N0.HOG0010294	-1	0.0450356	contraction	main_model
21	N0.HOG0010392	-1	0.0450356	contraction	main_model
21	N0.HOG0010401	-1	0.0450356	contraction	main_model
21	N0.HOG0010404	-1	0.0450356	contraction	main_model
21	N0.HOG0010467	-1	0.0450356	contraction	main_model
21	N0.HOG0010528	-1	0.0450356	contraction	main_model
21	N0.HOG0010685	-1	0.0450356	contraction	main_model
21	N0.HOG0010696	-1	0.0450356	contraction	main_model
21	N0.HOG0010772	-1	0.0450356	contraction	main_model
21	N0.HOG0010817	-1	0.0450356	contraction	main_model
21	N0.HOG0010971	-1	0.0450356	contraction	main_model
21	N0.HOG0010975	-1	0.0450356	contraction	main_model
21	N0.HOG0011073	-1	0.0450356	contraction	main_model
21	N0.HOG0011218	-1	0.0450356	contraction	main_model
21	N0.HOG0011236	-1	0.0450356	contraction	main_model
21	N0.HOG0011244	-1	0.0450356	contraction	main_model
21	N0.HOG0011366	-1	0.0450356	contraction	main_model
21	N0.HOG0011472	-1	0.0450356	contraction	main_model
21	N0.HOG0011493	-1	0.0450356	contraction	main_model
21	N0.HOG0011508	-1	0.0450356	contraction	main_model
21	N0.HOG0011809	-1	0.0450356	contraction	main_model
21	N0.HOG0011956	-1	0.0450356	contraction	main_model
21	N0.HOG0012216	-1	0.0450356	contraction	main_model
21	N0.HOG0012234	-1	0.0450356	contraction	main_model
21	N0.HOG0012643	-1	0.0450356	contraction	main_model
21	N0.HOG0012856	-1	0.0450356	contraction	main_model
21	N0.HOG0013281	-1	0.0450356	contraction	main_model
21	N0.HOG0013479	-1	0.0450356	contraction	main_model
21	N0.HOG0013842	-1	0.0450356	contraction	main_model
21	N0.HOG0013844	-1	0.0450356	contraction	main_model
21	N0.HOG0013846	-1	0.0450356	contraction	main_model
21	N0.HOG0013853	-1	0.0450356	contraction	main_model
21	N0.HOG0015154	-1	0.0450356	contraction	main_model
21	N0.HOG0015161	-1	0.0450356	contraction	main_model
21	N0.HOG0015305	-1	0.0450356	contraction	main_model
21	N0.HOG0015316	-1	0.0450356	contraction	main_model
21	N0.HOG0016968	-1	0.0450356	contraction	main_model
21	N0.HOG0017441	-1	0.0450356	contraction	main_model
