HOG	n_species_present	n_max	n_min	total_genes	differential	exclusion_reason	excluded
N0.HOG0000401	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000404	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000409	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000448	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000449	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000450	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000494	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000522	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000537	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000576	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000601	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000605	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000661	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000663	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000673	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000687	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000693	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000717	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000718	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000719	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000736	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000752	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000754	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000759	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000781	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000798	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000801	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000807	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000816	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000818	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000819	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000823	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000827	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000828	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000831	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000869	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000870	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000873	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000874	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000919	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000921	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000925	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000952	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000959	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000960	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000970	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000971	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000973	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000974	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000975	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000976	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000978	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000979	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0000980	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001031	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001032	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001034	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001044	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001057	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001058	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001066	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001101	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001105	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001106	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001153	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001156	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0001225	0	0	0	0	0	empty_after_subset	TRUE
