gene_dmel,symbol_dmel,description_dmel,genetype_dmel,highest_tissue_Female,highest_tissue_Larva,highest_tissue_Male,top_log2_enrich_Female,top_log2_enrich_Larva,top_log2_enrich_Male,tau_Female,tau_Larva,tau_Male
FBgn0000003,7SLRNA:CR32864,Signal recognition particle 7SL RNA CR32864,ncRNA,Midgut,Fat Body,Midgut,3.8560198906638683,1.1399681661383103,3.795311400182817,0.9605407248233399,0.6699024689584938,0.812433435256124
FBgn0000008,a,arc,PROTEIN_CODING,Ovary,Fat Body,Fat Body,0.30868544757450184,0.7043144181808809,2.0455139584691038,0.4997438524590164,0.7145922746781116,0.6586069210292813
FBgn0000014,abd-A,abdominal A,PROTEIN_CODING,Ganglion,Fat Body,Ganglion,1.3764731042682747,1.6273196204256488,0.5849622144722824,0.8409893992932862,0.9783001808318263,0.8010204081632654
FBgn0000015,Abd-B,Abdominal B,PROTEIN_CODING,Hindgut,Fat Body,Hindgut,2.8106206723027602,1.5000727148958448,0.5892370122773337,0.9372171945701357,0.7432659932659933,0.9084249084249084
FBgn0000017,Abl,Abl tyrosine kinase,PROTEIN_CODING,Ganglion,Midgut,Ganglion,0.9661373687285142,0.1647703510721772,0.4946897147799078,0.5525517938352703,0.2417400881057269,0.4076734693877551
FBgn0000018,ao,abnormal oocyte,PROTEIN_CODING,Ovary,Tubule,Tubule,0.39691235369202865,0.708483077703301,1.0556932820018443,0.5614014801110083,0.18980061349693242,0.3714686435584051
FBgn0000022,ac,achaete,PROTEIN_CODING,Ovary,Hindgut,Hindgut,0.6780664950501909,-2.733820556999768,-0.3625654994586091,0.921875,0.6195652173913044,0.7755102040816327
FBgn0000024,Ace,Acetylcholine esterase,PROTEIN_CODING,Ganglion,Midgut,Ganglion,4.4587022906865075,1.37499333427571,2.07222312215643,0.8437131547919825,0.7383011190233978,0.6813644870413429
FBgn0000028,acj6,abnormal chemosensory jump 6,PROTEIN_CODING,Brain,Fat Body,Brain,3.8810029986510717,0.3219208815744575,2.0310245267212412,0.9423076923076923,0.8500000000000001,0.9217325227963525
FBgn0000032,Acph-1,Acid phosphatase 1,PROTEIN_CODING,Ovary,Salivary Gland,Salivary Gland,0.5547302727734653,1.7526027288478145,0.8889286312923219,0.6590196078431373,0.7008452774715178,0.48594935356341484
FBgn0000036,nAChRalpha1,nicotinic Acetylcholine Receptor alpha1,PROTEIN_CODING,Ganglion,Fat Body,Brain,5.228406369560389,-1.8479760678928527,3.2155561600153426,0.8733683314415437,0.7,0.8643799472295515
FBgn0000037,mAChR-A,"muscarinic Acetylcholine Receptor, A-type",PROTEIN_CODING,Brain,Fat Body,Brain,5.1282979210027415,-1.1699049643729689,3.57568376287139,0.9104833219877467,0.5,0.9185588604943443
FBgn0000038,nAChRbeta1,nicotinic Acetylcholine Receptor beta1,PROTEIN_CODING,Ganglion,Salivary Gland,Brain,3.9706238718987916,-2.9541806037371825,2.0227511580251445,0.8810717372515126,0.84375,0.8485665694849368
FBgn0000039,nAChRalpha2,nicotinic Acetylcholine Receptor alpha2,PROTEIN_CODING,Brain,Fat Body,Brain,6.31686410668382,-4.115431902797591,3.6640069183304655,0.8784495735072755,0.75,0.8861229797510681
FBgn0000042,Act5C,Actin 5C,PROTEIN_CODING,Midgut,Salivary Gland,Midgut,2.3650014923907166,0.6972509575736858,2.6556541043080104,0.8022214068400373,0.40093278920629627,0.734518075393937
FBgn0000043,Act42A,Actin 42A,PROTEIN_CODING,Midgut,Midgut,Midgut,1.7618768226464248,0.6838334237254385,0.24502391609212423,0.8976956716752635,0.6930237743526855,0.7902270873352103
FBgn0000044,Act57B,Actin 57B,PROTEIN_CODING,Hindgut,Hindgut,Hindgut,2.0338784951941355,1.1559730006012916,0.9977118194689817,0.8690307229921522,0.9621596702462306,0.8675033231683477
FBgn0000045,Act79B,Actin 79B,PROTEIN_CODING,Ganglion,Tubule,Ganglion,2.6113697552762023,1.321920881454236,0.08625316935969594,0.9796963562753036,0.6583333333333333,0.9278269904347732
FBgn0000046,Act87E,Actin 87E,PROTEIN_CODING,Midgut,Hindgut,Midgut,1.0238248293032899,2.9975523804416278,-1.0225660566901627,0.7832973157415832,0.9801678908709339,0.7031003678402523
FBgn0000047,Act88F,Actin 88F,PROTEIN_CODING,Ganglion,Salivary Gland,Ganglion,5.379690183000103,3.7548541068932906,4.392717493383194,0.9949488146551724,0.9212962962962963,0.987570319309088
FBgn0000052,Pfas,Phosphoribosylformylglycinamidine synthase,PROTEIN_CODING,Eye,Fat Body,Fat Body,1.0598471701334897,2.0131603031319605,1.541229623963348,0.6957383548067393,0.9310797389330306,0.730849410605314
FBgn0000053,Gart,GART trifunctional enzyme,PROTEIN_CODING,Fat Body,Fat Body,Eye,1.1719600011991023,1.3550219014409959,1.4615369286535065,0.687701369311317,0.9213534107402032,0.6838706317379303
FBgn0000055,Adh,Alcohol dehydrogenase,PROTEIN_CODING,Fat Body,Fat Body,Fat Body,2.4272194881957603,3.090992030684647,1.3492055087683754,0.6211915105294176,0.943412534879458,0.6985507598055308
FBgn0000056,Adhr,Adh-related,PROTEIN_CODING,Midgut,Fat Body,Midgut,6.231997397705249,3.5673256948237957,-1.1473819726753476,0.8495011086474501,0.9505355182984521,0.9983388704318937
FBgn0000057,adp,adipose,PROTEIN_CODING,Tubule,Fat Body,Fat Body,0.5935244273336195,1.486558651000691,0.3289000215731469,0.29260355029585794,0.6953781512605042,0.3543224452315362
FBgn0000061,al,aristaless,PROTEIN_CODING,Eye,Midgut,Ganglion,-0.13750221222150774,0.7891612721025464,-2.192628976575411,0.775,0.9644670050761421,0.8163265306122449
FBgn0000063,Mps1,Monopolar spindle 1,PROTEIN_CODING,Ovary,Midgut,Brain,0.701496118354316,-0.9569299065640637,-0.04730566306891365,0.9154465592972182,0.47058823529411764,0.7285714285714285
FBgn0000064,Aldo,Aldolase,PROTEIN_CODING,Ganglion,Fat Body,Salivary Gland,1.3268648974646606,2.1644545868835845,0.5993218652350691,0.4832549775643194,0.8700228161307829,0.6009623222029079
FBgn0000071,Ama,Amalgam,PROTEIN_CODING,Ganglion,Fat Body,Ganglion,-0.3916866973059362,0.020177881442512154,6.312811729690706,0.893348623853211,0.827729044834308,0.9353099730458221
FBgn0000075,amd,alpha methyl dopa-resistant,PROTEIN_CODING,Hindgut,Hindgut,Hindgut,0.37703765728884314,2.832888291650097,2.1971049634380244,0.760434412265758,0.956140350877193,0.9351669941060904
FBgn0000077,amx,almondex,PROTEIN_CODING,Eye,Midgut,Salivary Gland,0.221138962608964,0.8089192278149819,1.0167754993921605,0.177477183833116,0.2807080924855492,0.11209744013212218
FBgn0000078,Amy-d,Amylase distal,PROTEIN_CODING,Midgut,Midgut,Midgut,4.606833127293224,3.3212332809001692,3.6941497117968938,0.9907540450484533,0.9985894171884676,0.9878245141154773
FBgn0000079,Amy-p,Amylase proximal,PROTEIN_CODING,Midgut,Midgut,Midgut,5.505206759794945,2.9501933940970284,4.60523368558687,0.9904939679381812,0.9943441158960111,0.9885378294730114
FBgn0000083,AnxB9,Annexin B9,PROTEIN_CODING,Hindgut,Hindgut,Hindgut,3.2549427672181594,2.1584351458891984,2.0397464376378225,0.8226709757080939,0.6371907332433648,0.7309020945384582
FBgn0000084,AnxB10,Annexin B10,PROTEIN_CODING,Ganglion,Salivary Gland,Ganglion,2.6041623478433777,0.40893574672532185,1.711687449083214,0.7147666732438832,0.4633507853403141,0.6432125088841507
FBgn0000092,dyw,daywake,PROTEIN_CODING,Eye,Salivary Gland,Eye,2.6285862504731656,-0.4594291595112967,1.4704020326013922,0.8664893617021276,0.34375,0.8567493112947658
FBgn0000094,Anp,Andropin,PROTEIN_CODING,Ovary,Hindgut,Hindgut,0.23446493539590268,26.690990768336867,-5.715663850117906,0.8734375,0.9991462063872992,0.835733748540288
FBgn0000097,aop,anterior open,PROTEIN_CODING,Ovary,Midgut,Midgut,0.31228982916527276,1.082961211738781,1.7685354927680386,0.36233862959285007,0.7051470588235295,0.6725788497217069
FBgn0000100,RpLP0,Ribosomal protein LP0,PROTEIN_CODING,Eye,Fat Body,Salivary Gland,0.8414445011506041,1.5003125067684102,1.14972600727585,0.38983724507150563,0.5954657618753856,0.36218061754368897
FBgn0000108,Appl,beta amyloid protein precursor-like,PROTEIN_CODING,Brain,Hindgut,Brain,4.316611020467639,-2.4020942658918747,2.5644280020408834,0.8545227676740053,0.4910714285714286,0.8395063907916107
FBgn0000109,Aprt,Adenine phosphoribosyltransferase,PROTEIN_CODING,Tubule,Fat Body,Tubule,1.2333634758688103,1.9379815153550117,1.0011937301604583,0.6221185064935065,0.5768107476635513,0.5047855370436015
FBgn0000114,bru1,bruno 1,PROTEIN_CODING,Ovary,Hindgut,Hindgut,0.5625429130052955,4.154047520615879,0.19111273562911188,0.8892869043652116,0.9401176635383107,0.7113253377865493
FBgn0000115,Arl1,ADP ribosylation factor-like 1,PROTEIN_CODING,Salivary Gland,Salivary Gland,Salivary Gland,0.6259491521939982,1.752658356322909,1.013056113903194,0.41732859531772576,0.6133280127693536,0.4978045272162919
FBgn0000116,Argk1,Arginine kinase 1,PROTEIN_CODING,Hindgut,Hindgut,Hindgut,3.2480712296023517,1.3140075577680295,1.1149893084259312,0.7380099458873597,0.8628648816362127,0.5924176098832434
FBgn0000117,arm,armadillo,PROTEIN_CODING,Eye,Salivary Gland,Eye,0.5837359103137671,0.34532398343776033,1.1717322572499134,0.3015735409578645,0.2569178196366061,0.31563210800498936
FBgn0000119,arr,arrow,PROTEIN_CODING,Salivary Gland,Salivary Gland,Salivary Gland,1.4777013900298184,1.493773989918718,1.8073547735710964,0.5826342281879194,0.5997596153846154,0.6257719226018938
FBgn0000120,Arr1,Arrestin 1,PROTEIN_CODING,Eye,Hindgut,Eye,7.139522500121832,2.402090088230147,5.456586508208109,0.9994172984525803,0.9054054054054055,0.9993144841797227
FBgn0000121,Arr2,Arrestin 2,PROTEIN_CODING,Eye,Hindgut,Eye,7.083055400397622,3.781342991489708,5.34317901815698,0.9992576491628743,0.9204545454545454,0.9991936683706896
FBgn0000137,ase,asense,PROTEIN_CODING,Ovary,Salivary Gland,Fat Body,0.18057111412339857,-4.017894835488869,4.523423966339417,0.8088235294117647,0.75,0.9130434782608695
FBgn0000139,ash2,"absent, small, or homeotic discs 2",PROTEIN_CODING,Eye,Midgut,Hindgut,0.7937257611428752,0.347112888637446,0.6639507340413542,0.420545009185548,0.3111866501854141,0.33979135618479883
FBgn0000140,asp,abnormal spindle,PROTEIN_CODING,Ovary,Midgut,Salivary Gland,0.5947321384650547,-1.1343001338254899,-2.4059894334591116,0.9548785190898573,0.3719512195121951,0.5035714285714286
FBgn0000146,aub,aubergine,PROTEIN_CODING,Ovary,Fat Body,Brain,0.4882864429540066,1.2081067845647901,-0.4704501359285825,0.9298679867986799,0.9365671641791045,0.5266781411359724
FBgn0000147,aurA,aurora A,PROTEIN_CODING,Ovary,Fat Body,Ganglion,0.5976815105880331,-1.798364649092295,-1.9098013889439533,0.9211598746081504,0.3478260869565217,0.5530303030303031
FBgn0000150,awd,abnormal wing discs,PROTEIN_CODING,Fat Body,Fat Body,Fat Body,0.18798187546049921,1.677761710787892,1.6934633647474668,0.5142258477554983,0.5645484667140007,0.7945918556728364
FBgn0000152,Axs,Abnormal X segregation,PROTEIN_CODING,Hindgut,Salivary Gland,Tubule,0.4835743242192925,1.6355505766261513,0.6168928122446272,0.5069593147751605,0.5861436950146628,0.5362080315997366
FBgn0000153,Adc,Acidic amino acid decarboxylase,PROTEIN_CODING,Eye,Hindgut,Eye,4.301002905176878,-1.7948081128362663,2.7122190887612962,0.9782688495705161,0.9507575757575758,0.9577264105565992
FBgn0000157,Dll,Distal-less,PROTEIN_CODING,Brain,Salivary Gland,Brain,2.5309828574962343,-1.5941791752534082,0.7396100499799425,0.7778592375366569,0.7980769230769231,0.7401883830455259
FBgn0000158,bam,bag of marbles,PROTEIN_CODING,Ovary,Hindgut,Salivary Gland,1.0569720542157883,-4.235213615672644,-0.8624935252933312,0.9635942760942761,0.8020833333333334,0.6818181818181818
FBgn0000163,baz,bazooka,PROTEIN_CODING,Salivary Gland,Tubule,Salivary Gland,1.1670522298981902,1.4291014230686852,1.745139410574213,0.5704726651480637,0.33643771827706637,0.6572881355932204
FBgn0000166,bcd,bicoid,PROTEIN_CODING,Ovary,Midgut,Salivary Gland,0.7175892164497709,0.999981966650114,2.0779902787063307,0.9618855276727398,0.375,0.48872180451127817
FBgn0000173,ben,bendless,PROTEIN_CODING,Eye,Midgut,Eye,0.851126032578503,1.3163385042153493,1.3378789883377167,0.3678091146806126,0.5882910535343504,0.4515983490132513
FBgn0000179,bi,bifid,PROTEIN_CODING,Brain,Fat Body,Eye,3.287344455482852,-0.01727797073916041,2.0828918232303963,0.8349056603773585,0.6174698795180722,0.8226976069615664
FBgn0000180,bib,big brain,PROTEIN_CODING,Ganglion,Midgut,Ganglion,3.4284975779230638,1.2016333175456926,4.044391408843373,0.8761609907120743,0.9536231884057971,0.9042424242424243
FBgn0000181,bic,bicaudal,PROTEIN_CODING,Ovary,Fat Body,Eye,0.32025142763386927,0.7947672182549943,0.7328402453441751,0.25135230479774223,0.36935744187219455,0.15216724325811196
FBgn0000182,BicC,Bicaudal C,PROTEIN_CODING,Ovary,Fat Body,Salivary Gland,0.5233949277227666,1.4059878682822131,-1.9746142646736806,0.9575339067151836,0.9905660377358491,0.8217054263565892
FBgn0000183,BicD,Bicaudal D,PROTEIN_CODING,Ganglion,Tubule,Ganglion,0.5765961505532488,1.2162520225193192,1.3270187810471823,0.3400615805679097,0.47915858860023264,0.3320620795592987
FBgn0000206,boss,bride of sevenless,PROTEIN_CODING,Eye,Hindgut,Eye,6.468974128999996,-1.3218848155509093,5.041570518165764,0.9989135864135864,0.75,0.9990405564772432
FBgn0000212,brm,brahma,PROTEIN_CODING,Ovary,Salivary Gland,Tubule,0.17836726267303923,1.4411409118720284,0.9660525192029904,0.6132318037974684,0.5124137931034483,0.47850958565244284
FBgn0000216,Brd,Bearded,PROTEIN_CODING,Eye,Salivary Gland,Eye,-4.620558729761916,-2.3334221917983906,16.747157113536595,0.875,0.7166666666666667,0.974025974025974
FBgn0000221,brn,brainiac,PROTEIN_CODING,Ganglion,Fat Body,Ganglion,0.44488318203200244,0.3346186968850098,1.3562613666085956,0.2886977886977887,0.14888535031847136,0.4528191644756062
FBgn0000227,Elba1,Early boundary activity 1,PROTEIN_CODING,Eye,Salivary Gland,Brain,-2.459372601038409,14.287784512498185,-0.9999278706576413,0.8125,1,1
FBgn0000228,Nin,Ninein,PROTEIN_CODING,Ovary,Midgut,Eye,0.24597922353289556,1.1889765062604667,0.8388546747637614,0.3353885135135135,0.35767326732673266,0.2057282570730003
FBgn0000229,bsk,basket,PROTEIN_CODING,Ganglion,Tubule,Ganglion,3.386914392826551,0.462043887019738,2.489679613197886,0.6859808319738989,0.2827964519140991,0.6575284863029855
FBgn0000233,btd,buttonhead,PROTEIN_CODING,Ganglion,Salivary Gland,Ganglion,1.304849530096067,-0.8479840827985116,0.770514642262684,0.9136904761904762,0.8,0.8866995073891626
FBgn0000239,bur,burgundy,PROTEIN_CODING,Ovary,Fat Body,Fat Body,0.31088729581422464,1.7431962451190441,0.794997677527282,0.30773945733899966,0.5975646422128683,0.3243727598566308
FBgn0000241,bw,brown,PROTEIN_CODING,Eye,Tubule,Eye,2.986775844735316,2.5406663560431997,3.733043621174156,0.9063651012891344,0.9327138937390871,0.9522377064276506
FBgn0000244,by,blistery,PROTEIN_CODING,Hindgut,Hindgut,Salivary Gland,2.8277308792313707,1.7392999162891307,1.7035088360500488,0.606224593495935,0.5514349232012934,0.5561033662019721
FBgn0000246,c(3)G,crossover suppressor on 3 of Gowen,PROTEIN_CODING,Ovary,Salivary Gland,Brain,0.7293523307629834,0.5474872112160626,1.08194062499618,0.8784461152882206,0.2850877192982456,0.3856266432953549
FBgn0000247,ca,claret,PROTEIN_CODING,Ganglion,Fat Body,Eye,0.41874549460770233,0.9094479857827332,0.5164536598743463,0.27750275027502747,0.152834008097166,0.28079316833116214
FBgn0000250,cact,cactus,PROTEIN_CODING,Salivary Gland,Salivary Gland,Midgut,0.23087377263933428,1.265401382645622,0.8990328699550659,0.3263771186440678,0.5513226527570789,0.4193629646215853
FBgn0000251,cad,caudal,PROTEIN_CODING,Tubule,Tubule,Tubule,2.617546641681317,3.659702833174422,4.41112518353938,0.9278329197684037,0.9313920873929732,0.972210585113811
FBgn0000253,Cam,Calmodulin,PROTEIN_CODING,Eye,Fat Body,Eye,2.778219776638662,0.36879120587955916,2.5836355624869496,0.7438226845041495,0.2178426993420655,0.8179058022330307
FBgn0000256,capu,cappuccino,PROTEIN_CODING,Midgut,Midgut,Midgut,1.8649681041342534,2.1890607395584984,0.9400496497866695,0.6044350842418236,0.8214117647058823,0.7696664568911266
FBgn0000257,car,carnation,PROTEIN_CODING,Ganglion,Tubule,Ganglion,0.9284465917343806,0.7515628049011557,1.732757111998925,0.33220338983050846,0.11073825503355708,0.40381137849492277
FBgn0000259,CkIIbeta,Casein kinase II beta subunit,PROTEIN_CODING,Ovary,Fat Body,Ganglion,0.5036344314342857,0.5851239049989225,1.1860562513056183,0.2524163130598775,0.22454687849630783,0.37029445924711346
FBgn0000261,Cat,Catalase,PROTEIN_CODING,Tubule,Fat Body,Tubule,3.3910457824990012,1.923429840349312,1.5461490592238933,0.9002887562160287,0.7370036438381762,0.8325835899800397
FBgn0000273,Pka-C1,"Protein kinase, cAMP-dependent, catalytic subunit 1",PROTEIN_CODING,Brain,Salivary Gland,Brain,1.817460513434836,1.3625700236548137,1.0840531999394385,0.4497959621993127,0.5677851524090463,0.435099699535646
FBgn0000274,Pka-C2,"Protein kinase, cAMP-dependent, catalytic subunit 2",PROTEIN_CODING,Ovary,Fat Body,Fat Body,0.2630341229527183,0.1926445626955472,-2.7981234930823926,0.9571078431372549,0.9875,0.875
FBgn0000276,CecA1,Cecropin A1,PROTEIN_CODING,Eye,Hindgut,Fat Body,1.4575015353271128,0.49056992251337517,-4.281396963577255,0.8051651048639,0.6067615658362989,0.8457472369053339
FBgn0000277,CecA2,Cecropin A2,PROTEIN_CODING,Fat Body,Fat Body,Fat Body,20.298940753340517,0,22.732727432404232,0.9961240310077519,NA,0.9987702398032383
FBgn0000278,CecB,Cecropin B,PROTEIN_CODING,Eye,Hindgut,Fat Body,2.62570695409443,2.85084768417664,-1.3384784324982504,0.9253164556962026,0.9306930693069306,0.8159340659340659
FBgn0000279,CecC,Cecropin C,PROTEIN_CODING,Salivary Gland,Salivary Gland,Salivary Gland,7.798987406142958,5.004482929366383,4.33774732973083,0.9375330163761226,0.9929254064788382,0.9913227781602115
FBgn0000280,Cec-Psi1,Cecropin pseudogene 1,PSEUDO,Brain,Fat Body,Brain,0,0,0,NA,NA,NA
FBgn0000281,Cec2,Cecropin 2,PSEUDO,Brain,Fat Body,Brain,0,0,0,NA,NA,NA
FBgn0000283,Cp190,Centrosomal protein 190kD,PROTEIN_CODING,Ovary,Salivary Gland,Brain,0.3467422017738934,1.174819870621019,1.260976088438187,0.5333011583011583,0.5300937988535696,0.3544080838045796
FBgn0000286,Cf2,Chorion factor 2,PROTEIN_CODING,Fat Body,Fat Body,Fat Body,0.9805766310055316,1.3303894606474207,1.0104416587616616,0.5397213855421686,0.517056530214425,0.5797561813186815
FBgn0000287,salr,spalt-related,PROTEIN_CODING,Eye,Hindgut,Eye,3.454735240772649,-0.1228564860727052,0.34792322535241105,0.8151465798045603,0.6777777777777778,0.7959183673469388
FBgn0000289,cg,combgap,PROTEIN_CODING,Brain,Salivary Gland,Brain,0.7841732978842685,1.428550385624561,1.7479273542612874,0.519559902200489,0.6246701846965699,0.590412111017662
FBgn0000299,Col4a1,Collagen type IV alpha 1,PROTEIN_CODING,Fat Body,Fat Body,Fat Body,3.1167343753163563,4.831803809645411,1.344311396116764,0.9342221209358857,0.9796952224052718,0.7986475840336135
FBgn0000303,ChAT,Choline acetyltransferase,PROTEIN_CODING,Brain,Midgut,Brain,5.055616438375669,0.8194259156334418,3.116943402929414,0.9102603843769373,0.9125,0.902941060048292
FBgn0000307,chif,chiffon,PROTEIN_CODING,Ovary,Salivary Gland,Brain,0.4201084618084526,1.0274805189790037,0.9729364676046456,0.6370498614958449,0.339622641509434,0.4498260981579286
FBgn0000308,chic,chickadee,PROTEIN_CODING,Midgut,Midgut,Midgut,1.6652697245541392,0.5621823781211571,1.5058125807077096,0.6738918567715854,0.45507174599775124,0.5707322232897601
FBgn0000316,cin,cinnamon,PROTEIN_CODING,Ovary,Fat Body,Salivary Gland,0.2988356715341117,0.8199292152994458,0.8840942868373862,0.3487322320399539,0.37093796159527326,0.1599558742415885
FBgn0000317,ck,crinkled,PROTEIN_CODING,Tubule,Hindgut,Tubule,1.5038256337573515,2.057982838292709,2.005624379908788,0.7255509641873278,0.4664772727272727,0.743857698721512
FBgn0000318,cl,clot,PROTEIN_CODING,Midgut,Tubule,Tubule,1.6741278495510081,1.78789918295559,1.5212484023340964,0.6662901439645625,0.7164957105557628,0.6437803902258878
FBgn0000319,Chc,Clathrin heavy chain,PROTEIN_CODING,Hindgut,Salivary Gland,Tubule,1.0100419872926651,1.405932026176511,1.137758647782529,0.3619580924855491,0.33869908015768724,0.3038749245645797
FBgn0000320,eya,eyes absent,PROTEIN_CODING,Eye,Fat Body,Eye,4.056935398842456,-1.1699239468416762,3.9880043025903644,0.9787423625254582,0.8717105263157895,0.9924589280904929
FBgn0000326,clt,cricklet,PROTEIN_CODING,Midgut,Fat Body,Fat Body,1.464811259595168,1.579875317054264,0.5920431371963889,0.4824234904880066,0.6869480748851996,0.24916943521594684
FBgn0000330,cm,carmine,PROTEIN_CODING,Eye,Salivary Gland,Eye,1.2116178074224553,1.0539489829446578,1.5927878396915622,0.3623500749625187,0.43745318352059925,0.4414881872378008
FBgn0000337,cn,cinnabar,PROTEIN_CODING,Eye,Tubule,Eye,1.2800957958272492,1.295448111481395,0.15200149046748046,0.8235294117647058,0.7685185185185186,0.8142857142857143
FBgn0000339,cni,cornichon,PROTEIN_CODING,Midgut,Tubule,Tubule,1.775020301451474,0.8818884969360279,1.5320101990159216,0.5987722756015439,0.5349623333977207,0.5384500466853408
FBgn0000346,comt,comatose,PROTEIN_CODING,Ganglion,Fat Body,Ganglion,4.602281726323366,-0.830074297248207,3.179831876195447,0.8491385739856803,0.7333333333333333,0.8027007210069657
FBgn0000351,cort,cortex,PROTEIN_CODING,Ovary,Midgut,Ganglion,0.5422726519553152,-0.050625895398788284,1.696604416529299,0.931141774891775,0.625,0.5820668693009118
FBgn0000352,cos,costa,PROTEIN_CODING,Brain,Fat Body,Brain,0.4907470993345727,0.3421654532274516,2.637158074589018,0.6247443762781186,0.530791788856305,0.7874063330916122
FBgn0000355,Cp15,Chorion protein 15,PROTEIN_CODING,Ovary,Midgut,Hindgut,-0.3867190347580944,-2.3575374898068833,4.373784241003396,0.8978334870881695,1,0.9790864530794915
FBgn0000356,Cp16,Chorion protein 16,PROTEIN_CODING,Ovary,Fat Body,Hindgut,-0.4106123361341529,0,26.497165760409555,0.8493130742354311,NA,0.9986727799227799
FBgn0000357,Cp18,Chorion protein 18,PROTEIN_CODING,Ovary,Tubule,Hindgut,-0.3117218349627799,1.4594201427518232,7.780565227922023,0.8710292309147668,0.8863636363636364,0.9964801553586601
FBgn0000358,Cp19,Chorion protein 19,PROTEIN_CODING,Ovary,Fat Body,Hindgut,-0.32937021463420096,0,6.545414854395547,0.9090881368927302,NA,0.9969410999023756
FBgn0000359,Cp36,Chorion protein 36,PROTEIN_CODING,Ovary,Tubule,Salivary Gland,0.5527234770859626,15.287748446474637,3.8942876334590393,0.9511134020618557,1,0.9214703425229741
FBgn0000360,Cp38,Chorion protein 38,PROTEIN_CODING,Ovary,Fat Body,Salivary Gland,0.5183146410017961,15.609669328049094,4.067460081301204,0.9260230042044937,1,0.9037345902828137
FBgn0000370,crc,cryptocephal,PROTEIN_CODING,Eye,Fat Body,Eye,2.4974736470272725,0.5895577000974619,1.61584170371365,0.6045785499306143,0.21074868253679807,0.5742606272623895
FBgn0000376,crm,cramped,PROTEIN_CODING,Ovary,Salivary Gland,Eye,0.5181515111277771,0.5849619997858129,0.9479109960664278,0.7638728323699422,0.24999999999999994,0.39548319327731096
FBgn0000377,crn,crooked neck,PROTEIN_CODING,Ovary,Fat Body,Eye,0.20508981726813647,1.106915023759819,0.7671435815855097,0.24463190184049083,0.4586038961038961,0.18152866242038224
FBgn0000382,csw,corkscrew,PROTEIN_CODING,Eye,Hindgut,Eye,1.487559929510021,1.234304044427584,1.4782450529322895,0.5592119991045444,0.34487666034155595,0.6283794899917741
FBgn0000384,cta,concertina,PROTEIN_CODING,Brain,Midgut,Brain,0.47419954041770085,0.4101239498543418,1.0921697552714884,0.30364118303571436,0.3175797712221553,0.34861175740654576
FBgn0000392,cup,cup,PROTEIN_CODING,Ovary,Fat Body,Salivary Gland,0.6162864673060561,1.2590858443921817,-1.5244205290205914,0.9295957844183564,0.5068493150684932,0.5675146771037182
FBgn0000394,cv,crossveinless,PROTEIN_CODING,Eye,Hindgut,Eye,1.8196680111632137,1.661175159804272,1.2810516089622026,0.7026085930122757,0.8099187542315505,0.6827496003487866
FBgn0000395,cv-2,crossveinless 2,PROTEIN_CODING,Ganglion,Midgut,Ganglion,2.6710194198111985,1.2916698712542096,1.286174728729826,0.5636135857461024,0.3053949903660887,0.36964504283965727
FBgn0000404,CycA,Cyclin A,PROTEIN_CODING,Ovary,Midgut,Salivary Gland,0.5738822434086247,-1.146146447219609,-0.15074798876973972,0.9362162162162162,0.5447761194029851,0.6944099378881987
FBgn0000405,CycB,Cyclin B,PROTEIN_CODING,Ovary,Midgut,Salivary Gland,0.6294948859378262,-1.4588210436780944,0.37016932232874833,0.9494972453659728,0.386046511627907,0.8672459082642957
FBgn0000406,Cyt-b5-r,Cytochrome b5-related,PROTEIN_CODING,Fat Body,Fat Body,Fat Body,3.0109667115364096,3.0272378745953605,1.5656280447643791,0.8590802278464196,0.9041567963902989,0.8740011146879711
FBgn0000411,D,Dichaete,PROTEIN_CODING,Salivary Gland,Hindgut,Salivary Gland,6.6731803100494,3.9991236560035706,5.798740883561933,0.9582895888013998,0.9450516089860352,0.9719681516088702
FBgn0000412,D1,D1 chromosomal protein,PROTEIN_CODING,Ovary,Salivary Gland,Salivary Gland,0.36045754831884635,0.10665064540803604,0.6758437709108307,0.5586261457878656,0.44218543046357617,0.2413888275557518
FBgn0000414,Dab,Dab adaptor protein,PROTEIN_CODING,Brain,Hindgut,Brain,1.3164562895340621,2.197404653110075,1.320249440717596,0.46912602913236223,0.7410901467505241,0.37493763512389816
FBgn0000416,Sap-r,Saposin-related,PROTEIN_CODING,Midgut,Midgut,Midgut,1.6441597201678708,2.329680990197702,1.1452937529387552,0.47119221477238793,0.8779794684781062,0.43670126597468045
FBgn0000422,Ddc,Dopa decarboxylase,PROTEIN_CODING,Brain,Hindgut,Brain,4.333210522231904,-3.235935904034945,2.5179754548818734,0.9024190241902419,0.9640207715133531,0.8839961202715809
FBgn0000426,SmF,Small ribonucleoprotein particle protein SmF,PROTEIN_CODING,Ovary,Salivary Gland,Tubule,0.30653708321013284,0.47106736443562525,-0.5838479830621384,0.894891640866873,0.4987641756324513,0.33116381687810253
FBgn0000427,dec,defective chorion,PROTEIN_CODING,Salivary Gland,Fat Body,Brain,0.07974200794400602,3.8072209646942845,3.3398337504132125,0.8638019656574786,1,0.888888888888889
FBgn0000439,Dfd,Deformed,PROTEIN_CODING,Brain,Fat Body,Brain,0.82312062956347265,-2.414998427061455,-0.8105212471285728,0.947463768115942,0.9166666666666666,0.9230769230769231
