gene_dmel,symbol_dmel,description_dmel,genetype_dmel,highest_tissue_Female,highest_tissue_Larva,highest_tissue_Male,top_log2_enrich_Female,top_log2_enrich_Larva,top_log2_enrich_Male,tau_Female,tau_Larva,tau_Male
FBgn0037061,Trmt112,tRNA methyltransferase subunit 11-2,PROTEIN_CODING,Ovary,Salivary Gland,Brain,0.13842901422846318,0.8708625379955234,1.2335410157837043,0.49796921761436513,0.45075088339222613,0.6116402116402117
FBgn0037063,CG9391,NA,PROTEIN_CODING,Tubule,Tubule,Tubule,2.874165992247514,1.3361506445815758,2.9185235212350924,0.7562949073490483,0.4660484365419987,0.7853035324778335
FBgn0037064,CG9389,NA,PROTEIN_CODING,Brain,Fat Body,Fat Body,4.505508330799894,0.4033553158693726,-3.2447971573623233,0.8301886792452831,0.967479674796748,0.7058823529411765
FBgn0037065,CG12974,NA,PROTEIN_CODING,Midgut,Midgut,Midgut,4.793616801840028,2.169633678031984,4.05574158521551,0.9617282707221271,0.9326282310177706,0.9417434979084182
FBgn0037067,Cpr78Ca,Cuticular protein 78Ca,PROTEIN_CODING,Brain,Salivary Gland,Brain,2.1699109753476695,-2.880851974443558,2.03951623350131,0.7777777777777778,0.6875,0.8725868725868725
FBgn0037068,Cpr78Cb,Cuticular protein 78Cb,PROTEIN_CODING,Brain,Fat Body,Brain,0.7655288059011596,-0.678066495050191,1.2894971450289683,0.8308823529411764,0.825,0.8506493506493508
FBgn0037069,Cpr78Cc,Cuticular protein 78Cc,PROTEIN_CODING,Midgut,Fat Body,Brain,19.375177342408584,-2.845118946763242,1.4493038845105959,0.6875,0.8786919831223629,0.6398390342052315
FBgn0037070,CG11309,NA,PROTEIN_CODING,Midgut,Tubule,Tubule,3.1588904325950207,2.058354957977483,2.2305119082595026,0.7810704816615113,0.6546043856373046,0.7265360311042527
FBgn0037071,CG7632,NA,PROTEIN_CODING,Tubule,Tubule,Tubule,0.44125439114446385,1.7257113439419978,0.6015589299461945,0.3182194046306505,0.6192543411644535,0.44926859632741983
FBgn0037073,Tsr1,Tsr1 ribosome assembly factor,PROTEIN_CODING,Ovary,Salivary Gland,Salivary Gland,0.3337654653253955,1.2054191834578967,0.40129143151089663,0.5924324964471814,0.5006339814032121,0.2836628123834391
FBgn0037074,Tbc1d8-9,TBC1 domain family member 8/9,PROTEIN_CODING,Fat Body,Midgut,Salivary Gland,0.6309622046445074,1.1768277893446801,1.0004578799285233,0.20903538331929228,0.37509944311853616,0.3344516480029016
FBgn0037076,ebd2,earthbound 2,PROTEIN_CODING,Ovary,Salivary Gland,Midgut,0.6532436123759336,1.5393650033779924,1.6685480900820822,0.7153301886792454,0.5923165137614679,0.6736045411542101
FBgn0037078,CG12971,NA,PROTEIN_CODING,Fat Body,Fat Body,Fat Body,2.7004193726374273,16.287730413124752,3.297658949167469,0.9358974358974359,0.40625,0.9467312348668281
FBgn0037081,barc,barricade,PROTEIN_CODING,Brain,Salivary Gland,Brain,0.8698106735914959,0.7047666771190687,1.3203060563791298,0.45245795601552397,0.22239583333333326,0.5256307247308373
FBgn0037082,CG5664,NA,PROTEIN_CODING,Ovary,Tubule,Brain,0.4597064660838211,0.33993589773102467,0.7587835170480104,0.5602134146341463,0.30820610687022904,0.46689895470383275
FBgn0037084,Syx6,Syntaxin 6,PROTEIN_CODING,Ganglion,Midgut,Brain,2.143792587772715,1.2875005917680398,1.9321583951695356,0.5809521055067098,0.615608228980322,0.5082253003264763
FBgn0037085,Neu2,Neuroectoderm-expressed 2,PROTEIN_CODING,Eye,Fat Body,Eye,-0.3785082939869327,3.3922521597900523,1.2223786815472466,0.7,0.8690476190476191,0.7857142857142857
FBgn0037086,CG7202,NA,PROTEIN_CODING,Tubule,Fat Body,Tubule,1.2016257068648741,-0.5215367676188534,-4.06128303870468,0.9130434782608695,0.965725806451613,0.7764618800888231
FBgn0037087,CG7519,NA,PROTEIN_CODING,Ovary,Fat Body,Hindgut,0.40267497827466125,0.683088579285384,0.9789220803738024,0.5455034423407917,0.4317423230974633,0.41706318468518316
FBgn0037090,Est-Q,Esterase Q,PROTEIN_CODING,Midgut,Midgut,Midgut,4.228738587784854,2.0713332196831535,2.535576029638874,0.8562714396370477,0.8002861815208504,0.7616405551714251
FBgn0037092,M6,M6,PROTEIN_CODING,Midgut,Midgut,Midgut,2.9527943837623103,0.3945379115332629,1.925703152446079,0.6211123110151188,0.48285340314136127,0.4702777981382394
FBgn0037093,Cdk12,Cyclin-dependent kinase 12,PROTEIN_CODING,Ovary,Salivary Gland,Fat Body,0.21161608582660202,1.6343321624748055,0.7136957371877893,0.4081858407079646,0.4949537426408747,0.31803436260963597
FBgn0037094,CG7611,NA,PROTEIN_CODING,Midgut,Midgut,Midgut,1.601525737001482,1.992019349622688,1.4631654443850834,0.5479058250797382,0.786457914623362,0.4928512347867186
FBgn0037098,Wnk,Wnk kinase,PROTEIN_CODING,Tubule,Midgut,Midgut,0.4287967851436549,1.2391193191876142,0.5290581397873109,0.22330402010050246,0.2564841498559078,0.27622377622377625
FBgn0037099,CG7173,NA,PROTEIN_CODING,Eye,Tubule,Tubule,1.211499790930539,0.3048529650719919,3.584896378989234,0.8835227272727273,0.8928571428571429,0.8333333333333333
FBgn0037100,CapaR,Capability receptor,PROTEIN_CODING,Tubule,Tubule,Tubule,6.229080222430441,4.393876895805012,5.024251543411368,0.9956857195032871,0.9936936936936936,0.9953519065790607
FBgn0037101,CG7634,NA,PROTEIN_CODING,Tubule,Fat Body,Tubule,4.567664768600514,-0.367208504332119,-2.5393288343627614,0.9518072289156626,0.7028985507246377,0.8854003139717426
FBgn0037102,CRIF,CR6-interacting factor,PROTEIN_CODING,Hindgut,Fat Body,Hindgut,0.6971024594936777,0.8595100151432143,1.2336251599707198,0.3737008585630366,0.23977206312098184,0.38359264497878354
FBgn0037105,S1P,Site-1 protease,PROTEIN_CODING,Brain,Hindgut,Brain,0.877603211348865,1.0550871119774212,1.68309207879282,0.5240885416666667,0.4243515850144093,0.5708968450903935
FBgn0037106,CG11307,NA,PROTEIN_CODING,Ovary,Hindgut,Hindgut,0.7469668849223107,1.8068220011918081,2.327260826091437,0.5619170984455959,0.7725258493353028,0.5450711649973643
FBgn0037107,CG7166,NA,PROTEIN_CODING,Brain,Fat Body,Brain,5.589374380194412,-1.9213869476626744,3.189467551026951,0.8589645693341478,0.6590909090909091,0.8146022952117135
FBgn0037108,Alg11,"ALG11 alpha-1,2-mannosyltransferase",PROTEIN_CODING,Salivary Gland,Fat Body,Salivary Gland,1.7804521199223173,1.2391258818947242,2.1157976115575443,0.4675257167870431,0.4679340731070496,0.5864448728016944
FBgn0037109,MED1,Mediator complex subunit 1,PROTEIN_CODING,Ovary,Salivary Gland,Brain,0.31100835793421666,0.8285193962143633,0.7880542484252587,0.581856005788712,0.37378640776699035,0.4025974025974026
FBgn0037110,ORMDL,Orosomucoid 1-like,PROTEIN_CODING,Midgut,Fat Body,Salivary Gland,1.1753582358710364,0.9833366376184159,1.2010419478209438,0.5104914721723519,0.40595957249070636,0.513805029603142
FBgn0037114,Cpr78E,Cuticular protein 78E,PROTEIN_CODING,Midgut,Hindgut,Midgut,2.574906334884433,-7.154942046932801,0.7098135127940315,0.9519230769230769,0.965258855585831,0.8467801628423389
FBgn0037115,Pykl5,Pyruvate kinase like 5,PROTEIN_CODING,Midgut,Fat Body,Tubule,1.169904964372969,0.11547675501953175,-3.257100118360454,0.45833333333333326,0.5961538461538461,0.6926406926406926
FBgn0037116,Als2,Amyotrophic lateral sclerosis 2,PROTEIN_CODING,Tubule,Midgut,Salivary Gland,0.4495258064467047,1.664188926416522,0.8949027813544319,0.2408136482939633,0.573579304495335,0.23065851025548761
FBgn0037117,CG11248,NA,PROTEIN_CODING,Ganglion,Tubule,Ganglion,1.4938806304524244,0.8121398040917237,1.6063578626022652,0.6352528089887641,0.2375827814569536,0.6591007976794778
FBgn0037120,Saft,Silence-associated factor,PROTEIN_CODING,Brain,Salivary Gland,Brain,1.5618787128754865,1.3694851084564255,1.5466342297587938,0.603287841191067,0.4513598326359833,0.6335164835164834
FBgn0037121,Polr2H,"RNA polymerase II, I and III subunit H",PROTEIN_CODING,Ovary,Salivary Gland,Hindgut,0.19686421907956744,0.5783162811208251,0.23641350809274872,0.437806623058054,0.5701407211961301,0.30981299402352036
FBgn0037122,CG14570,NA,PROTEIN_CODING,Salivary Gland,Midgut,Salivary Gland,0.455678367407785,2.7224599039642947,19.627564163537965,0.4375,0.8314393939393939,0.6878306878306878
FBgn0037123,CG14569,NA,PROTEIN_CODING,Ganglion,Hindgut,Ganglion,-1.999963933375364,1.4739260587694232,-1.2223649420851745,0.9583333333333334,0.89,0.8571428571428571
FBgn0037124,CG14568,NA,PROTEIN_CODING,Hindgut,Hindgut,Hindgut,14.872722969303823,18.988154872101415,16.287730413124752,0.9166666666666666,0.9519230769230769,1
FBgn0037125,CG14573,NA,PROTEIN_CODING,Brain,Fat Body,Ganglion,-3.3217982594745425,16.872686902679185,15.287748446474637,0.875,0.8333333333333333,0.8928571428571429
FBgn0037126,CG14567,NA,PROTEIN_CODING,Eye,Fat Body,Fat Body,2.16092882046318,3.9136470132174166,1.6703098946561286,0.8489053948397185,0.9505841121495328,0.8845440274011702
FBgn0037127,CG14566,NA,PROTEIN_CODING,Tubule,Hindgut,Fat Body,1.392306259163487,1.4916759223044949,1.622434642651075,0.625,0.8071849564973337,0.9548229548229549
FBgn0037128,CG14572,NA,PROTEIN_CODING,Midgut,Hindgut,Hindgut,0,0.17083607120729105,2.050610438089933,0.7272727272727273,0.736952861952862,0.7536945812807881
