GO	term_name	background_n	foreground_n	expected_n	weight01	weight01_p	fold_enrichment	comparison	set	foreground_total	background_total	foreground_HOGs
GO:1901568	fatty acid derivative metabolic process	55	0	0.18	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901570	fatty acid derivative biosynthetic proce...	37	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901605	alpha-amino acid metabolic process	149	0	0.48	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901606	alpha-amino acid catabolic process	69	0	0.22	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901607	alpha-amino acid biosynthetic process	46	0	0.15	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901652	response to peptide	571	0	1.84	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901653	cellular response to peptide	197	0	0.64	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901654	response to ketone	167	0	0.54	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901655	cellular response to ketone	83	0	0.27	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901657	glycosyl compound metabolic process	90	0	0.29	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901659	glycosyl compound biosynthetic process	33	0	0.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901698	response to nitrogen compound	694	0	2.24	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901699	cellular response to nitrogen compound	427	0	1.38	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901700	response to oxygen-containing compound	965	0	3.11	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901701	cellular response to oxygen-containing c...	628	0	2.03	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901798	positive regulation of signal transducti...	20	0	0.06	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901799	negative regulation of proteasomal prote...	36	0	0.12	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901800	positive regulation of proteasomal prote...	108	0	0.35	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901861	regulation of muscle tissue development	83	0	0.27	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901862	negative regulation of muscle tissue dev...	32	0	0.1	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901863	positive regulation of muscle tissue dev...	39	0	0.13	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901873	regulation of post-translational protein...	161	0	0.52	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901874	negative regulation of post-translationa...	56	0	0.18	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901875	positive regulation of post-translationa...	88	0	0.28	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901879	regulation of protein depolymerization	49	0	0.16	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
GO:1901880	negative regulation of protein depolymer...	42	0	0.14	1.00000	1	0	L5_to_L2	concordant_down	23	7127	
