GO	term_name	background_n	foreground_n	expected_n	weight01	weight01_p	fold_enrichment	comparison	set	foreground_total	background_total	foreground_HOGs
GO:0060325	face morphogenesis	22	3	0.14	0.00033	3.3e-4	21.428571428571427	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0005440; N13.HOG0009018
GO:0042771	intrinsic apoptotic signaling pathway in...	23	3	0.15	0.00038	3.8e-4	20	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0008601
GO:0030326	embryonic limb morphogenesis	67	4	0.42	0.00053	5.3e-4	9.523809523809524	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0005389; N13.HOG0009018
GO:0043388	positive regulation of DNA binding	28	3	0.18	0.00069	6.9e-4	16.666666666666668	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0009018
GO:0090311	regulation of protein deacetylation	29	3	0.18	0.00077	7.7e-4	16.666666666666668	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005225; N13.HOG0009018
GO:0030512	negative regulation of transforming grow...	32	3	0.2	0.00103	0.00103	15	L1_to_L2	concordant_all	45	7127	N13.HOG0005389; N13.HOG0009018; N13.HOG0010737
GO:1903845	negative regulation of cellular response...	33	3	0.21	0.00112	0.00112	14.285714285714286	L1_to_L2	concordant_all	45	7127	N13.HOG0005389; N13.HOG0009018; N13.HOG0010737
GO:0045944	positive regulation of transcription by ...	610	11	3.85	0.00113	0.00113	2.857142857142857	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0004660; N13.HOG0004910; N13.HOG0005090; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0006437; N13.HOG0007312; N13.HOG0009018
GO:0000122	negative regulation of transcription by ...	456	9	2.88	0.00186	0.0018600000000000001	3.125	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0005090; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0009018; N13.HOG0010525; N13.HOG0010737
GO:0030324	lung development	104	6	0.66	0.00264	0.00264	9.09090909090909	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0005090; N13.HOG0005225; N13.HOG0006293; N13.HOG0008601
GO:0018393	internal peptidyl-lysine acetylation	95	4	0.6	0.00291	0.00291	6.666666666666667	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0004507; N13.HOG0008601; N13.HOG0010226
GO:0021761	limbic system development	68	3	0.43	0.00328	0.00328	6.976744186046512	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0005090; N13.HOG0005440
GO:0018022	peptidyl-lysine methylation	52	3	0.33	0.00419	0.00419	9.09090909090909	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0004910; N13.HOG0005389
GO:0042552	myelination	53	3	0.33	0.00442	0.00442	9.09090909090909	L1_to_L2	concordant_all	45	7127	N13.HOG0006293; N13.HOG0006532; N13.HOG0009018
GO:0032200	telomere organization	103	2	0.65	0.00626	0.00626	3.0769230769230766	L1_to_L2	concordant_all	45	7127	N13.HOG0004910; N13.HOG0007312
GO:0141193	nuclear receptor-mediated signaling path...	123	4	0.78	0.00714	0.00714	5.128205128205128	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0005225; N13.HOG0006293
GO:0046782	regulation of viral transcription	21	2	0.13	0.00759	0.00759	15.384615384615383	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006437
GO:0034381	plasma lipoprotein particle clearance	22	2	0.14	0.00831	0.00831	14.285714285714285	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0009436
GO:0035137	hindlimb morphogenesis	23	2	0.15	0.00907	0.00907	13.333333333333334	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0005389
GO:1902531	regulation of intracellular signal trans...	942	15	5.95	0.00957	0.00957	2.5210084033613445	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0004660; N13.HOG0004910; N13.HOG0005225; N13.HOG0005389; N13.HOG0005440; N13.HOG0005758; N13.HOG0006293; N13.HOG0006773; N13.HOG0007312; N13.HOG0007475; N13.HOG0009018; N13.HOG0009673; N13.HOG0010251
GO:0060428	lung epithelium development	24	2	0.15	0.00985	0.00985	13.333333333333334	L1_to_L2	concordant_all	45	7127	N13.HOG0005225; N13.HOG0006293
GO:0001701	in utero embryonic development	212	5	1.34	0.01032	0.01032	3.731343283582089	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0007475
GO:0050821	protein stabilization	138	4	0.87	0.01085	0.01085	4.597701149425287	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0004507; N13.HOG0005440; N13.HOG0008601
GO:0006325	chromatin organization	591	11	3.73	0.01109	0.01109	2.9490616621983916	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0004507; N13.HOG0004910; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0006437; N13.HOG0008601; N13.HOG0009018; N13.HOG0009436; N13.HOG0010226
GO:0035107	appendage morphogenesis	374	6	2.36	0.01181	0.01181	2.5423728813559325	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0005090; N13.HOG0005389; N13.HOG0009018; N13.HOG0010737
GO:0033120	positive regulation of RNA splicing	27	2	0.17	0.01238	0.01238	11.76470588235294	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0006437
GO:0048525	negative regulation of viral process	27	2	0.17	0.01238	0.01238	11.76470588235294	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006437
GO:0071542	dopaminergic neuron differentiation	28	2	0.18	0.01328	0.01328	11.11111111111111	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0006293
GO:1902074	response to salt	28	2	0.18	0.01328	0.01328	11.11111111111111	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0005090
GO:0014014	negative regulation of gliogenesis	30	2	0.19	0.01516	0.01516	10.526315789473685	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0009018
GO:0032922	circadian regulation of gene expression	30	2	0.19	0.01516	0.01516	10.526315789473685	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005225
GO:0021536	diencephalon development	58	3	0.37	0.01557	0.01557	8.108108108108109	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0005225; N13.HOG0005440
GO:0009755	hormone-mediated signaling pathway	146	4	0.92	0.01621	0.01621	4.3478260869565215	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0005225; N13.HOG0006293
GO:0043010	camera-type eye development	206	4	1.3	0.01848	0.01848	3.0769230769230766	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0005090; N13.HOG0005440; N13.HOG0009018
GO:0009792	embryo development ending in birth or eg...	716	12	4.52	0.02024	0.02024	2.6548672566371683	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0002611; N13.HOG0004401; N13.HOG0004507; N13.HOG0005090; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0006437; N13.HOG0007475; N13.HOG0008852; N13.HOG0009018
GO:1904591	positive regulation of protein import	35	2	0.22	0.02032	0.02032	9.090909090909092	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0004733
GO:0060425	lung morphogenesis	35	2	0.22	0.02032	0.02032	9.090909090909092	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0006293
GO:0051898	negative regulation of phosphatidylinosi...	36	2	0.23	0.02144	0.02144	8.695652173913043	L1_to_L2	concordant_all	45	7127	N13.HOG0005225; N13.HOG0006773
GO:0051702	biological process involved in interacti...	36	2	0.23	0.02144	0.02144	8.695652173913043	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006437
GO:0040014	regulation of multicellular organism gro...	130	4	0.82	0.02343	0.02343	4.878048780487805	L1_to_L2	concordant_all	45	7127	N13.HOG0005225; N13.HOG0006293; N13.HOG0007312; N13.HOG0010525
GO:0007519	skeletal muscle tissue development	98	3	0.62	0.02358	0.02358	4.838709677419355	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0009018
GO:0007310	oocyte dorsal/ventral axis specification	38	2	0.24	0.02373	0.02373	8.333333333333334	L1_to_L2	concordant_all	45	7127	N13.HOG0004032; N13.HOG0004199
GO:0009948	anterior/posterior axis specification	193	5	1.22	0.02734	0.02734	4.098360655737705	L1_to_L2	concordant_all	45	7127	N13.HOG0004032; N13.HOG0004733; N13.HOG0006293; N13.HOG0006437; N13.HOG0009018
GO:0043254	regulation of protein-containing complex...	289	4	1.82	0.02805	0.02805	2.1978021978021975	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005440; N13.HOG0006437; N13.HOG0007312
GO:0051851	host-mediated perturbation of symbiont p...	42	2	0.27	0.02860	0.0286	7.4074074074074066	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006437
GO:0032873	negative regulation of stress-activated ...	44	2	0.28	0.03118	0.03118	7.142857142857142	L1_to_L2	concordant_all	45	7127	N13.HOG0005225; N13.HOG0005389
GO:0001655	urogenital system development	221	5	1.4	0.03133	0.03133	3.5714285714285716	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0005389; N13.HOG0006293; N13.HOG0008601; N13.HOG0010737
GO:0002088	lens development in camera-type eye	45	2	0.28	0.03250	0.0325	7.142857142857142	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0009018
GO:0046329	negative regulation of JNK cascade	46	2	0.29	0.03384	0.03384	6.8965517241379315	L1_to_L2	concordant_all	45	7127	N13.HOG0005225; N13.HOG0005389
GO:0060021	roof of mouth development	47	2	0.3	0.03521	0.03521	6.666666666666667	L1_to_L2	concordant_all	45	7127	N13.HOG0005389; N13.HOG0009018
GO:0040019	positive regulation of embryonic develop...	47	2	0.3	0.03521	0.03521	6.666666666666667	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0006293
GO:0045815	transcription initiation-coupled chromat...	48	2	0.3	0.03660	0.0366	6.666666666666667	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0004910
GO:0010466	negative regulation of peptidase activit...	84	2	0.53	0.03689	0.03689	3.773584905660377	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0011043
GO:0042592	homeostatic process	974	7	6.15	0.03741	0.03741	1.1382113821138211	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0006773; N13.HOG0007312
GO:0001756	somitogenesis	51	2	0.32	0.04088	0.04088	6.25	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006293
GO:0035019	somatic stem cell population maintenance	52	2	0.33	0.04234	0.04234	6.0606060606060606	L1_to_L2	concordant_all	45	7127	N13.HOG0005389; N13.HOG0009018
GO:0002262	myeloid cell homeostasis	78	2	0.49	0.04286	0.04286	4.081632653061225	L1_to_L2	concordant_all	45	7127	N13.HOG0005225; N13.HOG0005389
GO:0045931	positive regulation of mitotic cell cycl...	126	3	0.8	0.04433	0.04433	3.75	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0004507; N13.HOG0006293
GO:0048813	dendrite morphogenesis	223	4	1.41	0.04456	0.04456	2.8368794326241136	L1_to_L2	concordant_all	45	7127	N13.HOG0004199; N13.HOG0005389; N13.HOG0009018; N13.HOG0009673
GO:0051276	chromosome organization	809	12	5.11	0.04547	0.045469999999999997	2.3483365949119372	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0004507; N13.HOG0004910; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0006437; N13.HOG0007312; N13.HOG0008601; N13.HOG0009018; N13.HOG0009436; N13.HOG0010226
GO:0021782	glial cell development	82	3	0.52	0.04679	0.04679	5.769230769230769	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0006293; N13.HOG0009018
GO:0032368	regulation of lipid transport	56	2	0.35	0.04841	0.04841	5.714285714285714	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0005225
GO:0055008	cardiac muscle tissue morphogenesis	29	2	0.18	0.04850	0.0485	11.11111111111111	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0008913
GO:0008347	glial cell migration	57	2	0.36	0.04997	0.04997	5.555555555555555	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0004507
GO:0030514	negative regulation of BMP signaling pat...	57	2	0.36	0.04997	0.04997	5.555555555555555	L1_to_L2	concordant_all	45	7127	N13.HOG0009018; N13.HOG0010737
GO:0060811	intracellular mRNA localization involved...	60	2	0.38	0.05462	0.05462	5.2631578947368425	L1_to_L2	concordant_all	45	7127	N13.HOG0004032; N13.HOG0004733
GO:0031401	positive regulation of protein modificat...	550	4	3.47	0.05495	0.05495	1.1527377521613833	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0004660; N13.HOG0005225; N13.HOG0005440
GO:0048585	negative regulation of response to stimu...	920	11	5.81	0.05609	0.05609	1.8932874354561102	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0004660; N13.HOG0005225; N13.HOG0005389; N13.HOG0005758; N13.HOG0006293; N13.HOG0006773; N13.HOG0009018; N13.HOG0010251; N13.HOG0010525; N13.HOG0010737
GO:0043491	phosphatidylinositol 3-kinase/protein ki...	117	3	0.74	0.05963	0.05963	4.054054054054054	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005225; N13.HOG0006773
GO:0006606	protein import into nucleus	129	3	0.81	0.05997	0.05997	3.7037037037037033	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006437; N13.HOG0009160
GO:1902117	positive regulation of organelle assembl...	65	2	0.41	0.06311	0.06311	4.878048780487805	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005440
GO:0003014	renal system process	65	2	0.41	0.06311	0.06311	4.878048780487805	L1_to_L2	concordant_all	45	7127	N13.HOG0006773; N13.HOG0006874
GO:0006511	ubiquitin-dependent protein catabolic pr...	397	6	2.51	0.06460	0.0646	2.3904382470119523	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0007312; N13.HOG0008601; N13.HOG0008913; N13.HOG0010251; N13.HOG0010525
GO:0007029	endoplasmic reticulum organization	66	2	0.42	0.06483	0.06483	4.761904761904762	L1_to_L2	concordant_all	45	7127	N13.HOG0005440; N13.HOG0008601
GO:0036503	ERAD pathway	67	2	0.42	0.06656	0.06656	4.761904761904762	L1_to_L2	concordant_all	45	7127	N13.HOG0008601; N13.HOG0008913
GO:0045880	positive regulation of smoothened signal...	67	2	0.42	0.06656	0.06656	4.761904761904762	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006293
GO:0045747	positive regulation of Notch signaling p...	69	2	0.44	0.07007	0.07007	4.545454545454546	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0010251
GO:0006950	response to stress	2077	16	13.11	0.07312	0.07312	1.2204424103737606	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0004660; N13.HOG0004910; N13.HOG0005090; N13.HOG0005225; N13.HOG0005389; N13.HOG0005758; N13.HOG0006293; N13.HOG0006437; N13.HOG0008601; N13.HOG0008913; N13.HOG0010251; N13.HOG0010525; N13.HOG0010660; N13.HOG0010951
GO:0030330	DNA damage response, signal transduction...	71	2	0.45	0.07364	0.07364	4.444444444444445	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0010251
GO:0072001	renal system development	214	5	1.35	0.07434	0.07434	3.7037037037037033	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0005389; N13.HOG0006293; N13.HOG0008601; N13.HOG0010737
GO:0051674	localization of cell	594	7	3.75	0.07674	0.07674	1.8666666666666667	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0002611; N13.HOG0004032; N13.HOG0004507; N13.HOG0005090; N13.HOG0009018; N13.HOG0009160
GO:0046649	lymphocyte activation	214	3	1.35	0.07784	0.07784	2.222222222222222	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005225; N13.HOG0008601
GO:0010506	regulation of autophagy	254	3	1.6	0.08135	0.08135	1.875	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005440; N13.HOG0010251
GO:0061053	somite development	65	3	0.41	0.08187	0.08187	7.317073170731708	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0006293
GO:0032890	regulation of organic acid transport	34	2	0.21	0.08335	0.08335	9.523809523809524	L1_to_L2	concordant_all	45	7127	N13.HOG0005225; N13.HOG0005440
GO:0010628	positive regulation of gene expression	1095	14	6.91	0.08433	0.08433	2.0260492040520983	L1_to_L2	concordant_all	45	7127	N13.HOG0002007; N13.HOG0004401; N13.HOG0004507; N13.HOG0004660; N13.HOG0004910; N13.HOG0005090; N13.HOG0005225; N13.HOG0005389; N13.HOG0005440; N13.HOG0006293; N13.HOG0006437; N13.HOG0007312; N13.HOG0009018; N13.HOG0009436
GO:0030036	actin cytoskeleton organization	423	6	2.67	0.08562	0.08562	2.247191011235955	L1_to_L2	concordant_all	45	7127	N13.HOG0004032; N13.HOG0004507; N13.HOG0006437; N13.HOG0006773; N13.HOG0009673; N13.HOG0009944
GO:0072002	Malpighian tubule development	57	2	0.36	0.08930	0.0893	5.555555555555555	L1_to_L2	concordant_all	45	7127	N13.HOG0006293; N13.HOG0010737
GO:0000380	alternative mRNA splicing, via spliceoso...	109	2	0.69	0.08993	0.08993	2.8985507246376816	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004733
GO:0022409	positive regulation of cell-cell adhesio...	81	2	0.51	0.09234	0.09234	3.9215686274509802	L1_to_L2	concordant_all	45	7127	N13.HOG0006293; N13.HOG0006773
GO:0043069	negative regulation of programmed cell d...	493	5	3.11	0.09432	0.09432	1.6077170418006432	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0005389; N13.HOG0006293; N13.HOG0008601
GO:0070555	response to interleukin-1	59	2	0.37	0.09498	0.09498	5.405405405405405	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0010251
GO:0048024	regulation of mRNA splicing, via spliceo...	110	2	0.69	0.09563	0.09563	2.8985507246376816	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0006437
GO:0045666	positive regulation of neuron differenti...	277	4	1.75	0.09613	0.09613	2.2857142857142856	L1_to_L2	concordant_all	45	7127	N13.HOG0004199; N13.HOG0004401; N13.HOG0004507; N13.HOG0006293
GO:0030718	germ-line stem cell population maintenan...	83	2	0.52	0.09623	0.09623	3.846153846153846	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006437
GO:0097327	response to antineoplastic agent	85	2	0.54	0.10017	0.10017	3.7037037037037033	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507
GO:0040003	chitin-based cuticle development	85	2	0.54	0.10017	0.10017	3.7037037037037033	L1_to_L2	concordant_all	45	7127	N13.HOG0000695; N13.HOG0002857
GO:0060998	regulation of dendritic spine developmen...	42	2	0.27	0.10037	0.10037	7.4074074074074066	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0009673
GO:0090263	positive regulation of canonical Wnt sig...	86	2	0.54	0.10216	0.10216	3.7037037037037033	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0007312
GO:0051247	positive regulation of protein metabolic...	840	8	5.3	0.10323	0.10323	1.509433962264151	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0004660; N13.HOG0005225; N13.HOG0005440; N13.HOG0007312; N13.HOG0008601; N13.HOG0009436
GO:0006406	mRNA export from nucleus	88	2	0.56	0.10617	0.10617	3.571428571428571	L1_to_L2	concordant_all	45	7127	N13.HOG0006437; N13.HOG0009160
GO:0007315	pole plasm assembly	70	2	0.44	0.10634	0.10634	4.545454545454546	L1_to_L2	concordant_all	45	7127	N13.HOG0004733; N13.HOG0006437
GO:1901800	positive regulation of proteasomal prote...	108	2	0.68	0.10688	0.10688	2.941176470588235	L1_to_L2	concordant_all	45	7127	N13.HOG0007312; N13.HOG0008601
GO:0099111	microtubule-based transport	161	2	1.02	0.10765	0.10765	1.9607843137254901	L1_to_L2	concordant_all	45	7127	N13.HOG0004032; N13.HOG0004199
GO:0071363	cellular response to growth factor stimu...	421	6	2.66	0.10966	0.10966	2.255639097744361	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0004733; N13.HOG0005090; N13.HOG0005389; N13.HOG0009018; N13.HOG0010737
GO:1901796	regulation of signal transduction by p53...	91	2	0.57	0.11226	0.11226	3.5087719298245617	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507
GO:0006338	chromatin remodeling	364	5	2.3	0.11455	0.11455	2.173913043478261	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0004910; N13.HOG0006293; N13.HOG0009436; N13.HOG0010226
GO:0043903	regulation of biological process involve...	94	2	0.59	0.11844	0.11844	3.3898305084745766	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0006437
GO:0071459	protein localization to chromosome, cent...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0006437
GO:0046068	cGMP metabolic process	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0010951
GO:0021904	dorsal/ventral neural tube patterning	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0006293
GO:0060216	definitive hemopoiesis	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005225
GO:0040015	negative regulation of multicellular org...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0006293
GO:0070986	left/right axis specification	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005090
GO:1901224	positive regulation of non-canonical NF-...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004507
GO:0007432	salivary gland boundary specification	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0010737
GO:0070920	regulation of regulatory ncRNA processin...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005225
GO:0060765	regulation of androgen receptor signalin...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004507
GO:0051654	establishment of mitochondrion localizat...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004199
GO:0048311	mitochondrion distribution	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004199
GO:0014072	response to isoquinoline alkaloid	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005090
GO:0014037	Schwann cell differentiation	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0009018
GO:0035136	forelimb morphogenesis	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005389
GO:0071218	cellular response to misfolded protein	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0008601
GO:0016233	telomere capping	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0007312
GO:0050818	regulation of coagulation	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0006293
GO:0001569	branching involved in blood vessel morph...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005090
GO:0032964	collagen biosynthetic process	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004507
GO:0000076	DNA replication checkpoint signaling	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004507
GO:0032892	positive regulation of organic acid tran...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005440
GO:0045599	negative regulation of fat cell differen...	20	1	0.13	0.11913	0.11913	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005225
GO:0050767	regulation of neurogenesis	592	8	3.74	0.12025	0.12025	2.13903743315508	L1_to_L2	concordant_all	45	7127	N13.HOG0004199; N13.HOG0004401; N13.HOG0004507; N13.HOG0005090; N13.HOG0005389; N13.HOG0006293; N13.HOG0009018; N13.HOG0009673
GO:0017038	protein import	165	4	1.04	0.12150	0.1215	3.846153846153846	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0004733; N13.HOG0006437; N13.HOG0009160
GO:0035075	response to ecdysone	44	2	0.28	0.12248	0.12248	7.142857142857142	L1_to_L2	concordant_all	45	7127	N13.HOG0006293; N13.HOG0006437
GO:0007492	endoderm development	57	2	0.36	0.12269	0.12269	5.555555555555555	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0006293
GO:1900271	regulation of long-term synaptic potenti...	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004401
GO:0061383	trabecula morphogenesis	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0008913
GO:0048703	embryonic viscerocranium morphogenesis	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005090
GO:0045668	negative regulation of osteoblast differ...	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0009018
GO:0060074	synapse maturation	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004401
GO:0032459	regulation of protein oligomerization	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004507
GO:0031365	N-terminal protein amino acid modificati...	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0004507
GO:0043248	proteasome assembly	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0007312
GO:0060967	negative regulation of gene silencing by...	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0005225
GO:0055010	ventricular cardiac muscle tissue morpho...	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0008913
GO:0035212	cell competition in a multicellular orga...	21	1	0.13	0.12471	0.12471	7.692307692307692	L1_to_L2	concordant_all	45	7127	N13.HOG0010737
