Family ID	1.20356e-05	0.00342583	0.0476762	0.276994	1.11814	4.55375	
N0.HOG0000005	4.70345e-35	1.6046e-25	9.16083e-20	1.18313e-15	1.84445e-12	2.16346e-10	
N0.HOG0000007	1.00072e-27	4.17797e-25	7.04387e-23	3.05757e-20	2.28874e-17	7.93742e-15	
N0.HOG0000008	1.16256e-112	7.23662e-77	4.15656e-59	4.18723e-46	4.72617e-35	2.40143e-24	
N0.HOG0000015	2.60791e-24	2.58742e-19	2.00125e-16	1.77461e-13	1.3045e-10	2.41202e-08	
N0.HOG0000019	1.07395e-105	1.58944e-73	1.20128e-57	9.2677e-45	5.55963e-34	3.00959e-26	
N0.HOG0000021	7.31894e-34	9.88599e-29	1.6736e-24	4.40307e-20	1.37025e-17	3.26015e-17	
N0.HOG0000028	8.96419e-88	1.67318e-60	1.2724e-46	2.00863e-35	2.50222e-26	1.75138e-20	
N0.HOG0000029	2.90151e-131	1.06352e-84	9.49448e-62	5.60383e-45	8.63912e-33	8.2738e-25	
N0.HOG0000031	2.3945e-13	7.18487e-11	1.30641e-09	1.60056e-08	1.50887e-07	9.02225e-07	
N0.HOG0000035	1.65645e-29	2.57682e-24	2.6477e-20	2.48541e-17	2.90682e-16	1.00092e-16	
N0.HOG0000036	1.18451e-53	9.12043e-39	3.90519e-31	3.87394e-25	2.02256e-20	4.02635e-18	
N0.HOG0000037	7.14024e-21	1.22674e-19	3.39384e-18	2.33585e-16	5.0161e-14	5.86736e-12	
N0.HOG0000039	6.0756e-110	4.00243e-75	2.01014e-57	7.0708e-44	1.71541e-32	7.21564e-24	
N0.HOG0000040	1.39694e-75	3.52912e-54	1.38418e-41	2.98293e-32	6.08283e-26	7.84256e-22	
N0.HOG0000042	2.59671e-152	2.75822e-100	8.05287e-75	9.07487e-56	2.90229e-40	1.13536e-27	
N0.HOG0000043	3.19848e-57	1.19747e-44	1.95606e-36	5.47149e-30	8.38153e-25	3.12132e-20	
N0.HOG0000044	1.02737e-97	5.24025e-68	3.10054e-53	1.05333e-41	1.66875e-32	2.73473e-25	
N0.HOG0000045	6.12883e-129	2.07207e-84	1.98399e-62	3.39533e-46	2.98853e-33	5.74598e-23	
N0.HOG0000046	5.45801e-212	9.44007e-137	7.46119e-101	9.00514e-76	3.52151e-55	9.07423e-36	
N0.HOG0000048	7.73251e-121	8.64213e-83	7.48701e-64	3.48215e-50	1.78885e-38	1.45307e-27	
N0.HOG0000051	1.39896e-98	2.95128e-65	8.12321e-48	2.26118e-35	2.80594e-25	1.36006e-16	
N0.HOG0000052	9.9586e-49	4.30024e-36	5.21824e-29	2.95254e-23	1.34783e-18	1.346e-16	
N0.HOG0000053	2.33467e-172	6.57579e-112	9.40634e-83	5.74342e-62	1.22113e-44	1.36389e-28	
N0.HOG0000054	2.58423e-122	5.9003e-82	4.65293e-61	2.01289e-45	4.31166e-33	9.90734e-24	
N0.HOG0000055	8.65777e-70	7.73053e-48	1.90277e-36	4.74651e-28	1.88516e-21	9.55577e-18	
N0.HOG0000057	3.63759e-68	1.05477e-48	8.18404e-38	2.93585e-29	3.8204e-23	1.22258e-19	
N0.HOG0000058	1.47025e-138	1.66902e-91	4.18125e-68	6.4105e-50	3.60513e-35	1.15082e-24	
N0.HOG0000059	6.44717e-87	7.57775e-58	6.79752e-43	2.67313e-31	1.10949e-22	4.81907e-18	
N0.HOG0000061	5.09496e-127	9.56598e-88	5.07266e-67	2.09284e-51	6.31847e-39	1.08688e-27	
N0.HOG0000062	1.41232e-37	2.68141e-32	7.55171e-28	7.35096e-23	5.31252e-19	2.25312e-17	
N0.HOG0000063	1.80891e-45	1.03114e-33	5.28524e-27	5.46011e-22	1.00572e-18	5.40742e-17	
N0.HOG0000064	9.49773e-39	1.07381e-28	3.18741e-23	6.30903e-19	9.24046e-17	1.09916e-16	
N0.HOG0000066	5.1049e-21	4.66438e-16	1.84003e-13	4.94104e-11	6.26168e-09	1.50984e-08	
