FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000088	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
N0.HOG0000089	2	2	2	0	5	0	0	1	1	0	0	0	1	0	0	1	2	2	2	2	2	2	2	2	1	1	1	1	0	0	1	0	2
N0.HOG0000090	3	3	4	4	4	4	3	9	9	9	9	9	3	2	5	5	2	3	3	4	4	4	4	4	4	4	9	4	9	9	4	4	3
N0.HOG0000091	1	2	2	2	2	2	1	3	3	3	2	3	0	1	3	3	1	2	2	2	2	2	2	2	2	2	3	2	3	3	2	2	2
N0.HOG0000092	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
N0.HOG0000094	1	2	2	2	2	2	3	3	1	3	3	3	3	4	4	2	3	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	2
N0.HOG0000095	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000097	5	4	6	6	5	1	5	6	5	5	5	5	3	5	4	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3
N0.HOG0000098	1	13	11	6	14	3	0	0	0	0	1	0	0	0	0	2	2	2	2	2	8	8	8	8	1	0	0	1	1	1	0	0	2
N0.HOG0000099	4	4	4	5	5	5	5	5	4	4	3	4	4	3	3	2	2	2	4	4	4	4	5	5	4	5	5	4	4	4	4	3	2
N0.HOG0000100	5	5	7	6	6	6	6	6	6	6	6	6	4	5	2	3	5	4	5	6	6	6	6	6	6	6	6	6	6	6	5	5	4
N0.HOG0000103	0	3	2	2	4	3	3	8	10	9	10	9	1	2	0	2	0	1	1	3	3	3	3	3	3	4	8	3	9	9	2	2	1
N0.HOG0000104	4	3	4	2	3	3	5	4	3	2	2	3	4	4	3	4	7	4	4	4	3	3	3	3	4	4	4	4	3	2	4	4	4
N0.HOG0000106	3	5	5	5	4	4	6	6	7	7	7	6	5	4	4	7	3	4	4	5	5	5	5	4	5	6	6	5	6	7	5	4	4
N0.HOG0000109	5	5	5	5	5	5	5	5	5	5	5	6	6	5	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4
N0.HOG0000112	1	0	1	1	1	1	2	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000113	5	4	3	4	6	4	4	3	3	4	3	3	5	4	4	3	7	4	4	4	4	4	4	4	4	4	3	4	3	3	4	4	4
N0.HOG0000114	0	1	2	4	2	1	9	8	13	8	10	10	15	14	9	4	4	3	3	3	2	2	2	2	9	9	9	10	10	10	12	12	3
N0.HOG0000115	2	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000116	0	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1
N0.HOG0000117	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	7	8	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	6
N0.HOG0000121	3	3	4	3	3	1	3	1	3	3	4	4	2	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	4	3
N0.HOG0000123	1	0	0	3	2	2	0	0	0	0	0	0	0	0	0	2	5	1	1	1	1	1	2	2	0	0	0	0	0	0	0	0	2
N0.HOG0000124	3	5	4	4	4	4	4	4	4	4	4	4	4	4	4	5	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
N0.HOG0000125	2	3	3	3	3	2	2	2	1	4	6	3	2	2	2	2	5	2	2	2	3	3	3	3	2	2	2	2	3	4	2	2	2
N0.HOG0000126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000127	3	3	3	3	5	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000130	5	5	4	3	4	5	5	5	5	4	3	5	5	5	5	3	4	4	5	5	5	4	4	4	5	5	5	5	5	4	5	5	4
N0.HOG0000131	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
N0.HOG0000132	4	3	4	3	3	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
N0.HOG0000133	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
N0.HOG0000134	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
N0.HOG0000135	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000138	5	3	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4
N0.HOG0000139	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000145	1	4	2	2	1	2	1	0	1	1	1	0	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1
