Orthogroup	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean	Total
OG0000496	1	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	9	2	2	2	2	3	3	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	3	1	1	2	2	2	2	2	2	1	1	1	3	2	2	2	2	2	2	2	2	149
OG0000497	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3	2	2	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	2	149
OG0000498	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	0	2	3	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	3	2	2	2	2	2	2	2	3	2	3	8	2	2	2	2	2	2	2	2	2	2	2	2	149
OG0000499	3	2	2	1	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	3	2	2	2	4	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	2	2	2	2	2	149
OG0000500	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	8	2	2	2	1	2	2	2	8	2	2	2	2	2	1	2	1	2	1	2	2	2	2	1	2	2	1	2	1	1	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	148
OG0000501	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	1	4	2	2	2	2	2	2	2	2	2	3	2	2	3	1	2	2	2	3	2	2	2	2	2	148
OG0000502	1	1	2	2	1	1	1	1	1	1	2	3	3	3	2	2	3	2	1	3	2	2	2	2	6	1	1	2	0	4	3	5	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	3	3	3	2	2	2	3	2	2	2	3	2	3	2	2	2	148
OG0000503	2	1	2	1	1	2	2	2	2	2	3	2	2	2	2	3	3	2	2	2	2	1	2	5	1	2	2	1	1	2	4	2	2	1	5	2	2	1	2	4	2	2	4	2	1	3	2	1	1	2	1	2	2	1	2	2	1	1	1	1	2	2	9	1	2	2	2	2	2	2	2	2	148
OG0000504	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	5	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	4	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	148
OG0000505	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	0	2	2	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2	4	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	148
OG0000506	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	3	2	2	2	148
OG0000507	2	2	2	1	1	1	1	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	4	2	2	2	2	2	1	2	1	2	1	3	2	2	2	2	2	1	2	3	1	1	2	2	3	2	2	2	2	3	2	2	2	2	2	1	2	1	2	2	2	1	4	2	25	1	148
OG0000508	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	1	2	3	2	1	1	2	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2	5	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	2	1	2	2	2	2	148
OG0000509	5	1	2	1	2	2	2	2	2	5	2	3	2	2	2	1	2	2	2	2	3	2	3	2	1	7	4	2	6	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	1	2	3	2	2	2	2	2	1	1	1	1	6	2	1	4	2	1	1	1	1	1	1	2	148
OG0000510	1	1	4	1	1	3	3	2	3	1	2	4	4	4	1	1	2	2	2	3	4	2	4	1	1	2	2	2	1	3	3	1	1	2	2	1	2	2	2	2	3	2	2	2	2	3	2	1	4	1	2	1	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	3	2	2	2	148
OG0000511	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	2	2	2	2	2	4	2	2	2	2	2	3	3	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	148
OG0000512	2	1	4	2	2	2	2	2	2	2	2	3	3	3	2	3	3	3	2	3	3	2	4	1	0	2	2	2	2	1	2	1	2	1	3	2	2	2	1	4	2	2	2	1	2	2	2	2	2	2	2	1	2	2	4	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	148
OG0000513	2	2	3	2	2	2	2	2	2	2	1	3	2	2	2	2	2	1	2	2	3	2	2	2	1	2	1	2	2	2	2	1	1	3	3	3	2	3	2	2	3	3	2	1	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	148
OG0000514	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	4	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	148
OG0000515	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	3	2	2	2	2	2	2	2	2	1	2	4	2	3	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	148
OG0000516	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	7	2	2	2	2	2	5	1	2	2	2	3	1	1	2	2	2	2	2	1	2	2	4	2	2	3	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	147
OG0000517	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	3	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	4	2	2	2	3	2	2	2	1	2	2	4	1	5	2	2	1	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	3	2	2	2	147
OG0000518	2	3	2	1	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	3	2	2	2	0	2	2	2	1	1	2	2	1	2	2	4	2	2	2	2	2	2	2	2	2	2	5	3	2	2	1	1	2	2	2	2	2	2	4	2	2	1	3	1	2	2	2	2	2	2	2	2	147
OG0000519	2	4	4	1	2	2	2	2	2	2	1	3	2	2	3	2	2	2	2	2	2	2	2	1	1	1	2	2	1	4	2	3	1	3	6	1	9	2	2	2	2	2	2	1	4	3	2	3	1	2	1	1	1	2	3	2	1	3	1	1	1	2	3	1	1	1	1	1	1	1	1	2	147
OG0000520	2	2	2	2	2	2	1	2	1	3	2	3	4	3	2	2	2	2	2	3	2	2	4	2	1	2	1	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	147
OG0000521	3	5	4	1	2	3	5	2	2	3	2	1	2	1	2	1	1	2	2	1	3	2	1	3	1	2	2	2	1	1	1	1	1	2	2	5	2	2	2	1	1	1	2	4	2	2	4	2	3	4	1	1	2	2	2	1	2	2	2	4	2	2	1	2	2	1	2	1	3	1	2	2	147
OG0000522	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	1	2	3	2	1	4	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	147
OG0000523	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	4	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	2	2	2	2	2	2	147
OG0000524	2	2	2	2	2	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	0	2	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	3	2	2	2	147
OG0000525	1	1	2	3	3	2	3	3	3	1	2	2	2	2	2	3	3	2	2	2	3	2	2	2	1	2	2	3	1	2	2	2	3	2	2	2	2	2	1	2	3	2	2	1	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	4	1	1	4	2	2	2	2	2	1	2	3	147
OG0000526	2	1	2	1	2	2	2	2	2	2	2	2	3	3	2	2	2	3	2	3	3	2	3	1	0	2	2	2	4	1	2	2	2	2	2	2	2	2	2	3	1	1	2	4	2	2	3	2	1	2	2	3	2	2	2	1	2	2	2	2	2	1	2	3	2	2	2	2	2	2	2	2	147
OG0000527	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	4	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	1	6	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	147
OG0000528	2	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	147
OG0000529	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	1	1	2	1	2	3	2	3	2	2	2	1	2	2	2	2	2	3	2	2	2	2	3	1	3	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	147
OG0000530	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	4	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	146
OG0000531	2	2	2	2	1	1	1	1	1	1	1	3	3	1	3	2	5	3	2	5	2	2	5	2	1	2	4	2	3	3	2	3	1	0	1	2	3	1	2	1	1	2	2	2	1	1	4	1	2	1	1	2	1	1	2	2	1	3	3	3	2	2	2	5	2	2	2	2	2	2	2	1	146
OG0000532	2	2	2	1	2	2	2	2	2	2	2	3	3	3	2	1	3	1	2	3	2	2	2	1	0	2	2	2	1	3	2	1	1	2	2	4	2	2	2	2	2	2	2	2	2	2	4	3	3	2	1	2	2	2	2	2	2	2	3	2	2	2	2	1	2	2	2	2	2	2	2	2	146
OG0000533	2	1	3	2	2	3	3	2	2	2	2	2	3	2	2	3	4	3	2	2	2	2	2	1	1	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	2	3	2	2	3	3	3	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	146
OG0000534	3	0	2	2	2	2	2	3	2	2	1	2	3	2	3	2	2	2	2	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	1	2	146
OG0000535	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	146
OG0000536	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	4	2	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	146
OG0000537	2	2	2	2	2	2	2	2	2	2	1	3	3	2	2	2	2	2	2	2	3	2	2	2	0	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	5	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	146
OG0000538	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	3	2	2	2	3	1	2	3	2	2	2	2	2	2	2	1	2	3	1	2	2	3	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	2	146
OG0000539	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	146
OG0000540	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	9	3	2	2	2	2	2	2	2	146
OG0000541	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	0	2	6	2	0	1	1	2	2	2	2	2	2	2	2	4	2	2	2	3	2	2	4	2	2	2	2	1	2	2	2	1	2	2	4	2	2	2	1	2	2	2	2	2	2	2	2	2	146
OG0000542	2	2	2	2	2	2	2	2	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	1	3	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	1	3	2	2	2	2	2	4	2	2	2	2	2	2	1	2	2	2	2	4	2	2	1	2	2	2	2	2	2	2	2	146
OG0000543	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	1	2	2	3	2	0	2	3	2	2	2	3	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	4	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	2	2	2	2	146
OG0000544	2	1	1	2	2	2	2	2	2	2	3	1	1	1	2	1	1	1	1	2	1	2	1	3	1	5	2	2	2	3	3	2	1	2	2	2	2	2	3	1	1	1	3	1	2	2	2	1	3	4	1	2	2	3	2	1	3	3	3	2	4	2	2	1	2	3	3	3	3	2	3	2	146
OG0000545	2	0	1	2	2	2	2	2	2	2	2	2	15	2	2	2	2	2	2	2	2	2	2	2	4	2	2	1	2	2	2	2	2	1	2	2	2	1	2	1	1	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	145
OG0000546	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	2	2	2	2	2	4	2	2	2	0	2	2	2	1	2	2	4	2	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	145
OG0000547	1	3	2	3	2	2	2	2	2	1	1	3	2	3	2	2	3	2	2	3	4	2	2	2	0	1	2	2	1	3	2	2	1	2	2	1	2	2	1	2	3	2	1	2	2	2	6	4	4	1	1	2	1	1	2	2	2	2	3	2	1	2	1	1	2	2	2	2	2	2	2	2	145
OG0000548	2	2	2	1	2	2	2	2	2	2	2	2	2	3	2	4	3	2	2	2	2	2	2	2	0	2	2	2	2	1	2	1	2	2	2	2	2	2	2	3	2	1	2	2	2	2	7	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	1	2	2	2	2	2	3	2	2	2	145
OG0000549	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	145
OG0000550	2	3	3	2	2	2	2	2	2	2	2	4	2	3	2	2	2	3	2	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	145
OG0000551	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	145
OG0000552	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	145
OG0000553	2	2	1	3	2	2	2	2	2	2	2	2	2	3	2	3	3	2	2	2	3	2	2	2	2	2	2	3	1	1	2	1	2	2	3	2	2	2	2	2	1	2	2	2	2	2	2	3	1	2	2	3	1	2	3	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	145
OG0000554	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	1	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	145
OG0000555	2	2	2	2	3	4	5	4	4	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	145
OG0000556	2	2	2	3	2	2	2	2	2	2	2	2	3	3	2	2	2	3	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	3	4	2	2	2	1	2	2	2	1	1	3	2	2	2	3	2	2	2	1	2	2	2	2	2	145
OG0000557	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	145
OG0000558	2	2	2	3	2	2	2	1	2	3	3	1	2	2	2	2	2	2	1	1	2	2	2	7	0	3	1	2	0	2	2	2	0	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	5	5	2	0	1	4	2	2	2	2	2	5	2	2	1	3	1	2	2	2	2	1	1	145
OG0000559	1	3	2	1	2	2	2	2	2	1	7	2	2	2	2	2	1	2	2	2	2	2	2	4	0	2	2	2	2	2	3	2	2	2	2	3	2	2	2	1	1	1	2	1	2	2	2	1	3	2	3	1	2	0	2	1	2	3	2	2	2	2	3	3	3	2	2	2	2	2	2	2	145
OG0000560	0	2	11	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	5	0	12	0	1	1	0	0	0	7	0	0	2	0	4	2	5	0	0	0	0	0	0	0	7	0	1	0	0	0	1	1	1	1	14	0	0	0	53	0	1	1	0	0	0	0	145
OG0000561	0	0	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	1	31	0	0	0	0	0	0	17	11	0	3	0	0	0	0	0	0	0	50	0	0	1	4	0	0	0	0	0	0	0	145
OG0000562	2	2	2	2	2	2	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	3	1	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	4	2	2	2	2	1	2	2	2	2	3	3	2	2	2	2	2	2	2	144
OG0000563	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	1	2	1	2	2	2	2	4	2	2	2	2	1	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	144
OG0000564	1	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	3	2	3	3	3	2	3	2	2	4	2	3	1	1	2	2	1	2	2	2	2	3	2	1	2	2	2	2	2	2	2	2	2	2	3	144
OG0000565	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	79	1	1	1	1	1	1	3	1	1	1	0	1	0	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	144
OG0000566	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	144
OG0000567	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	144
OG0000568	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	144
OG0000569	2	1	1	1	3	3	4	2	3	2	2	2	7	4	5	2	2	2	3	2	4	3	3	1	0	2	3	1	1	0	0	0	0	1	3	1	2	3	2	1	3	2	2	0	2	2	4	2	2	2	1	1	2	1	2	1	2	2	2	2	3	2	1	0	3	2	2	2	2	2	2	2	144
OG0000570	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	1	3	2	2	2	3	2	2	2	2	1	2	2	2	2	2	2	1	4	2	2	1	4	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	144
OG0000571	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	144
OG0000572	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	144
OG0000573	2	2	2	1	2	2	2	2	3	3	3	2	2	2	2	1	2	1	2	2	2	2	2	1	1	2	4	1	1	2	1	2	2	3	2	3	3	3	2	3	2	3	2	0	2	2	3	2	1	2	2	1	2	2	2	1	1	2	3	2	2	3	1	2	3	3	2	2	2	1	2	2	144
OG0000574	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3	2	1	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	144
OG0000575	1	2	3	1	2	2	2	2	2	1	1	2	2	1	2	2	1	2	2	2	2	2	2	1	1	1	8	2	1	1	1	1	2	2	2	1	7	2	2	2	7	5	2	3	3	2	3	2	2	2	1	2	3	1	3	4	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	3	144
OG0000576	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	7	8	1	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	3	1	2	2	1	1	1	1	2	2	2	5	2	1	1	1	1	1	1	2	144
OG0000577	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	3	2	2	1	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	144
OG0000578	6	3	3	2	1	1	2	1	1	4	0	3	2	3	3	1	2	3	2	3	5	2	2	0	0	2	1	2	1	1	2	0	4	1	2	0	2	2	2	4	2	3	2	1	2	2	2	0	1	3	1	3	2	0	2	3	1	3	2	2	5	0	1	4	2	2	2	2	2	2	2	1	143
OG0000579	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	4	2	4	2	2	3	1	2	2	2	1	2	3	2	2	2	2	3	1	2	2	2	2	2	2	2	143
OG0000580	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	3	2	3	2	2	2	2	2	1	2	2	2	2	2	2	2	7	1	2	2	2	2	2	2	3	1	1	2	2	1	2	2	2	2	2	2	1	3	2	2	2	2	2	2	2	2	143
