Orthogroup	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean	Total
OG0000014	7	5	9	5	14	13	15	14	20	6	11	13	15	10	12	12	11	9	12	14	10	13	14	10	15	26	17	6	13	5	7	5	19	12	19	8	12	12	7	28	9	11	22	8	15	24	31	19	8	22	20	3	6	5	27	7	7	8	7	7	37	20	7	34	8	7	7	7	7	6	7	10	908
OG0000015	14	4	16	11	10	11	11	11	11	13	21	10	11	11	11	9	10	10	11	11	10	11	10	12	0	15	14	11	11	13	15	14	19	13	13	15	11	12	21	16	13	14	22	12	11	13	12	12	6	16	11	10	12	9	16	15	12	11	11	10	20	11	14	14	12	14	14	14	16	15	14	14	903
OG0000016	12	10	15	11	12	12	14	12	12	11	11	15	14	13	16	12	12	15	14	13	13	13	15	10	1	12	13	12	9	12	12	12	11	11	12	16	13	12	13	13	12	12	12	13	12	12	19	15	16	12	11	10	11	11	12	13	12	12	24	13	12	9	11	11	11	12	12	12	13	12	12	12	894
OG0000017	11	6	9	9	9	9	9	8	10	9	25	8	11	8	10	8	9	6	9	8	6	11	10	13	70	21	15	10	17	8	7	7	34	10	12	9	9	11	22	11	9	13	12	8	10	11	16	4	10	18	23	5	35	7	6	7	7	7	8	9	25	10	10	35	7	7	8	7	8	8	6	6	866
OG0000018	17	3	22	12	0	0	0	0	0	0	70	1	4	8	6	2	1	4	0	13	1	1	1	3	1	58	23	2	83	0	1	1	0	6	3	74	5	19	14	12	10	12	12	5	5	20	0	9	0	36	42	4	22	2	28	1	2	6	1	14	88	4	7	24	14	1	0	1	1	0	0	10	852
OG0000019	21	2	4	4	10	13	13	9	8	22	12	6	7	7	7	2	5	6	4	7	6	5	4	11	0	15	5	4	16	13	7	8	11	3	5	3	6	7	6	7	3	5	41	3	4	13	7	4	15	88	35	3	15	3	5	10	7	9	16	9	65	9	7	16	24	14	23	30	9	14	14	4	835
OG0000020	7	10	14	10	9	11	10	11	11	7	27	11	11	11	11	6	11	11	10	11	10	10	11	10	0	8	16	12	16	9	9	6	40	11	12	17	10	13	7	12	11	11	8	12	10	14	15	10	8	15	31	7	7	16	12	8	7	8	8	7	18	11	10	12	16	6	8	9	11	10	9	10	814
OG0000021	14	11	4	5	2	2	2	2	2	12	7	2	2	2	2	2	2	2	2	2	2	2	2	5	2	49	11	2	6	31	38	16	3	2	2	8	4	7	44	12	2	2	42	2	2	2	2	2	22	35	8	12	10	4	2	6	15	15	25	59	44	2	7	8	2	19	21	21	38	16	24	4	804
OG0000022	9	6	40	3	0	0	0	0	0	9	26	0	0	0	0	0	0	0	0	0	0	0	0	5	0	33	5	0	11	0	0	0	4	0	0	5	0	0	138	1	2	3	124	0	0	0	0	0	0	120	28	0	31	12	17	0	2	7	2	3	118	0	17	9	12	0	0	0	0	0	0	0	802
OG0000023	14	5	2	12	3	3	2	2	2	10	13	1	2	2	2	2	2	1	1	2	1	2	1	16	5	67	9	3	17	14	17	12	21	2	2	17	2	2	8	2	2	2	19	2	1	2	2	3	14	39	25	13	28	3	2	8	17	26	19	33	48	2	6	21	5	12	18	21	14	11	12	5	738
OG0000024	3	3	23	4	0	0	0	0	0	3	29	23	9	37	36	1	13	6	2	24	12	1	5	1	1	12	4	0	12	0	0	2	0	4	4	72	1	16	4	10	4	5	21	3	3	3	23	9	56	13	6	7	9	1	22	20	1	2	31	8	45	24	1	0	7	6	1	1	0	0	0	6	715
OG0000025	10	9	9	11	9	9	8	8	8	10	10	9	8	9	8	9	9	9	9	9	9	9	9	9	1	10	11	10	18	9	10	9	14	9	8	17	8	9	10	8	9	10	10	9	10	9	15	10	13	10	10	10	9	8	9	10	10	9	16	11	10	8	9	12	10	10	10	10	10	9	9	9	700
OG0000026	42	3	1	8	7	6	6	7	5	50	6	5	6	6	6	2	5	2	6	6	6	6	5	0	0	41	2	3	2	6	5	1	9	2	9	23	4	13	53	15	11	11	37	2	5	13	5	5	4	36	9	1	18	0	3	6	0	3	5	5	30	6	5	29	0	5	4	2	7	6	6	11	680
OG0000027	16	6	10	1	14	17	16	10	14	14	4	8	13	10	13	12	14	8	15	15	11	11	9	13	0	15	9	8	6	9	10	4	0	2	18	1	6	9	13	10	8	7	9	2	12	16	7	12	6	8	12	4	7	1	13	12	5	5	5	13	12	15	12	0	16	11	9	8	10	6	8	13	678
OG0000028	12	7	55	4	1	1	1	1	1	9	21	2	1	2	1	1	1	1	1	2	2	2	1	2	1	25	13	3	10	3	1	0	2	10	0	3	0	10	43	92	47	14	47	4	3	4	0	0	1	26	7	0	33	11	4	2	0	4	1	1	63	0	11	3	2	1	1	1	1	2	2	0	644
