run	node	run_label	biological_label	transition_class	n_significant_expansions	n_significant_contractions	n_expansions_main_model	n_expansions_large_family	n_contractions_main_model	n_contractions_large_family	n_unique_changed_HOGs	n_named_HOGs	n_chemosensory_HOGs	n_TE_expansions_excluded	n_TE_contractions_excluded	excluded_TE_HOGs	family_wide_screen	focal_branch_threshold	downstream_TE_policy
wasp	20	Vespidae_plus_outgroups	crown social Vespidae (Polistinae + Vespinae)	origin of eusociality in sampled social Vespidae	10	2	8	2	2	0	12	10	2	1	0	N0.HOG0000032	p < 0.05	p < 0.01	excluded from totals and biological interpretation
wasp	25	Vespidae_plus_outgroups	crown Vespinae (advanced eusocial wasps)	advanced eusociality	8	2	6	2	2	0	10	9	2	0	1	N0.HOG0000061	p < 0.05	p < 0.01	excluded from totals and biological interpretation
