"contrast","Stage","estimate","SE","df","t.ratio","p.value"
"Vv - Pd","L1",88.1183243617016,2.4834305727285,124,35.4824996234493,8.61848170457714e-67
"Vv - Pd","L2",85.0112923474154,1.97652989773876,124,43.0103751249461,2.24027259176672e-76
"Vv - Pd","L3",79.8703815410021,2.35233402360668,124,33.9536735597363,1.22348306582055e-64
"Vv - Pd","L4",75.1138449632945,0.907072617045433,124,82.8090756481652,2.11890175961394e-110
"Vv - Pd","L5",71.0424237635386,1.17882905000781,124,60.2652469101164,1.05051293010216e-93
"Vv - Pd","P",64.2237847685927,0.803655856060235,124,79.9145359102305,1.61141811495365e-108
