label	HOG	foreground_top_k	annotation_set
SC_pos	N13.HOG0004793	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0004879	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0004886	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0004891	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0004934	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0004957	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0004961	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0004983	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005049	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005080	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005084	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005107	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005142	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005169	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005203	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005222	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005313	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005407	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005428	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005438	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005461	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005505	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005512	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005558	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005604	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005620	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005629	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005679	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005716	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005767	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005785	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005810	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005833	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005834	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005897	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005899	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005902	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0005971	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006012	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006063	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006106	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006142	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006169	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006174	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006180	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006231	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006263	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006286	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006290	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006291	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006298	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006381	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006415	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006427	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006468	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006491	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006495	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006510	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006518	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006537	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006539	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006560	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006567	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006574	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006582	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006699	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006706	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006707	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006720	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006722	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006768	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006783	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006797	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006805	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006806	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006824	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006854	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006880	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006892	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006902	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006944	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006946	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006959	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006983	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0006996	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007010	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007037	300	final_direct_conserved_plus_Dmel_experimental
SC_pos	N13.HOG0007122	300	final_direct_conserved_plus_Dmel_experimental
