HOG	GO.ID	Term	ontology	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment	consensus_gene_name	run	node	biological_label
N0.HOG0000114	GO:0008611	ether lipid biosynthetic process	BP	6	2.43212e-08	0.0089	0.0089	1	0.01	100	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0006723	cuticle hydrocarbon biosynthetic process	BP	6	2.43212e-08	0.01	0.0100	1	0.01	100	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0071329	cellular response to sucrose stimulus	BP	6	2.43212e-08	0.01	0.0100	1	0.01	100	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0090557	establishment of endothelial intestinal barrier	BP	6	2.43212e-08	0.0122	0.0122	1	0.01	100	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0006089	lactate metabolic process	BP	6	2.43212e-08	0.0144	0.0144	1	0.01	100	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0030224	monocyte differentiation	BP	6	2.43212e-08	0.0188	0.0188	1	0.02	50	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0046949	fatty-acyl-CoA biosynthetic process	BP	6	2.43212e-08	0.0243	0.0243	1	0.02	50	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0071353	cellular response to interleukin-4	BP	6	2.43212e-08	0.0243	0.0243	1	0.02	50	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0006084	acetyl-CoA metabolic process	BP	6	2.43212e-08	0.0276	0.0276	1	0.03	33.3333333333333	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0019432	triglyceride biosynthetic process	BP	6	2.43212e-08	0.033	0.0330	1	0.03	33.3333333333333	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0045540	regulation of cholesterol biosynthetic process	BP	6	2.43212e-08	0.0363	0.0363	1	0.04	25	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0034030	ribonucleoside bisphosphate biosynthetic process	BP	6	2.43212e-08	0.0438	0.0438	1	0.04	25	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0034033	purine nucleoside bisphosphate biosynthetic process	BP	6	2.43212e-08	0.0438	0.0438	1	0.04	25	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0042587	glycogen granule	CC	6	2.43212e-08	0.0091	0.0091	1	0.01	100	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0004312	fatty acid synthase activity	MF	6	2.43212e-08	6.3e-05	6.3e-05	2	0.01	200	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000114	GO:0070402	NADPH binding	MF	6	2.43212e-08	0.0126	0.0126	1	0.01	100	fatty acid synthase	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000155	GO:1905268	negative regulation of chromatin organization	BP	2	0.00304223	0.0025	0.0025	2	0.08	25	late histone H1-like / histone H1-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000155	GO:2001251	negative regulation of chromosome organization	BP	2	0.00304223	0.0136	0.0136	2	0.19	10.5263157894737	late histone H1-like / histone H1-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000155	GO:0006334	nucleosome assembly	BP	2	0.00304223	0.0481	0.0481	1	0.05	20	late histone H1-like / histone H1-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000155	GO:0000786	nucleosome	CC	2	0.00304223	0.0137	0.0137	1	0.01	100	late histone H1-like / histone H1-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000162	GO:0019367	fatty acid elongation, saturated fatty acid	BP	2	0.00695568	0.0056	0.0056	1	0.01	100	elongation of very long chain fatty acids protein 1-like / elongation of very long chain fatty acids protein AAEL008004-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000162	GO:0034625	fatty acid elongation, monounsaturated fatty acid	BP	2	0.00695568	0.0056	0.0056	1	0.01	100	elongation of very long chain fatty acids protein 1-like / elongation of very long chain fatty acids protein AAEL008004-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000162	GO:0034626	fatty acid elongation, polyunsaturated fatty acid	BP	2	0.00695568	0.0056	0.0056	1	0.01	100	elongation of very long chain fatty acids protein 1-like / elongation of very long chain fatty acids protein AAEL008004-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000162	GO:0042761	very long-chain fatty acid biosynthetic process	BP	2	0.00695568	0.0089	0.0089	1	0.01	100	elongation of very long chain fatty acids protein 1-like / elongation of very long chain fatty acids protein AAEL008004-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000162	GO:0004312	fatty acid synthase activity	MF	2	0.00695568	6.3e-05	6.3e-05	2	0.01	200	elongation of very long chain fatty acids protein 1-like / elongation of very long chain fatty acids protein AAEL008004-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000162	GO:0009922	fatty acid elongase activity	MF	2	0.00695568	0.0063	0.0063	1	0.01	100	elongation of very long chain fatty acids protein 1-like / elongation of very long chain fatty acids protein AAEL008004-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000504	GO:0033387	putrescine biosynthetic process from arginine, via ornithine	BP	3	8.39423e-05	0.0022	0.0022	1	0	Inf	antizyme inhibitor 2-like / ornithine decarboxylase-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000504	GO:0006591	ornithine metabolic process	BP	3	8.39423e-05	0.0078	0.0078	1	0.01	100	antizyme inhibitor 2-like / ornithine decarboxylase-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000504	GO:0006521	regulation of amino acid metabolic process	BP	3	8.39423e-05	0.0144	0.0144	1	0.01	100	antizyme inhibitor 2-like / ornithine decarboxylase-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000504	GO:0033238	regulation of amine metabolic process	BP	3	8.39423e-05	0.0363	0.0363	1	0.04	25	antizyme inhibitor 2-like / ornithine decarboxylase-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000504	GO:0004586	ornithine decarboxylase activity	MF	3	8.39423e-05	0.0025	0.0025	1	0	Inf	antizyme inhibitor 2-like / ornithine decarboxylase-like	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000814	GO:1905268	negative regulation of chromatin organization	BP	2	0.00304223	0.0025	0.0025	2	0.08	25	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000814	GO:0042572	retinol metabolic process	BP	2	0.00304223	0.0067	0.0067	1	0.01	100	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000814	GO:0042574	retinal metabolic process	BP	2	0.00304223	0.0067	0.0067	1	0.01	100	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000814	GO:2001251	negative regulation of chromosome organization	BP	2	0.00304223	0.0136	0.0136	2	0.19	10.5263157894737	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000814	GO:0090312	positive regulation of protein deacetylation	BP	2	0.00304223	0.0199	0.0199	1	0.02	50	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000814	GO:0043616	keratinocyte proliferation	BP	2	0.00304223	0.0232	0.0232	1	0.02	50	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000814	GO:2000757	negative regulation of peptidyl-lysine acetylation	BP	2	0.00304223	0.0265	0.0265	1	0.03	33.3333333333333	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	wasp	25	crown Vespinae (advanced eusocial wasps)
N0.HOG0000814	GO:0004745	all-trans-retinol dehydrogenase (NAD+) activity	MF	2	0.00304223	0.0063	0.0063	1	0.01	100	estradiol 17-beta-dehydrogenase 11-like / short-chain dehydrogenase/reductase family 16C member 6	wasp	25	crown Vespinae (advanced eusocial wasps)
