HOG	GO.ID	Term	ontology	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment	consensus_gene_name	run	node	biological_label
N0.HOG0000058	GO:0008610	lipid biosynthetic process	BP	3	0.000638988	0.0321	0.03210	3	0.43	6.97674418604651	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0007608	sensory perception of smell	BP	3	0.000638988	0.03731	0.03731	3	0.09	33.3333333333333	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0003382	epithelial cell morphogenesis	BP	3	0.000638988	0.04223	0.04223	1	0.04	25	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0003845	11-beta-hydroxysteroid dehydrogenase [NAD(P)+] activity	MF	3	0.000638988	0.00111	0.00111	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0047886	farnesol dehydrogenase activity	MF	3	0.000638988	0.00111	0.00111	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0072582	17-beta-hydroxysteroid dehydrogenase (NADP+) activity	MF	3	0.000638988	0.00222	0.00222	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0000253	3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity	MF	3	0.000638988	0.00333	0.00333	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0005476	carnitine:O-acyl-L-carnitine antiporter activity	MF	3	0.000638988	0.00333	0.00333	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	MF	3	0.000638988	0.00554	0.00554	1	0.01	100	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0004745	all-trans-retinol dehydrogenase (NAD+) activity	MF	3	0.000638988	0.00554	0.00554	1	0.01	100	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0015095	magnesium ion transmembrane transporter activity	MF	3	0.000638988	0.00775	0.00775	1	0.01	100	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0050661	NADP binding	MF	3	0.000638988	0.01799	0.01799	2	0.03	66.6666666666667	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0008519	ammonium channel activity	MF	3	0.000638988	0.02092	0.02092	1	0.02	50	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0005496	steroid binding	MF	3	0.000638988	0.04254	0.04254	1	0.04	25	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0006723	cuticle hydrocarbon biosynthetic process	BP	6	0.00287406	2.9e-05	2.9e-05	2	0.01	200	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0019373	epoxygenase P450 pathway	BP	6	0.00287406	0.00098	0.00098	1	0	Inf	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0018904	ether metabolic process	BP	6	0.00287406	0.00168	0.00168	2	0.01	200	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0046222	aflatoxin metabolic process	BP	6	0.00287406	0.00195	0.00195	1	0	Inf	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0019233	sensory perception of pain	BP	6	0.00287406	0.00426	0.00426	2	0.1	20	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0010430	fatty acid omega-oxidation	BP	6	0.00287406	0.00488	0.00488	1	0	Inf	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0016125	sterol metabolic process	BP	6	0.00287406	0.00929	0.00929	2	0.1	20	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:1901568	fatty acid derivative metabolic process	BP	6	0.00287406	0.01842	0.01842	2	0.07	28.5714285714286	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0040038	polar body extrusion after meiotic divisions	BP	6	0.00287406	0.02227	0.02227	1	0.02	50	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0001523	retinoid metabolic process	BP	6	0.00287406	0.02706	0.02706	1	0.03	33.3333333333333	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0006369	termination of RNA polymerase II transcription	BP	6	0.00287406	0.03087	0.03087	1	0.03	33.3333333333333	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0008610	lipid biosynthetic process	BP	6	0.00287406	0.0321	0.03210	3	0.43	6.97674418604651	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000101	GO:0000398	mRNA splicing, via spliceosome	BP	6	0.00287406	0.03726	0.03726	2	0.32	6.25	cytochrome P450 family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
