annotation_set	foreground_top_k	topGO_algorithm	topGO_statistic	nodeSize	multiple_testing_correction	label	ontology	GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	p	algorithm	Members_n	MembersStr	definition
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0007350	blastoderm segmentation	113	24	7.58	3.1662269129287597	0.00966	weight01	24	N13.HOG0001944;N13.HOG0002158;N13.HOG0002535;N13.HOG0004082;N13.HOG0004252;N13.HOG0004256;N13.HOG0004883;N13.HOG0005038;N13.HOG0005196;N13.HOG0005732;N13.HOG0005968;N13.HOG0006055;N13.HOG0006522;N13.HOG0006603;N13.HOG0006816;N13.HOG0006939;N13.HOG0007309;N13.HOG0007355;N13.HOG0007446;N13.HOG0008518;N13.HOG0009545;N13.HOG0010427;N13.HOG0010506;N13.HOG0010602	The hierarchical steps resulting in the progressive subdivision of the anterior/posterior axis of the embryo.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0007162	negative regulation of cell adhesion	48	14	3.22	4.3478260869565215	0.00977	weight01	14	N13.HOG0003884;N13.HOG0004432;N13.HOG0005196;N13.HOG0005581;N13.HOG0006141;N13.HOG0006383;N13.HOG0007309;N13.HOG0007368;N13.HOG0007446;N13.HOG0007863;N13.HOG0008028;N13.HOG0008388;N13.HOG0009960;N13.HOG0010427	Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0007173	epidermal growth factor receptor signaling pathway	77	15	5.17	2.9013539651837523	0.00992	weight01	15	N13.HOG0002051;N13.HOG0004432;N13.HOG0004580;N13.HOG0004613;N13.HOG0005180;N13.HOG0006141;N13.HOG0006200;N13.HOG0006816;N13.HOG0007309;N13.HOG0007368;N13.HOG0007616;N13.HOG0007679;N13.HOG0008518;N13.HOG0008757;N13.HOG0010506	The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor EGFR (ERBB1) on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0048592	eye morphogenesis	216	40	14.5	2.7586206896551726	0.00998	weight01	40	N13.HOG0002101;N13.HOG0002158;N13.HOG0003201;N13.HOG0003867;N13.HOG0004009;N13.HOG0004252;N13.HOG0004256;N13.HOG0004613;N13.HOG0004716;N13.HOG0004947;N13.HOG0004978;N13.HOG0005004;N13.HOG0005196;N13.HOG0005432;N13.HOG0005457;N13.HOG0005711;N13.HOG0005722;N13.HOG0005723;N13.HOG0005732;N13.HOG0005941;N13.HOG0006141;N13.HOG0006201;N13.HOG0006522;N13.HOG0006776;N13.HOG0006803;N13.HOG0006816;N13.HOG0006830;N13.HOG0006948;N13.HOG0007104;N13.HOG0007176;N13.HOG0007178;N13.HOG0007309;N13.HOG0008258;N13.HOG0008308;N13.HOG0008388;N13.HOG0008518;N13.HOG0008557;N13.HOG0008565;N13.HOG0009185;N13.HOG0010506	The process in which the anatomical structures of the eye are generated and organized.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0016202	regulation of striated muscle tissue development	37	7	2.48	2.8225806451612905	0.01022	weight01	7	N13.HOG0001944;N13.HOG0004256;N13.HOG0005196;N13.HOG0005711;N13.HOG0005722;N13.HOG0005732;N13.HOG0009138	Any process that modulates the frequency, rate or extent of striated muscle development.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0007565	female pregnancy	37	7	2.48	2.8225806451612905	0.01022	weight01	7	N13.HOG0000931;N13.HOG0002643;N13.HOG0002644;N13.HOG0006894;N13.HOG0007093;N13.HOG0009524;N13.HOG0009575	The set of physiological processes that allow an embryo or foetus to develop within the body of a female animal. It covers the time from fertilization of a female ovum by a male spermatozoon until birth.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0030707	follicle cell of egg chamber development	145	25	9.73	2.5693730729701953	0.01089	weight01	25	N13.HOG0002492;N13.HOG0002644;N13.HOG0003908;N13.HOG0004062;N13.HOG0004082;N13.HOG0004256;N13.HOG0004613;N13.HOG0004920;N13.HOG0004978;N13.HOG0005038;N13.HOG0005256;N13.HOG0005480;N13.HOG0005968;N13.HOG0006254;N13.HOG0006522;N13.HOG0006585;N13.HOG0006816;N13.HOG0007309;N13.HOG0007679;N13.HOG0007863;N13.HOG0008028;N13.HOG0008458;N13.HOG0008557;N13.HOG0008728;N13.HOG0010427	The process that occurs during oogenesis involving the ovarian follicle cells, somatic cells which surround the germ cells of an ovary. An example of this is found in Drosophila melanogaster.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0060218	hematopoietic stem cell differentiation	21	5	1.41	3.546099290780142	0.01095	weight01	5	N13.HOG0002101;N13.HOG0002535;N13.HOG0002789;N13.HOG0006141;N13.HOG0008458	The process in which a relatively unspecialized cell acquires specialized features of a hematopoietic stem cell. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells.
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0038093	Fc receptor signaling pathway	21	5	1.41	3.546099290780142	0.01095	weight01	5	N13.HOG0004432;N13.HOG0006141;N13.HOG0007176;N13.HOG0007368;N13.HOG0007679	NA
final_direct_conserved_plus_Dmel_experimental	300	weight01	fisher	20	none	Stage_pos	BP	GO:0046825	regulation of protein export from nucleus	21	5	1.41	3.546099290780142	0.01095	weight01	5	N13.HOG0006141;N13.HOG0007309;N13.HOG0008028;N13.HOG0009185;N13.HOG0009717	Any process that modulates the frequency, rate or extent of the directed movement of proteins from the nucleus to the cytoplasm.
