task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	fa/499daa	148866	CAFE_RUN_K (k=2)	COMPLETED	0	2026-08-16 09:52:05.340	15m 30s	11m 5s	685.9%	703.2 MB	1.1 GB	662.4 KB	11.4 MB
51	7d/4bab56	148919	MERGE_CAFE_LARGE_RESULTS	COMPLETED	0	2026-08-16 10:00:35.553	11m 30s	621ms	34.2%	1.7 MB	7 MB	1.1 MB	115.1 KB
53	47/5e5b21	148921	CAFE_SIG_FAMILIES_LARGE (1)	COMPLETED	0	2026-08-16 10:12:12.746	8m 28s	2.2s	90.6%	134.9 MB	300.3 MB	14.7 MB	1.9 MB
4	b8/4ffcdc	148864	CAFE_RUN_K (k=3)	COMPLETED	0	2026-08-16 09:52:04.372	30m 31s	26m 5s	636.5%	727.9 MB	1.2 GB	667.4 KB	12 MB
6	fe/607192	148865	CAFE_RUN_K (k=5)	COMPLETED	0	2026-08-16 09:52:05.170	30m 35s	26m 13s	756.3%	777.7 MB	1.2 GB	663.6 KB	13.1 MB
52	17/28083f	148922	CAFE_PLOT_LARGE (1)	COMPLETED	0	2026-08-16 10:12:20.632	14m 55s	6m 15s	4.1%	78.5 MB	188.7 MB	246.6 MB	2.9 MB
5	f9/d4b8f2	148868	CAFE_RUN_K (k=4)	COMPLETED	0	2026-08-16 09:52:05.573	43m 50s	22m 58s	671.6%	753.9 MB	1.2 GB	662.7 KB	12.6 MB
7	1b/58aecc	148867	CAFE_RUN_K (k=6)	COMPLETED	0	2026-08-16 09:52:05.456	51m 50s	31m 1s	752.1%	809.3 MB	1.2 GB	663.7 KB	13.7 MB
54	63/196cd9	149983	CAFE_SELECT_K	COMPLETED	0	2026-08-16 10:44:07.066	3m 3s	516ms	20.3%	5.5 MB	21.8 MB	1.7 MB	693 B
55	97/37c8dd	150016	CAFE_RUN_BEST (k6_poisson)	COMPLETED	0	2026-08-16 10:47:10.904	45m 45s	43m 13s	747.1%	803.1 MB	1.2 GB	669.1 KB	13.5 MB
56	98/74d7f5	150107	CAFE_MODEL_COMPARE (cafe_model_compare)	COMPLETED	0	2026-08-16 11:33:11.200	3m 35s	12.2s	0.3%	2.6 MB	13.1 MB	13.6 MB	13.4 MB
57	11/d88917	150170	CAFE_NODE_GUIDE (1)	COMPLETED	0	2026-08-16 11:36:47.376	8m 48s	1.4s	84.2%	79.7 MB	383.4 MB	18.7 MB	24.1 KB
58	b9/a2a633	150169	CAFE_SIG_FAMILIES (1)	COMPLETED	0	2026-08-16 11:36:47.259	9m 3s	4.1s	91.9%	183.8 MB	346.5 MB	23.1 MB	4 MB
60	90/d7d521	150179	COMBINE_CAFE_SIG_FAMILIES (1)	COMPLETED	0	2026-08-16 11:46:00.291	2m 45s	192ms	66.0%	7.7 MB	26.8 MB	1.8 MB	1.2 MB
59	19/ee8134	150168	CAFE_PLOT (1)	COMPLETED	0	2026-08-16 11:36:47.151	46m 9s	37m 14s	16.1%	393.8 MB	509.7 MB	7.2 GB	104.6 MB
