gene_id	gene_name	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
LOC107068707	LOC107068707	40.904565	61.913692	62.4283	35.329793	23.140066	28.919149	34.413472	37.076853	48.090763	35.195935	33.87681	19.881566	13.968417	18.649474	16.37595	69.892657	17.504916	25.381658	27.507721	63.43294	32.662048	39.82876	13.066233	15.315243	26.396353	25.01679	29.454124	7.962025	29.148269	22.394131	25.389591	29.319123	40.717494	22.019714	53.848529	10.456075	8.50095	15.145746	18.124923	15.120765	27.635538	16.144775	14.44461	12.909435	25.276416	18.637061	25.482258	29.444109	32.568572	37.927541	22.335748	34.019663	13.528596	24.195852	32.006031	25.959457	23.34223	16.72111	9.819583	18.260699	22.823728	15.511557	19.437345	55.679812	16.972617	97.192467	22.072614	16.665485	15.864762	26.152301	9.757072	16.563467	24.466695	51.685568	23.679859	19.262108	34.704457
LOC107068708	LOC107068708	12.126488	15.730826	15.45875	8.057159	13.995046	17.596528	18.312418	16.183108	14.329994	15.921547	14.991776	14.343123	8.047022	8.087463	7.970771	12.661812	8.643189	11.724714	9.145171	15.887716	12.961792	13.005341	13.466718	6.049939	13.158386	11.454461	7.510039	4.261835	7.561698	5.552389	9.294704	9.250064	7.969196	8.991795	12.894719	3.658111	3.145173	5.343444	9.421355	3.257786	7.109858	8.676825	6.539575	4.335196	9.125405	5.739231	8.536848	8.083341	13.754477	18.611858	11.045041	13.402481	10.70986	10.062381	9.823461	10.735114	7.351564	8.374456	6.030103	10.482165	11.054833	6.127689	6.930764	14.144003	9.104035	16.017717	9.36743	7.051254	10.255025	11.628927	5.431934	11.883865	15.714318	11.683108	8.253042	9.316799	14.703645
LOC107068709	LOC107068709	9.192857	11.138518	16.298912	5.586549	4.247289	9.40286	13.244882	5.72354	11.736411	7.87923	8.299341	20.325047	13.233864	3.665503	17.438743	10.115329	16.541686	2.460564	6.335772	17.516314	8.959192	2.620717	4.503261	1.43177	3.265012	4.476051	4.662047	0.40495	4.014666	3.13313	2.225828	9.718592	6.956469	2.96149	12.591188	0.842932	0.672576	0.92825	2.269531	0.809783	7.503804	2.671349	2.518616	2.166032	14.65097	6.613035	2.863029	7.297523	4.346381	8.08426	3.256369	5.168532	2.269855	2.793456	5.808329	4.460184	3.568887	9.549353	4.873383	10.009259	10.350699	10.065003	6.286591	13.444639	8.335757	16.987703	0.44046	0.149219	5.371059	2.125762	0.341704	2.73522	5.482302	3.635837	10.581713	5.385117	14.31148
LOC107068710	LOC107068710	29.906166	38.277817	40.620256	23.723557	12.471614	16.515477	17.011665	16.581752	46.457522	19.357616	14.59136	14.416265	30.683668	17.545272	24.352423	28.798065	33.068454	21.338008	18.354991	46.736734	36.23466	14.727511	19.464694	7.826972	25.955883	30.541201	15.28039	7.009129	17.843624	60.62345	29.041441	56.394997	20.658182	16.67433	31.268207	7.220911	4.715796	8.488012	18.376553	6.351674	17.095111	10.403386	15.654363	19.688663	115.645369	29.105905	16.085927	19.080296	12.339945	22.580562	10.489587	10.654176	16.953221	28.861292	9.90326	14.773956	8.877648	20.969699	17.763068	31.484997	31.863228	32.23911	20.379235	36.600474	32.875058	34.506973	12.596214	5.957727	45.705573	16.561758	2.890033	13.707259	20.03443	38.367641	36.604513	33.769907	63.85451
LOC107068711	LOC107068711	0.077421	1.654732	4.150543	24.630046	0.42735	2.558651	1.53357	0.434181	11.676632	0.587307	0.932227	4.148947	0.454137	36.747531	0.504014	0.072732	0.349711	2.563699	46.559331	14.987009	3.729617	0.351096	0.596779	0.151075	0.919635	1.975803	1.190485	0.232711	0.757731	0.172493	0.176308	0.382322	0.250413	23.669269	125.514618	0.113164	0.097721	0.195134	1.70999	0.723125	0.674571	0.227976	0.47014	0.097372	0.295785	0.863288	30.41762	83.371273	2.105549	2.297306	1.451124	0.752746	1.602816	0.569066	0.407989	1.127703	0.349644	0.318255	0.38813	0.567475	1.24676	0.602073	0.132498	90.86589	0.755687	1.029947	0.093971	0.026809	0.428553	0.758632	0.049151	0.358741	0.449415	0.322702	0.613818	0.760594	0.346196
LOC107068712	LOC107068712	0.066255	0.132507	0.270762	1.175975	5.395107	12.733902	10.092568	4.594931	0.180503	2.465096	6.334395	6.838148	1.992058	0.31486	1.713261	0.097397	0.210165	16.292295	0.163257	0.098458	2.348312	6.903226	19.905371	1.869603	0.927684	0.55342	1.598874	0.777304	0.806836	1.938618	18.152035	1.900935	3.132517	0.085175	0.14737	2.210094	0.664881	5.390066	5.854669	4.106152	4.780335	7.648476	5.327168	3.215078	2.34844	4.458504	0.27673	0.260828	0.285881	1.492142	4.929602	5.832897	3.82062	4.896438	0.372034	5.908415	0	2.714236	0.579068	1.45279	4.542403	0.43369	0.061421	0.063659	2.265906	0.058579	5.170135	0.404723	3.087045	7.43969	0.691727	9.547185	8.587699	0.174286	3.289182	3.176632	0.406413
LOC107068713	LOC107068713	31.164768	37.889772	39.066941	27.255744	48.697241	33.493291	32.801401	48.849498	39.940442	36.552785	36.028419	13.307339	19.301235	25.938023	15.629156	40.099303	14.369675	42.521192	20.605271	40.401739	34.654631	36.351146	34.946731	26.784847	36.654784	34.825821	33.867321	25.344541	46.084573	28.367647	43.38918	33.712643	28.037406	25.231832	34.445741	22.556286	21.102732	31.343858	38.641132	30.126473	30.44611	31.421586	26.064243	22.82445	20.868897	20.489081	23.573271	24.56619	34.28109	36.099986	26.335643	25.212856	26.035622	37.189802	21.362324	27.014863	29.040136	19.108131	14.308758	20.254773	22.288776	15.337355	19.157135	37.545188	22.308544	35.923715	45.368938	23.734118	24.886705	33.119118	16.814711	26.881783	42.141305	41.424706	17.384398	26.221221	33.909876
LOC107068714	LOC107068714	0.097039	0.12383	0.042099	0.757286	2.776307	7.238401	4.35735	1.754125	0.087833	1.547255	2.588353	3.1385	1.380359	0.335732	1.018867	0.091019	0.196472	10.477429	0.101689	0	2.067753	4.145674	17.238653	1.49854	0.787673	0.198253	0.645123	1.889208	0.564972	0.835693	7.665607	0.767476	1.223921	0.039743	0.045859	3.644355	2.779127	3.969228	4.788027	3.541962	2.212035	4.287387	2.842045	1.327928	0.617917	1.764964	0.268029	0.16224	0.328044	1.044397	2.810754	3.288345	3.519674	2.011632	0.11601	2.630512	0.03899	1.085527	0.526818	0.904045	2.213176	0.648119	0	0.185548	1.338731	0	6.533348	0.731642	2.019403	5.30261	0.52324	5.413638	3.926963	0.203372	1.452022	1.278948	0.108488
LOC107068715	LOC107068715	13.098126	28.399271	26.375069	17.467976	8.292861	6.135163	8.143683	11.647455	28.136502	9.252247	6.725331	2.688073	6.288897	14.870064	6.948486	20.511765	7.2497	15.127162	14.153303	22.627208	11.144839	15.6358	24.531264	14.874093	13.204679	17.220817	13.767585	31.67565	16.908889	13.995114	15.562186	11.340017	9.198873	12.09496	15.547227	19.926113	27.647925	17.542714	15.802834	35.81534	12.568454	13.80108	12.188293	13.259047	7.330799	8.042763	12.872099	14.771811	16.000904	10.100156	8.083544	9.612371	12.519283	11.080296	8.323985	8.942773	11.319865	7.086268	4.261689	6.549771	9.556162	10.155331	8.724215	22.626053	10.836575	20.405787	27.43821	22.17357	10.813124	16.214519	15.568536	14.118582	9.041891	30.688111	7.237832	5.834831	9.228911
LOC107068716	LOC107068716	31.516617	42.677082	42.332454	29.99963	29.206158	29.57395	33.343862	29.72878	47.203447	30.170337	28.856458	22.546782	16.871974	23.387593	14.881806	37.846771	17.283023	26.47683	25.311053	44.949678	31.497472	24.359636	26.288563	14.6551	27.330271	27.525691	28.27463	14.194897	34.01583	20.71327	32.793965	26.518562	21.775075	21.855251	46.199295	12.545742	11.238238	16.363378	24.181944	15.341852	32.83346	18.878292	20.202593	16.140271	22.61247	20.202376	23.530009	26.610767	31.050732	30.788804	22.760889	23.740668	22.018657	27.117393	22.863423	24.766099	22.996282	15.974543	16.341884	19.639352	20.689984	12.805786	22.099569	43.246634	20.12412	44.336467	21.667108	13.181709	20.88627	22.726928	9.325276	19.005254	35.272388	35.196862	20.231203	23.638265	30.278096
