GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	topGOresult	p_raw	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	ontology	algorithm	statistic	Members_n	Members
GO:0004312	fatty acid synthase activity	10	2	0.01	200	6.3e-05	6.3e-05	0.220878	0.220878	0.220878	0.220878	0.220878	1	0.220878	6.3e-05	MF	weight01	fisher	2	N0.HOG0000114;N0.HOG0000162
GO:0033387	putrescine biosynthetic process from arginine, via ornithine	2	1	0	Inf	0.0022	0.0022	1	1	1	1	1	1	1	0.0022	BP	weight01	fisher	1	N0.HOG0000504
GO:0004586	ornithine decarboxylase activity	2	1	0	Inf	0.0025	0.0025	1	1	1	1	1	1	1	0.0025	MF	weight01	fisher	1	N0.HOG0000504
GO:1905268	negative regulation of chromatin organization	70	2	0.08	25	0.0025	0.0025	1	1	1	1	1	1	1	0.0025	BP	weight01	fisher	2	N0.HOG0000155;N0.HOG0000814
GO:1902321	methyl-branched fatty acid biosynthetic process	3	1	0	Inf	0.0033	0.0033	1	1	1	1	1	1	1	0.0033	BP	weight01	fisher	1	N0.HOG0000114
GO:0032100	positive regulation of appetite	3	1	0	Inf	0.0033	0.0033	1	1	1	1	1	1	1	0.0033	BP	weight01	fisher	1	N0.HOG0000114
GO:0097209	epidermal lamellar body	3	1	0	Inf	0.0034	0.0034	1	1	1	1	1	1	1	0.0034	CC	weight01	fisher	1	N0.HOG0000108
GO:0019367	fatty acid elongation, saturated fatty acid	5	1	0.01	100	0.0056	0.0056	1	1	1	1	1	1	1	0.0056	BP	weight01	fisher	1	N0.HOG0000162
GO:0034625	fatty acid elongation, monounsaturated fatty acid	5	1	0.01	100	0.0056	0.0056	1	1	1	1	1	1	1	0.0056	BP	weight01	fisher	1	N0.HOG0000162
GO:0034626	fatty acid elongation, polyunsaturated fatty acid	5	1	0.01	100	0.0056	0.0056	1	1	1	1	1	1	1	0.0056	BP	weight01	fisher	1	N0.HOG0000162
