species	term	gene
pd	map01130	LOC107063751
pd	map01200	LOC107063751
pd	map04146	LOC107063751
pd	map04913	LOC107063751
pd	map04925	LOC107063751
pd	map04927	LOC107063751
pd	map04934	LOC107063751
pd	map04144	LOC107063756
pd	map04217	LOC107063756
pd	map03060	LOC107063757
pd	map01524	LOC107063759
pd	map04016	LOC107063759
pd	map00510	LOC107063761
pd	map00513	LOC107063761
pd	map01100	LOC107063761
pd	map00230	LOC107063766
pd	map00240	LOC107063766
pd	map01100	LOC107063766
pd	map03020	LOC107063766
pd	map03030	LOC107063766
pd	map03410	LOC107063766
pd	map03420	LOC107063766
pd	map05166	LOC107063766
pd	map04140	LOC107063770
pd	map05200	LOC107063770
pd	map05219	LOC107063770
pd	map00350	LOC107063775
pd	map00643	LOC107063775
pd	map01100	LOC107063775
pd	map01120	LOC107063775
pd	map04014	LOC107063776
pd	map04015	LOC107063776
pd	map04016	LOC107063776
pd	map04020	LOC107063776
pd	map04022	LOC107063776
pd	map04024	LOC107063776
pd	map04070	LOC107063776
pd	map04114	LOC107063776
pd	map04218	LOC107063776
pd	map04261	LOC107063776
pd	map04270	LOC107063776
pd	map04371	LOC107063776
pd	map04626	LOC107063776
pd	map04713	LOC107063776
pd	map04720	LOC107063776
pd	map04722	LOC107063776
pd	map04728	LOC107063776
pd	map04740	LOC107063776
pd	map04744	LOC107063776
pd	map04745	LOC107063776
pd	map04750	LOC107063776
pd	map04910	LOC107063776
pd	map04912	LOC107063776
pd	map04915	LOC107063776
pd	map04916	LOC107063776
pd	map04921	LOC107063776
pd	map04922	LOC107063776
pd	map04924	LOC107063776
pd	map04925	LOC107063776
pd	map04970	LOC107063776
pd	map04971	LOC107063776
pd	map05010	LOC107063776
pd	map05031	LOC107063776
pd	map05034	LOC107063776
pd	map05133	LOC107063776
pd	map05152	LOC107063776
pd	map05167	LOC107063776
pd	map05200	LOC107063776
pd	map05214	LOC107063776
pd	map05418	LOC107063776
pd	map03013	LOC107063796
pd	map04137	LOC107063798
pd	map04140	LOC107063798
pd	map04141	LOC107063798
pd	map04210	LOC107063798
pd	map04214	LOC107063798
pd	map04932	LOC107063798
pd	map05010	LOC107063798
pd	map05160	LOC107063798
