species	term	gene
pd	map04072	LOC107069422
pd	map04114	LOC107069422
pd	map04211	LOC107069422
pd	map04213	LOC107069422
pd	map04261	LOC107069422
pd	map04270	LOC107069422
pd	map04371	LOC107069422
pd	map04540	LOC107069422
pd	map04611	LOC107069422
pd	map04713	LOC107069422
pd	map04714	LOC107069422
pd	map04723	LOC107069422
pd	map04724	LOC107069422
pd	map04725	LOC107069422
pd	map04727	LOC107069422
pd	map04750	LOC107069422
pd	map04911	LOC107069422
pd	map04912	LOC107069422
pd	map04913	LOC107069422
pd	map04914	LOC107069422
pd	map04915	LOC107069422
pd	map04916	LOC107069422
pd	map04918	LOC107069422
pd	map04921	LOC107069422
pd	map04923	LOC107069422
pd	map04925	LOC107069422
pd	map04926	LOC107069422
pd	map04927	LOC107069422
pd	map04934	LOC107069422
pd	map04961	LOC107069422
pd	map04962	LOC107069422
pd	map04970	LOC107069422
pd	map04971	LOC107069422
pd	map04972	LOC107069422
pd	map04976	LOC107069422
pd	map05032	LOC107069422
pd	map05110	LOC107069422
pd	map05166	LOC107069422
pd	map05200	LOC107069422
pd	map05414	LOC107069422
pd	map04015	LOC107069423
pd	map04925	LOC107069423
pd	map04080	LOC107069425
pd	map04723	LOC107069425
pd	map04727	LOC107069425
pd	map04742	LOC107069425
pd	map05032	LOC107069425
pd	map05033	LOC107069425
pd	map04080	LOC107069426
pd	map04723	LOC107069426
pd	map04726	LOC107069426
pd	map04727	LOC107069426
pd	map05032	LOC107069426
pd	map05033	LOC107069426
pd	map00100	LOC107069427
pd	map04142	LOC107069427
pd	map04979	LOC107069427
pd	map04390	LOC107069428
pd	map04391	LOC107069428
pd	map04530	LOC107069428
pd	map05165	LOC107069428
pd	map00790	LOC107069429
pd	map01100	LOC107069429
pd	map04727	LOC107069429
pd	map04151	LOC107069431
pd	map04510	LOC107069431
pd	map04512	LOC107069431
pd	map04514	LOC107069431
pd	map04640	LOC107069431
pd	map04810	LOC107069431
pd	map05145	LOC107069431
pd	map05165	LOC107069431
pd	map05200	LOC107069431
pd	map05222	LOC107069431
pd	map05410	LOC107069431
pd	map05412	LOC107069431
pd	map05414	LOC107069431
pd	map05162	LOC107069432
pd	map03030	LOC107069435
pd	map03420	LOC107069435
pd	map03430	LOC107069435
pd	map03440	LOC107069435
pd	map03460	LOC107069435
pd	map04010	LOC107069436
pd	map04014	LOC107069436
pd	map04151	LOC107069436
pd	map04722	LOC107069436
pd	map05034	LOC107069436
pd	map01521	LOC107069438
pd	map01522	LOC107069438
pd	map01524	LOC107069438
pd	map04010	LOC107069438
pd	map04012	LOC107069438
pd	map04014	LOC107069438
pd	map04015	LOC107069438
pd	map04022	LOC107069438
pd	map04024	LOC107069438
pd	map04062	LOC107069438
pd	map04066	LOC107069438
pd	map04068	LOC107069438
pd	map04071	LOC107069438
pd	map04072	LOC107069438
pd	map04140	LOC107069438
pd	map04150	LOC107069438
pd	map04151	LOC107069438
pd	map04152	LOC107069438
pd	map04210	LOC107069438
pd	map04211	LOC107069438
pd	map04212	LOC107069438
pd	map04213	LOC107069438
pd	map04218	LOC107069438
pd	map04261	LOC107069438
pd	map04370	LOC107069438
pd	map04371	LOC107069438
pd	map04380	LOC107069438
pd	map04510	LOC107069438
pd	map04550	LOC107069438
pd	map04611	LOC107069438
pd	map04620	LOC107069438
pd	map04630	LOC107069438
pd	map04660	LOC107069438
pd	map04662	LOC107069438
pd	map04664	LOC107069438
pd	map04666	LOC107069438
pd	map04668	LOC107069438
pd	map04722	LOC107069438
pd	map04725	LOC107069438
pd	map04728	LOC107069438
pd	map04910	LOC107069438
pd	map04914	LOC107069438
pd	map04915	LOC107069438
pd	map04917	LOC107069438
pd	map04919	LOC107069438
pd	map04920	LOC107069438
pd	map04922	LOC107069438
pd	map04923	LOC107069438
pd	map04926	LOC107069438
pd	map04931	LOC107069438
pd	map04932	LOC107069438
pd	map04933	LOC107069438
pd	map04973	LOC107069438
pd	map05142	LOC107069438
pd	map05145	LOC107069438
pd	map05152	LOC107069438
pd	map05160	LOC107069438
pd	map05161	LOC107069438
pd	map05162	LOC107069438
pd	map05164	LOC107069438
pd	map05165	LOC107069438
pd	map05166	LOC107069438
pd	map05167	LOC107069438
pd	map05169	LOC107069438
pd	map05200	LOC107069438
pd	map05205	LOC107069438
pd	map05210	LOC107069438
pd	map05211	LOC107069438
pd	map05212	LOC107069438
pd	map05213	LOC107069438
pd	map05214	LOC107069438
pd	map05215	LOC107069438
pd	map05218	LOC107069438
pd	map05220	LOC107069438
pd	map05221	LOC107069438
pd	map05222	LOC107069438
pd	map05223	LOC107069438
pd	map05224	LOC107069438
pd	map05225	LOC107069438
pd	map05226	LOC107069438
pd	map05230	LOC107069438
pd	map05231	LOC107069438
pd	map05418	LOC107069438
pd	map05014	LOC107069439
pd	map04141	LOC107069442
pd	map00270	LOC107069443
pd	map00920	LOC107069443
pd	map01100	LOC107069443
pd	map01120	LOC107069443
pd	map04122	LOC107069443
pd	map00562	LOC107069450
pd	map01100	LOC107069450
pd	map03050	LOC107069450
pd	map04011	LOC107069450
pd	map04070	LOC107069450
pd	map04072	LOC107069450
pd	map04139	LOC107069450
pd	map04144	LOC107069450
pd	map04666	LOC107069450
pd	map04810	LOC107069450
pd	map05169	LOC107069450
pd	map05231	LOC107069450
pd	map03010	LOC107069451
pd	map04144	LOC107069457
pd	map04630	LOC107069457
pd	map03013	LOC107069467
pd	map00071	LOC107069468
pd	map00592	LOC107069468
pd	map01040	LOC107069468
pd	map01100	LOC107069468
pd	map01110	LOC107069468
pd	map01212	LOC107069468
pd	map03320	LOC107069468
pd	map04024	LOC107069468
pd	map04146	LOC107069468
pd	map03013	LOC107069470
pd	map00514	LOC107069474
pd	map00515	LOC107069474
pd	map01100	LOC107069474
pd	map04013	LOC107069475
pd	map04624	LOC107069475
pd	map00230	LOC107069476
pd	map01100	LOC107069476
pd	map04024	LOC107069476
pd	map04371	LOC107069476
pd	map04713	LOC107069476
pd	map04714	LOC107069476
pd	map00730	LOC107069477
pd	map00740	LOC107069477
pd	map01100	LOC107069477
pd	map00730	LOC107069478
pd	map00740	LOC107069478
pd	map01100	LOC107069478
pd	map05016	LOC107069479
pd	map00563	LOC107069481
pd	map01100	LOC107069481
pd	map00010	LOC107069482
pd	map00020	LOC107069482
pd	map00310	LOC107069482
pd	map00620	LOC107069482
pd	map01100	LOC107069482
pd	map01110	LOC107069482
pd	map01120	LOC107069482
pd	map01130	LOC107069482
pd	map01200	LOC107069482
pd	map04066	LOC107069482
pd	map04922	LOC107069482
pd	map05230	LOC107069482
pd	map00514	LOC107069485
pd	map00515	LOC107069485
pd	map01100	LOC107069485
pd	map04024	LOC107069486
pd	map04740	LOC107069486
pd	map03013	LOC107069488
pd	map05134	LOC107069488
pd	map00565	LOC107069489
pd	map01100	LOC107069489
pd	map04146	LOC107069489
pd	map04217	LOC107069492
pd	map05034	LOC107069492
pd	map05322	LOC107069492
pd	map04310	LOC107069510
pd	map00072	LOC107069511
pd	map00650	LOC107069511
pd	map01100	LOC107069511
pd	map04210	LOC107069512
pd	map03015	LOC107069513
pd	map04144	LOC107069515
pd	map04152	LOC107069515
pd	map04530	LOC107069515
pd	map04972	LOC107069515
pd	map03008	LOC107069516
pd	map00010	LOC107069518
pd	map01100	LOC107069518
pd	map01110	LOC107069518
pd	map01120	LOC107069518
pd	map01130	LOC107069518
pd	map00531	LOC107069528
pd	map01100	LOC107069528
pd	map04142	LOC107069528
pd	map00531	LOC107069529
pd	map01100	LOC107069529
pd	map04142	LOC107069529
pd	map04727	LOC107069530
pd	map00900	LOC107069534
pd	map01100	LOC107069534
pd	map01110	LOC107069534
pd	map01130	LOC107069534
pd	map05165	LOC107069535
pd	map05200	LOC107069535
pd	map05224	LOC107069535
pd	map04150	LOC107069537
pd	map04310	LOC107069537
pd	map04390	LOC107069537
pd	map04550	LOC107069537
pd	map04916	LOC107069537
pd	map04934	LOC107069537
pd	map05165	LOC107069537
pd	map05166	LOC107069537
pd	map05200	LOC107069537
pd	map05205	LOC107069537
pd	map05217	LOC107069537
pd	map05224	LOC107069537
pd	map05225	LOC107069537
pd	map05226	LOC107069537
pd	map04013	LOC107069542
pd	map04310	LOC107069542
pd	map03018	LOC107069549
pd	map04260	LOC107069552
pd	map04261	LOC107069552
pd	map05200	LOC107069552
pd	map05206	LOC107069552
pd	map05216	LOC107069552
pd	map05410	LOC107069552
pd	map05414	LOC107069552
pd	map00620	LOC107069558
pd	map04015	LOC107069560
pd	map04145	LOC107069560
pd	map04210	LOC107069560
pd	map04390	LOC107069560
pd	map04391	LOC107069560
pd	map04510	LOC107069560
pd	map04520	LOC107069560
pd	map04530	LOC107069560
pd	map04611	LOC107069560
pd	map04670	LOC107069560
pd	map04714	LOC107069560
pd	map04745	LOC107069560
pd	map04810	LOC107069560
pd	map04919	LOC107069560
pd	map04921	LOC107069560
pd	map05100	LOC107069560
pd	map05110	LOC107069560
pd	map05130	LOC107069560
pd	map05131	LOC107069560
pd	map05132	LOC107069560
pd	map05164	LOC107069560
pd	map05205	LOC107069560
pd	map05225	LOC107069560
pd	map05410	LOC107069560
pd	map05412	LOC107069560
pd	map05414	LOC107069560
pd	map05416	LOC107069560
pd	map05418	LOC107069560
pd	map00270	LOC107069564
pd	map00330	LOC107069564
pd	map00410	LOC107069564
pd	map00480	LOC107069564
pd	map01100	LOC107069564
pd	map00310	LOC107069569
pd	map00130	LOC107069572
pd	map00360	LOC107069572
pd	map00940	LOC107069572
pd	map01100	LOC107069572
pd	map01110	LOC107069572
pd	map00534	LOC107069579
pd	map01100	LOC107069579
pd	map04020	LOC107069580
pd	map04218	LOC107069580
pd	map04621	LOC107069580
pd	map04020	LOC107069581
pd	map04218	LOC107069581
pd	map04621	LOC107069581
pd	map00600	LOC107069589
pd	map01100	LOC107069589
pd	map04071	LOC107069589
pd	map03050	LOC107069597
pd	map05169	LOC107069597
pd	map00561	LOC107069599
pd	map01100	LOC107069599
pd	map04972	LOC107069599
pd	map04975	LOC107069599
pd	map00052	LOC107069600
pd	map00460	LOC107069600
pd	map00500	LOC107069600
pd	map00940	LOC107069600
pd	map01100	LOC107069600
pd	map01110	LOC107069600
pd	map04973	LOC107069600
pd	map04360	LOC107069601
pd	map04142	LOC107069603
pd	map04979	LOC107069603
pd	map03010	LOC107069614
pd	map03008	LOC107069615
pd	map03013	LOC107069615
pd	map00480	LOC107069617
pd	map00980	LOC107069617
pd	map00982	LOC107069617
pd	map00983	LOC107069617
pd	map01524	LOC107069617
pd	map05200	LOC107069617
pd	map05204	LOC107069617
pd	map05225	LOC107069617
pd	map05418	LOC107069617
pd	map04714	LOC107069620
pd	map05202	LOC107069620
pd	map01522	LOC107069624
pd	map04330	LOC107069624
pd	map04919	LOC107069624
pd	map05169	LOC107069624
pd	map05202	LOC107069624
pd	map04010	LOC107069629
pd	map03015	LOC107069630
pd	map04970	LOC107069630
pd	map04138	LOC107069631
pd	map00510	LOC107069632
pd	map00513	LOC107069632
pd	map01100	LOC107069632
pd	map04714	LOC107069637
pd	map05225	LOC107069637
pd	map03460	LOC107069640
pd	map03015	LOC107069642
pd	map04142	LOC107069648
pd	map04144	LOC107069648
pd	map04721	LOC107069648
pd	map04961	LOC107069648
pd	map05016	LOC107069648
pd	map05100	LOC107069648
pd	map04136	LOC107069651
pd	map04138	LOC107069651
pd	map04140	LOC107069651
pd	map03040	LOC107069654
pd	map05202	LOC107069654
pd	map05205	LOC107069654
pd	map04080	LOC107069658
pd	map04934	LOC107069659
pd	map04668	LOC107069662
pd	map04912	LOC107069662
pd	map05206	LOC107069662
pd	map00770	LOC107069663
pd	map01100	LOC107069663
pd	map04714	LOC107069664
pd	map00040	LOC107069665
pd	map00531	LOC107069665
pd	map00860	LOC107069665
pd	map00944	LOC107069665
pd	map00983	LOC107069665
pd	map01100	LOC107069665
pd	map01110	LOC107069665
pd	map04142	LOC107069665
pd	map04137	LOC107069669
pd	map04150	LOC107069670
pd	map00630	LOC107069671
pd	map01100	LOC107069671
pd	map01110	LOC107069671
pd	map01130	LOC107069671
pd	map01200	LOC107069671
pd	map04330	LOC107069672
pd	map03013	LOC107069674
pd	map03015	LOC107069674
pd	map03040	LOC107069674
pd	map03008	LOC107069679
pd	map03013	LOC107069688
pd	map04142	LOC107069695
pd	map03013	LOC107069699
pd	map05169	LOC107069699
pd	map04013	LOC107069712
pd	map04214	LOC107069712
pd	map04320	LOC107069712
pd	map05202	LOC107069712
pd	map01524	LOC107069713
pd	map04978	LOC107069713
pd	map03013	LOC107069715
pd	map05162	LOC107069720
pd	map03008	LOC107069721
pd	map05205	LOC107069721
pd	map04010	LOC107069722
pd	map04062	LOC107069722
pd	map04144	LOC107069722
pd	map04340	LOC107069722
pd	map04740	LOC107069722
pd	map04926	LOC107069722
pd	map05032	LOC107069722
pd	map03008	LOC107069724
pd	map03013	LOC107069724
pd	map05166	LOC107069724
pd	map05169	LOC107069724
pd	map04210	LOC107069726
pd	map00190	LOC107069732
pd	map01100	LOC107069732
pd	map04145	LOC107069732
pd	map04150	LOC107069732
pd	map04721	LOC107069732
pd	map04966	LOC107069732
pd	map05110	LOC107069732
pd	map05120	LOC107069732
pd	map05323	LOC107069732
pd	map04010	LOC107069733
pd	map04022	LOC107069733
pd	map04137	LOC107069733
pd	map04141	LOC107069733
pd	map04151	LOC107069733
pd	map04210	LOC107069733
pd	map04211	LOC107069733
pd	map04212	LOC107069733
pd	map04214	LOC107069733
pd	map04261	LOC107069733
pd	map04668	LOC107069733
pd	map04720	LOC107069733
pd	map04722	LOC107069733
pd	map04725	LOC107069733
pd	map04728	LOC107069733
pd	map04911	LOC107069733
pd	map04912	LOC107069733
pd	map04915	LOC107069733
pd	map04918	LOC107069733
pd	map04922	LOC107069733
pd	map04925	LOC107069733
pd	map04926	LOC107069733
pd	map04927	LOC107069733
pd	map04932	LOC107069733
pd	map04934	LOC107069733
pd	map05030	LOC107069733
pd	map05031	LOC107069733
pd	map05034	LOC107069733
pd	map05161	LOC107069733
pd	map05166	LOC107069733
pd	map05203	LOC107069733
pd	map05215	LOC107069733
pd	map04138	LOC107069736
pd	map00770	LOC107069737
pd	map01100	LOC107069737
pd	map00190	LOC107069738
pd	map01100	LOC107069738
pd	map04714	LOC107069738
pd	map04723	LOC107069738
pd	map04932	LOC107069738
pd	map05010	LOC107069738
pd	map05012	LOC107069738
pd	map05016	LOC107069738
pd	map00513	LOC107069739
pd	map00532	LOC107069739
pd	map01100	LOC107069739
pd	map00190	LOC107069740
pd	map01100	LOC107069740
pd	map04714	LOC107069740
pd	map04723	LOC107069740
pd	map04932	LOC107069740
pd	map05010	LOC107069740
pd	map05012	LOC107069740
pd	map05016	LOC107069740
pd	map04360	LOC107069741
pd	map04130	LOC107069742
pd	map04721	LOC107069742
pd	map04911	LOC107069742
pd	map05031	LOC107069742
pd	map00010	LOC107069751
pd	map00270	LOC107069751
pd	map00620	LOC107069751
pd	map00640	LOC107069751
pd	map01100	LOC107069751
pd	map01110	LOC107069751
pd	map01120	LOC107069751
pd	map01130	LOC107069751
pd	map04922	LOC107069751
pd	map00010	LOC107069752
pd	map00270	LOC107069752
pd	map00620	LOC107069752
pd	map00640	LOC107069752
pd	map01100	LOC107069752
pd	map01110	LOC107069752
pd	map01120	LOC107069752
pd	map01130	LOC107069752
pd	map04922	LOC107069752
pd	map03015	LOC107069755
pd	map00051	LOC107069756
pd	map00520	LOC107069756
pd	map01100	LOC107069756
pd	map04621	LOC107069759
pd	map04626	LOC107069759
pd	map04142	LOC107069765
pd	map04214	LOC107069765
pd	map04390	LOC107069765
pd	map04391	LOC107069765
pd	map04392	LOC107069765
pd	map04142	LOC107069769
pd	map04214	LOC107069769
pd	map04390	LOC107069769
pd	map04391	LOC107069769
pd	map04392	LOC107069769
pd	map03008	LOC107069773
pd	map00230	LOC107069775
pd	map00240	LOC107069775
pd	map01100	LOC107069775
pd	map03020	LOC107069775
pd	map00062	LOC107069777
pd	map00140	LOC107069777
pd	map01040	LOC107069777
pd	map01100	LOC107069777
pd	map01110	LOC107069777
pd	map01212	LOC107069777
pd	map05202	LOC107069779
pd	map01524	LOC107069781
pd	map04010	LOC107069781
pd	map04115	LOC107069781
pd	map04210	LOC107069781
pd	map04214	LOC107069781
pd	map04215	LOC107069781
pd	map04217	LOC107069781
pd	map04620	LOC107069781
pd	map04621	LOC107069781
pd	map04622	LOC107069781
pd	map04624	LOC107069781
pd	map04650	LOC107069781
pd	map04657	LOC107069781
pd	map04668	LOC107069781
pd	map04726	LOC107069781
pd	map04932	LOC107069781
pd	map04933	LOC107069781
pd	map05010	LOC107069781
pd	map05012	LOC107069781
pd	map05014	LOC107069781
pd	map05016	LOC107069781
pd	map05120	LOC107069781
pd	map05133	LOC107069781
pd	map05134	LOC107069781
pd	map05142	LOC107069781
pd	map05145	LOC107069781
pd	map05146	LOC107069781
pd	map05152	LOC107069781
pd	map05161	LOC107069781
pd	map05165	LOC107069781
pd	map05167	LOC107069781
pd	map05168	LOC107069781
pd	map05200	LOC107069781
pd	map05203	LOC107069781
pd	map05205	LOC107069781
pd	map05206	LOC107069781
pd	map05210	LOC107069781
pd	map05222	LOC107069781
pd	map05416	LOC107069781
pd	map04658	LOC107069782
pd	map04930	LOC107069782
pd	map04950	LOC107069782
pd	map05202	LOC107069782
pd	map05321	LOC107069782
pd	map04621	LOC107069783
pd	map05418	LOC107069783
pd	map04974	LOC107069785
pd	map00140	LOC107069786
pd	map00590	LOC107069786
pd	map00591	LOC107069786
pd	map00981	LOC107069786
pd	map01100	LOC107069786
pd	map04212	LOC107069786
pd	map04726	LOC107069786
pd	map04750	LOC107069786
pd	map04913	LOC107069786
pd	map04142	LOC107069788
pd	map04721	LOC107069788
pd	map04723	LOC107069788
pd	map04724	LOC107069788
pd	map05033	LOC107069788
pd	map04721	LOC107069789
pd	map04612	LOC107069793
pd	map05152	LOC107069793
pd	map03022	LOC107069794
pd	map05016	LOC107069794
pd	map05165	LOC107069794
pd	map05166	LOC107069794
pd	map05168	LOC107069794
pd	map05169	LOC107069794
pd	map05203	LOC107069794
pd	map03010	LOC107069798
pd	map05132	LOC107069803
pd	map00280	LOC107069818
pd	map01100	LOC107069818
pd	map04141	LOC107069833
pd	map05206	LOC107069844
pd	map04013	LOC107069848
pd	map04310	LOC107069848
pd	map04330	LOC107069848
pd	map04120	LOC107069849
pd	map05164	LOC107069852
pd	map03040	LOC107069854
pd	map00020	LOC107069855
pd	map01100	LOC107069855
pd	map01110	LOC107069855
pd	map01120	LOC107069855
pd	map01130	LOC107069855
pd	map01200	LOC107069855
pd	map01210	LOC107069855
pd	map01230	LOC107069855
pd	map00562	LOC107069858
pd	map01100	LOC107069858
pd	map04070	LOC107069858
pd	map04136	LOC107069858
pd	map04138	LOC107069858
pd	map04140	LOC107069858
pd	map04145	LOC107069858
pd	map04371	LOC107069858
pd	map05152	LOC107069858
pd	map05167	LOC107069858
pd	map03008	LOC107069859
pd	map00030	LOC107069860
pd	map00260	LOC107069860
pd	map01100	LOC107069860
pd	map01110	LOC107069860
pd	map01130	LOC107069860
pd	map00860	LOC107069865
pd	map01100	LOC107069865
pd	map01110	LOC107069865
pd	map01120	LOC107069865
pd	map04110	LOC107069869
pd	map04111	LOC107069869
pd	map04113	LOC107069869
pd	map00010	LOC107069873
pd	map00562	LOC107069873
pd	map01100	LOC107069873
pd	map04010	LOC107069876
pd	map04014	LOC107069876
pd	map04015	LOC107069876
pd	map04022	LOC107069876
pd	map04066	LOC107069876
pd	map04068	LOC107069876
pd	map04072	LOC107069876
pd	map04150	LOC107069876
pd	map04151	LOC107069876
pd	map04152	LOC107069876
pd	map04211	LOC107069876
pd	map04212	LOC107069876
pd	map04213	LOC107069876
pd	map04520	LOC107069876
pd	map04910	LOC107069876
pd	map04913	LOC107069876
pd	map04923	LOC107069876
pd	map04930	LOC107069876
pd	map04931	LOC107069876
pd	map04932	LOC107069876
pd	map04960	LOC107069876
pd	map04142	LOC107069877
pd	map04360	LOC107069879
pd	map04514	LOC107069879
pd	map05200	LOC107069879
pd	map05210	LOC107069879
pd	map04714	LOC107069880
pd	map05225	LOC107069880
pd	map03460	LOC107069882
pd	map04110	LOC107069882
pd	map04115	LOC107069882
pd	map04214	LOC107069882
pd	map04218	LOC107069882
pd	map05165	LOC107069882
pd	map05166	LOC107069882
pd	map00564	LOC107069888
pd	map05231	LOC107069888
pd	map04320	LOC107069892
pd	map04138	LOC107069893
pd	map04138	LOC107069894
pd	map04725	LOC107069902
pd	map05231	LOC107069902
pd	map00010	LOC107069904
pd	map00020	LOC107069904
pd	map00620	LOC107069904
pd	map01100	LOC107069904
pd	map01110	LOC107069904
pd	map01120	LOC107069904
pd	map01130	LOC107069904
pd	map03320	LOC107069904
pd	map04068	LOC107069904
pd	map04151	LOC107069904
pd	map04152	LOC107069904
pd	map04910	LOC107069904
pd	map04920	LOC107069904
pd	map04922	LOC107069904
pd	map04931	LOC107069904
pd	map04964	LOC107069904
pd	map04142	LOC107069905
pd	map00601	LOC107069910
pd	map01100	LOC107069910
pd	map04714	LOC107069911
pd	map05230	LOC107069911
pd	map04013	LOC107069912
pd	map00981	LOC107069918
pd	map04310	LOC107069921
pd	map04390	LOC107069921
pd	map04520	LOC107069921
pd	map04916	LOC107069921
pd	map04934	LOC107069921
pd	map05165	LOC107069921
pd	map05200	LOC107069921
pd	map05210	LOC107069921
pd	map05213	LOC107069921
pd	map05215	LOC107069921
pd	map05216	LOC107069921
pd	map05217	LOC107069921
pd	map05221	LOC107069921
pd	map05224	LOC107069921
pd	map05225	LOC107069921
pd	map05226	LOC107069921
pd	map05412	LOC107069921
pd	map04918	LOC107069922
pd	map05200	LOC107069922
pd	map05202	LOC107069922
pd	map05216	LOC107069922
pd	map04138	LOC107069923
pd	map00970	LOC107069930
pd	map00250	LOC107069932
pd	map01100	LOC107069932
pd	map01110	LOC107069932
pd	map04013	LOC107069933
pd	map04320	LOC107069933
pd	map05202	LOC107069933
pd	map00230	LOC107069940
pd	map00240	LOC107069940
pd	map01100	LOC107069940
pd	map03020	LOC107069940
pd	map04623	LOC107069940
pd	map05016	LOC107069940
pd	map05169	LOC107069940
pd	map00250	LOC107069944
pd	map00410	LOC107069944
pd	map00430	LOC107069944
pd	map00650	LOC107069944
pd	map00770	LOC107069944
pd	map01100	LOC107069944
pd	map01110	LOC107069944
pd	map01120	LOC107069944
pd	map02024	LOC107069944
pd	map04727	LOC107069944
pd	map04940	LOC107069944
pd	map04340	LOC107069945
pd	map04918	LOC107069945
pd	map04979	LOC107069945
pd	map00220	LOC107069946
pd	map00250	LOC107069946
pd	map00710	LOC107069946
pd	map01100	LOC107069946
pd	map01120	LOC107069946
pd	map01200	LOC107069946
pd	map01210	LOC107069946
pd	map01230	LOC107069946
pd	map03050	LOC107069953
pd	map00510	LOC107069955
pd	map00920	LOC107069956
pd	map04140	LOC107069957
pd	map04144	LOC107069957
pd	map03010	LOC107069959
pd	map04072	LOC107069966
pd	map04144	LOC107069966
pd	map04721	LOC107069966
pd	map04961	LOC107069966
pd	map05100	LOC107069966
pd	map00512	LOC107069969
pd	map01100	LOC107069969
pd	map00563	LOC107069970
pd	map01100	LOC107069970
pd	map00480	LOC107069972
pd	map03010	LOC107069976
pd	map03013	LOC107069982
pd	map04330	LOC107069983
pd	map05010	LOC107069983
pd	map05120	LOC107069983
pd	map04066	LOC107069985
pd	map04120	LOC107069985
pd	map05200	LOC107069985
pd	map05211	LOC107069985
pd	map00600	LOC107069988
pd	map01100	LOC107069988
pd	map04071	LOC107069988
pd	map04919	LOC107069991
pd	map04330	LOC107069993
pd	map05010	LOC107069993
pd	map03040	LOC107069994
pd	map05168	LOC107069994
pd	map05202	LOC107070001
pd	map00970	LOC107070007
pd	map00052	LOC107070011
pd	map00500	LOC107070011
pd	map01100	LOC107070011
pd	map04974	LOC107070011
pd	map05016	LOC107070013
pd	map05410	LOC107070018
pd	map05414	LOC107070018
pd	map04530	LOC107070021
pd	map04960	LOC107070021
pd	map05165	LOC107070021
pd	map04144	LOC107070022
pd	map00230	LOC107070023
pd	map04020	LOC107070023
pd	map04024	LOC107070023
pd	map04740	LOC107070023
pd	map04742	LOC107070023
pd	map04924	LOC107070023
pd	map04927	LOC107070023
pd	map04934	LOC107070023
pd	map05032	LOC107070023
pd	map00052	LOC107070024
pd	map00500	LOC107070024
pd	map01100	LOC107070024
pd	map04974	LOC107070024
pd	map00052	LOC107070025
pd	map00500	LOC107070025
pd	map01100	LOC107070025
pd	map04974	LOC107070025
pd	map00052	LOC107070028
pd	map00500	LOC107070028
pd	map01100	LOC107070028
pd	map04974	LOC107070028
pd	map04010	LOC107070029
pd	map04020	LOC107070029
pd	map04022	LOC107070029
pd	map04024	LOC107070029
pd	map04218	LOC107070029
pd	map04260	LOC107070029
pd	map04261	LOC107070029
pd	map04270	LOC107070029
pd	map04530	LOC107070029
pd	map04713	LOC107070029
pd	map04723	LOC107070029
pd	map04724	LOC107070029
pd	map04725	LOC107070029
pd	map04726	LOC107070029
pd	map04727	LOC107070029
pd	map04728	LOC107070029
pd	map04911	LOC107070029
pd	map04912	LOC107070029
pd	map04921	LOC107070029
pd	map04924	LOC107070029
pd	map04925	LOC107070029
pd	map04927	LOC107070029
pd	map04930	LOC107070029
pd	map04934	LOC107070029
pd	map04973	LOC107070029
pd	map05010	LOC107070029
pd	map05031	LOC107070029
pd	map05410	LOC107070029
pd	map05412	LOC107070029
pd	map05414	LOC107070029
pd	map05206	LOC107070030
pd	map04320	LOC107070040
pd	map04013	LOC107070041
pd	map04115	LOC107070041
pd	map04120	LOC107070041
pd	map04310	LOC107070041
pd	map04141	LOC107070043
pd	map00790	LOC107070054
pd	map01100	LOC107070054
pd	map04110	LOC107070057
pd	map00062	LOC107070064
pd	map01040	LOC107070064
pd	map01110	LOC107070064
pd	map01212	LOC107070064
pd	map04138	LOC107070066
pd	map04140	LOC107070066
pd	map04141	LOC107070066
pd	map05160	LOC107070066
pd	map05162	LOC107070066
pd	map05164	LOC107070066
pd	map05168	LOC107070066
pd	map05169	LOC107070066
pd	map00240	LOC107070071
pd	map00970	LOC107070074
pd	map00600	LOC107070075
pd	map01100	LOC107070075
pd	map04071	LOC107070075
pd	map04138	LOC107070075
pd	map00230	LOC107070076
pd	map00240	LOC107070076
pd	map00983	LOC107070076
pd	map01100	LOC107070076
pd	map01110	LOC107070076
pd	map01130	LOC107070076
pd	map04016	LOC107070076
pd	map03050	LOC107070077
pd	map03010	LOC107070081
pd	map00030	LOC107070084
pd	map00710	LOC107070084
pd	map01100	LOC107070084
pd	map01110	LOC107070084
pd	map01120	LOC107070084
pd	map01130	LOC107070084
pd	map01200	LOC107070084
pd	map01230	LOC107070084
pd	map04010	LOC107070086
pd	map04013	LOC107070086
pd	map04014	LOC107070086
pd	map04015	LOC107070086
pd	map04024	LOC107070086
pd	map04062	LOC107070086
pd	map04071	LOC107070086
pd	map04145	LOC107070086
pd	map04151	LOC107070086
pd	map04310	LOC107070086
pd	map04360	LOC107070086
pd	map04370	LOC107070086
pd	map04380	LOC107070086
pd	map04510	LOC107070086
pd	map04520	LOC107070086
pd	map04530	LOC107070086
pd	map04620	LOC107070086
pd	map04650	LOC107070086
pd	map04662	LOC107070086
pd	map04664	LOC107070086
pd	map04666	LOC107070086
pd	map04670	LOC107070086
pd	map04722	LOC107070086
pd	map04810	LOC107070086
pd	map04932	LOC107070086
pd	map04933	LOC107070086
pd	map04972	LOC107070086
pd	map05014	LOC107070086
pd	map05100	LOC107070086
pd	map05120	LOC107070086
pd	map05131	LOC107070086
pd	map05132	LOC107070086
pd	map05167	LOC107070086
pd	map05200	LOC107070086
pd	map05203	LOC107070086
pd	map05205	LOC107070086
pd	map05210	LOC107070086
