term	gene
map02010	N13.HOG0000904
map04024	N13.HOG0000904
map04976	N13.HOG0000904
map01523	N13.HOG0000905
map02010	N13.HOG0000905
map04024	N13.HOG0000905
map04976	N13.HOG0000905
map01523	N13.HOG0000906
map02010	N13.HOG0000906
map04024	N13.HOG0000906
map04976	N13.HOG0000906
map01523	N13.HOG0000907
map02010	N13.HOG0000907
map04024	N13.HOG0000907
map04976	N13.HOG0000907
map04010	N13.HOG0000924
map04141	N13.HOG0000924
map04213	N13.HOG0000924
map04370	N13.HOG0000924
map05146	N13.HOG0000924
map05169	N13.HOG0000924
map05205	N13.HOG0000924
map00230	N13.HOG0000925
map04927	N13.HOG0000925
map04934	N13.HOG0000925
map05032	N13.HOG0000925
map04010	N13.HOG0000927
map04141	N13.HOG0000927
map04213	N13.HOG0000927
map04370	N13.HOG0000927
map05146	N13.HOG0000927
map05169	N13.HOG0000927
map05205	N13.HOG0000927
map04010	N13.HOG0000928
map04141	N13.HOG0000928
map04213	N13.HOG0000928
map04370	N13.HOG0000928
map05146	N13.HOG0000928
map05169	N13.HOG0000928
map05205	N13.HOG0000928
map04010	N13.HOG0000929
map04141	N13.HOG0000929
map04213	N13.HOG0000929
map04370	N13.HOG0000929
map05146	N13.HOG0000929
map05169	N13.HOG0000929
map05205	N13.HOG0000929
map04010	N13.HOG0000931
map04141	N13.HOG0000931
map04213	N13.HOG0000931
map04370	N13.HOG0000931
map05146	N13.HOG0000931
map05169	N13.HOG0000931
map05205	N13.HOG0000931
map04080	N13.HOG0000939
map04724	N13.HOG0000939
map00230	N13.HOG0000946
map00900	N13.HOG0000953
map01130	N13.HOG0000953
map00480	N13.HOG0000977
map01100	N13.HOG0000977
map04614	N13.HOG0000977
map04640	N13.HOG0000977
map00480	N13.HOG0000979
map01100	N13.HOG0000979
map04614	N13.HOG0000979
map04640	N13.HOG0000979
map00480	N13.HOG0000980
map01100	N13.HOG0000980
map04614	N13.HOG0000980
map04640	N13.HOG0000980
map00480	N13.HOG0000982
map01100	N13.HOG0000982
map04614	N13.HOG0000982
map04640	N13.HOG0000982
map00052	N13.HOG0000983
map00500	N13.HOG0000983
map01100	N13.HOG0000983
map04974	N13.HOG0000983
map00052	N13.HOG0000984
map00500	N13.HOG0000984
map01100	N13.HOG0000984
map04974	N13.HOG0000984
map00052	N13.HOG0000985
map00500	N13.HOG0000985
map01100	N13.HOG0000985
map04974	N13.HOG0000985
map00052	N13.HOG0000987
map00500	N13.HOG0000987
map01100	N13.HOG0000987
map04974	N13.HOG0000987
map00100	N13.HOG0000991
map00561	N13.HOG0000991
map00983	N13.HOG0000991
map01100	N13.HOG0000991
map04514	N13.HOG0000991
map04972	N13.HOG0000991
map04975	N13.HOG0000991
map00100	N13.HOG0000998
map00561	N13.HOG0000998
map01100	N13.HOG0000998
map04514	N13.HOG0000998
map04972	N13.HOG0000998
map04975	N13.HOG0000998
map04514	N13.HOG0001001
map04138	N13.HOG0001082
map04138	N13.HOG0001083
map04138	N13.HOG0001085
map04138	N13.HOG0001087
map04138	N13.HOG0001088
map00520	N13.HOG0001089
map01100	N13.HOG0001089
map00520	N13.HOG0001090
map01100	N13.HOG0001090
map00520	N13.HOG0001092
map01100	N13.HOG0001092
map00520	N13.HOG0001093
map01100	N13.HOG0001093
map04217	N13.HOG0001094
map05034	N13.HOG0001094
map05322	N13.HOG0001094
map04217	N13.HOG0001100
map05034	N13.HOG0001100
map05322	N13.HOG0001100
map00130	N13.HOG0001112
map01100	N13.HOG0001112
map01110	N13.HOG0001112
map05202	N13.HOG0001124
map05202	N13.HOG0001126
map00564	N13.HOG0001167
map00983	N13.HOG0001167
map01100	N13.HOG0001167
map04725	N13.HOG0001167
map00983	N13.HOG0001168
map01100	N13.HOG0001168
map00564	N13.HOG0001169
map00983	N13.HOG0001169
map01100	N13.HOG0001169
map04725	N13.HOG0001169
map05034	N13.HOG0001210
map05203	N13.HOG0001210
map05322	N13.HOG0001210
map00590	N13.HOG0001212
map00591	N13.HOG0001212
map00981	N13.HOG0001212
map01100	N13.HOG0001212
map04212	N13.HOG0001212
map04726	N13.HOG0001212
map04750	N13.HOG0001212
