term	gene
map05165	N13.HOG0002832
map05200	N13.HOG0002832
map05224	N13.HOG0002832
map03460	N13.HOG0002833
map04330	N13.HOG0002833
map04950	N13.HOG0002833
map05165	N13.HOG0002833
map05200	N13.HOG0002833
map05224	N13.HOG0002833
map04711	N13.HOG0002834
map04013	N13.HOG0002837
map00561	N13.HOG0002838
map00564	N13.HOG0002838
map01100	N13.HOG0002838
map01110	N13.HOG0002838
map04072	N13.HOG0002838
map04975	N13.HOG0002838
map00561	N13.HOG0002839
map00564	N13.HOG0002839
map01100	N13.HOG0002839
map01110	N13.HOG0002839
map04072	N13.HOG0002839
map04975	N13.HOG0002839
map00910	N13.HOG0002840
map00910	N13.HOG0002841
map00910	N13.HOG0002842
map00190	N13.HOG0002843
map01100	N13.HOG0002843
map04260	N13.HOG0002843
map04714	N13.HOG0002843
map04932	N13.HOG0002843
map05010	N13.HOG0002843
map05012	N13.HOG0002843
map05016	N13.HOG0002843
map04727	N13.HOG0002845
map04727	N13.HOG0002846
map04612	N13.HOG0002847
map04612	N13.HOG0002848
map05146	N13.HOG0002854
map03460	N13.HOG0002855
map05014	N13.HOG0002858
map05014	N13.HOG0002859
map04925	N13.HOG0002860
map04927	N13.HOG0002860
map04934	N13.HOG0002860
map04925	N13.HOG0002861
map04927	N13.HOG0002861
map04934	N13.HOG0002861
map00010	N13.HOG0002864
map00710	N13.HOG0002864
map01100	N13.HOG0002864
map01110	N13.HOG0002864
map01120	N13.HOG0002864
map01130	N13.HOG0002864
map01200	N13.HOG0002864
map01230	N13.HOG0002864
map04066	N13.HOG0002864
map05010	N13.HOG0002864
map00010	N13.HOG0002865
map00710	N13.HOG0002865
map01100	N13.HOG0002865
map01110	N13.HOG0002865
map01120	N13.HOG0002865
map01130	N13.HOG0002865
map01200	N13.HOG0002865
map01230	N13.HOG0002865
map04066	N13.HOG0002865
map05010	N13.HOG0002865
map00620	N13.HOG0002866
map00627	N13.HOG0002866
map01120	N13.HOG0002866
map00620	N13.HOG0002867
map00627	N13.HOG0002867
map01120	N13.HOG0002867
map04721	N13.HOG0002868
map04726	N13.HOG0002868
map04728	N13.HOG0002868
map05012	N13.HOG0002868
map05030	N13.HOG0002868
map05031	N13.HOG0002868
map05034	N13.HOG0002868
map04013	N13.HOG0002869
map04918	N13.HOG0002876
map04978	N13.HOG0002876
map04918	N13.HOG0002877
map04978	N13.HOG0002877
map01522	N13.HOG0002878
map04110	N13.HOG0002878
map04218	N13.HOG0002878
map04350	N13.HOG0002878
map04934	N13.HOG0002878
map05161	N13.HOG0002878
map05166	N13.HOG0002878
map05167	N13.HOG0002878
map05200	N13.HOG0002878
map05206	N13.HOG0002878
map05212	N13.HOG0002878
map05214	N13.HOG0002878
map05215	N13.HOG0002878
map05218	N13.HOG0002878
map05219	N13.HOG0002878
map05220	N13.HOG0002878
map05222	N13.HOG0002878
map05223	N13.HOG0002878
map05224	N13.HOG0002878
map05225	N13.HOG0002878
map05226	N13.HOG0002878
map01522	N13.HOG0002879
map04110	N13.HOG0002879
map04218	N13.HOG0002879
map04934	N13.HOG0002879
map05161	N13.HOG0002879
map05166	N13.HOG0002879
map05167	N13.HOG0002879
map05200	N13.HOG0002879
map05206	N13.HOG0002879
map05212	N13.HOG0002879
map05214	N13.HOG0002879
map05215	N13.HOG0002879
map05218	N13.HOG0002879
map05219	N13.HOG0002879
map05220	N13.HOG0002879
map05222	N13.HOG0002879
map05223	N13.HOG0002879
map05224	N13.HOG0002879
map05225	N13.HOG0002879
map05226	N13.HOG0002879
map00230	N13.HOG0002882
map00240	N13.HOG0002882
map01100	N13.HOG0002882
map03030	N13.HOG0002882
map03410	N13.HOG0002882
map03420	N13.HOG0002882
map03430	N13.HOG0002882
map03440	N13.HOG0002882
map05166	N13.HOG0002882
map00230	N13.HOG0002883
map00240	N13.HOG0002883
map01100	N13.HOG0002883
map03030	N13.HOG0002883
map03410	N13.HOG0002883
map03420	N13.HOG0002883
map03430	N13.HOG0002883
map03440	N13.HOG0002883
map05166	N13.HOG0002883
map04024	N13.HOG0002884
map04024	N13.HOG0002885
map03450	N13.HOG0002888
map03450	N13.HOG0002889
map03010	N13.HOG0002891
map04614	N13.HOG0002893
map04640	N13.HOG0002893
map04974	N13.HOG0002893
map05010	N13.HOG0002893
map04614	N13.HOG0002894
map04640	N13.HOG0002894
map04974	N13.HOG0002894
map05010	N13.HOG0002894
map04010	N13.HOG0002895
map04013	N13.HOG0002895
map04014	N13.HOG0002895
map04015	N13.HOG0002895
map04024	N13.HOG0002895
map04062	N13.HOG0002895
map04071	N13.HOG0002895
map04145	N13.HOG0002895
map04151	N13.HOG0002895
map04310	N13.HOG0002895
map04360	N13.HOG0002895
map04370	N13.HOG0002895
map04380	N13.HOG0002895
map04510	N13.HOG0002895
map04520	N13.HOG0002895
map04530	N13.HOG0002895
map04620	N13.HOG0002895
map04650	N13.HOG0002895
map04662	N13.HOG0002895
map04664	N13.HOG0002895
map04666	N13.HOG0002895
map04670	N13.HOG0002895
map04722	N13.HOG0002895
map04810	N13.HOG0002895
map04932	N13.HOG0002895
map04933	N13.HOG0002895
map04972	N13.HOG0002895
map05014	N13.HOG0002895
map05100	N13.HOG0002895
map05120	N13.HOG0002895
map05131	N13.HOG0002895
map05132	N13.HOG0002895
map05167	N13.HOG0002895
map05200	N13.HOG0002895
map05203	N13.HOG0002895
map05205	N13.HOG0002895
map05210	N13.HOG0002895
map05211	N13.HOG0002895
map05212	N13.HOG0002895
map05231	N13.HOG0002895
map05416	N13.HOG0002895
map05418	N13.HOG0002895
map04010	N13.HOG0002896
map04013	N13.HOG0002896
map04014	N13.HOG0002896
map04015	N13.HOG0002896
map04024	N13.HOG0002896
map04062	N13.HOG0002896
map04071	N13.HOG0002896
map04145	N13.HOG0002896
map04151	N13.HOG0002896
map04310	N13.HOG0002896
map04360	N13.HOG0002896
map04370	N13.HOG0002896
map04380	N13.HOG0002896
map04510	N13.HOG0002896
map04520	N13.HOG0002896
map04530	N13.HOG0002896
map04620	N13.HOG0002896
map04650	N13.HOG0002896
map04662	N13.HOG0002896
map04664	N13.HOG0002896
map04666	N13.HOG0002896
map04670	N13.HOG0002896
map04722	N13.HOG0002896
map04810	N13.HOG0002896
map04932	N13.HOG0002896
map04933	N13.HOG0002896
map04972	N13.HOG0002896
map05014	N13.HOG0002896
map05100	N13.HOG0002896
map05120	N13.HOG0002896
map05131	N13.HOG0002896
map05132	N13.HOG0002896
map05167	N13.HOG0002896
map05200	N13.HOG0002896
map05203	N13.HOG0002896
map05205	N13.HOG0002896
map05210	N13.HOG0002896
map05211	N13.HOG0002896
map05212	N13.HOG0002896
map05231	N13.HOG0002896
map05416	N13.HOG0002896
map05418	N13.HOG0002896
map01522	N13.HOG0002899
map04330	N13.HOG0002899
map04371	N13.HOG0002899
map04658	N13.HOG0002899
map04668	N13.HOG0002899
map05165	N13.HOG0002899
map05200	N13.HOG0002899
map05224	N13.HOG0002899
map04020	N13.HOG0002900
map04022	N13.HOG0002900
map04217	N13.HOG0002900
map04218	N13.HOG0002900
map05012	N13.HOG0002900
map05016	N13.HOG0002900
map05166	N13.HOG0002900
map04020	N13.HOG0002901
map04022	N13.HOG0002901
map04217	N13.HOG0002901
map04218	N13.HOG0002901
map05012	N13.HOG0002901
map05016	N13.HOG0002901
map05166	N13.HOG0002901
map04714	N13.HOG0002913
map05225	N13.HOG0002913
map04714	N13.HOG0002914
map05225	N13.HOG0002914
map05134	N13.HOG0002916
map05134	N13.HOG0002917
map04144	N13.HOG0002918
map04013	N13.HOG0002924
map04068	N13.HOG0002924
map04146	N13.HOG0002924
map04211	N13.HOG0002924
map04212	N13.HOG0002924
map04213	N13.HOG0002924
map05016	N13.HOG0002924
map03040	N13.HOG0002927
map03018	N13.HOG0002935
map03018	N13.HOG0002936
map00480	N13.HOG0002938
map00790	N13.HOG0002938
map00980	N13.HOG0002938
map00982	N13.HOG0002938
map00983	N13.HOG0002938
map01524	N13.HOG0002938
map05200	N13.HOG0002938
map05204	N13.HOG0002938
map05225	N13.HOG0002938
map05418	N13.HOG0002938
map00531	N13.HOG0002941
map01100	N13.HOG0002941
map04350	N13.HOG0002941
map00531	N13.HOG0002942
map01100	N13.HOG0002942
map04350	N13.HOG0002942
map04310	N13.HOG0002947
map04390	N13.HOG0002947
map04520	N13.HOG0002947
map04916	N13.HOG0002947
map04934	N13.HOG0002947
map05165	N13.HOG0002947
map05200	N13.HOG0002947
map05210	N13.HOG0002947
map05213	N13.HOG0002947
map05215	N13.HOG0002947
map05216	N13.HOG0002947
map05217	N13.HOG0002947
map05221	N13.HOG0002947
map05224	N13.HOG0002947
map05225	N13.HOG0002947
map05226	N13.HOG0002947
map05412	N13.HOG0002947
map01521	N13.HOG0002959
map01522	N13.HOG0002959
map04012	N13.HOG0002959
map04066	N13.HOG0002959
map04140	N13.HOG0002959
map04150	N13.HOG0002959
map04151	N13.HOG0002959
map04152	N13.HOG0002959
map04211	N13.HOG0002959
map04212	N13.HOG0002959
map04213	N13.HOG0002959
map04350	N13.HOG0002959
map04371	N13.HOG0002959
map04666	N13.HOG0002959
map04714	N13.HOG0002959
map04910	N13.HOG0002959
map04931	N13.HOG0002959
map05165	N13.HOG0002959
map05200	N13.HOG0002959
map05205	N13.HOG0002959
map05210	N13.HOG0002959
map05212	N13.HOG0002959
map05221	N13.HOG0002959
map05224	N13.HOG0002959
map05225	N13.HOG0002959
map05226	N13.HOG0002959
map05231	N13.HOG0002959
map01521	N13.HOG0002960
map01522	N13.HOG0002960
map04012	N13.HOG0002960
map04066	N13.HOG0002960
map04140	N13.HOG0002960
map04150	N13.HOG0002960
map04151	N13.HOG0002960
map04152	N13.HOG0002960
map04211	N13.HOG0002960
map04212	N13.HOG0002960
map04213	N13.HOG0002960
map04350	N13.HOG0002960
map04371	N13.HOG0002960
map04666	N13.HOG0002960
map04714	N13.HOG0002960
map04910	N13.HOG0002960
map04931	N13.HOG0002960
map05165	N13.HOG0002960
map05200	N13.HOG0002960
map05205	N13.HOG0002960
map05210	N13.HOG0002960
map05212	N13.HOG0002960
map05221	N13.HOG0002960
map05224	N13.HOG0002960
map05225	N13.HOG0002960
map05226	N13.HOG0002960
map05231	N13.HOG0002960
map04080	N13.HOG0002962
map05168	N13.HOG0002965
map05168	N13.HOG0002966
map05206	N13.HOG0002967
map05206	N13.HOG0002968
map04146	N13.HOG0002973
map04146	N13.HOG0002974
map00280	N13.HOG0002982
map01100	N13.HOG0002982
map01110	N13.HOG0002982
map01130	N13.HOG0002982
map05010	N13.HOG0002982
map00280	N13.HOG0002983
map01100	N13.HOG0002983
map01110	N13.HOG0002983
map01130	N13.HOG0002983
map05010	N13.HOG0002983
map00230	N13.HOG0002989
map00261	N13.HOG0002989
map00450	N13.HOG0002989
map00920	N13.HOG0002989
map01100	N13.HOG0002989
map01120	N13.HOG0002989
map01130	N13.HOG0002989
map00230	N13.HOG0002990
map00261	N13.HOG0002990
map00450	N13.HOG0002990
map00920	N13.HOG0002990
map01100	N13.HOG0002990
map01120	N13.HOG0002990
map01130	N13.HOG0002990
map04110	N13.HOG0002993
map04114	N13.HOG0002993
map04914	N13.HOG0002993
map05100	N13.HOG0002993
map05131	N13.HOG0002993
map03018	N13.HOG0002996
map04080	N13.HOG0002997
map04961	N13.HOG0002997
map04080	N13.HOG0002998
map04961	N13.HOG0002998
map03420	N13.HOG0003002
map03013	N13.HOG0003011
map05418	N13.HOG0003011
map03013	N13.HOG0003012
map05418	N13.HOG0003012
map04080	N13.HOG0003021
map01521	N13.HOG0003031
map03010	N13.HOG0003031
map04066	N13.HOG0003031
map04150	N13.HOG0003031
map04151	N13.HOG0003031
map04371	N13.HOG0003031
map04714	N13.HOG0003031
map04910	N13.HOG0003031
map05205	N13.HOG0003031
map00510	N13.HOG0003049
map01100	N13.HOG0003049
map00561	N13.HOG0003050
map01100	N13.HOG0003050
map04972	N13.HOG0003050
map04975	N13.HOG0003050
map04977	N13.HOG0003050
map00561	N13.HOG0003051
map01100	N13.HOG0003051
map04972	N13.HOG0003051
map04975	N13.HOG0003051
map04977	N13.HOG0003051
map04120	N13.HOG0003053
map04310	N13.HOG0003054
map04141	N13.HOG0003060
map03013	N13.HOG0003064
map05034	N13.HOG0003072
map05202	N13.HOG0003072
map05322	N13.HOG0003072
map03040	N13.HOG0003073
map05168	N13.HOG0003073
map03040	N13.HOG0003074
map05168	N13.HOG0003074
map00510	N13.HOG0003075
map00513	N13.HOG0003075
map01100	N13.HOG0003075
map04141	N13.HOG0003075
map04360	N13.HOG0003077
map04360	N13.HOG0003078
map00280	N13.HOG0003079
map00410	N13.HOG0003079
map00562	N13.HOG0003079
map00640	N13.HOG0003079
map01100	N13.HOG0003079
map01200	N13.HOG0003079
map00010	N13.HOG0003081
map00230	N13.HOG0003081
map00620	N13.HOG0003081
map01100	N13.HOG0003081
map01110	N13.HOG0003081
map01120	N13.HOG0003081
map01130	N13.HOG0003081
map01200	N13.HOG0003081
map01230	N13.HOG0003081
map04910	N13.HOG0003081
map04922	N13.HOG0003081
map04930	N13.HOG0003081
map04932	N13.HOG0003081
map04950	N13.HOG0003081
map05165	N13.HOG0003081
map05203	N13.HOG0003081
map05230	N13.HOG0003081
map00010	N13.HOG0003082
map00230	N13.HOG0003082
map00620	N13.HOG0003082
map01100	N13.HOG0003082
map01110	N13.HOG0003082
map01120	N13.HOG0003082
map01130	N13.HOG0003082
map01200	N13.HOG0003082
map01230	N13.HOG0003082
map04910	N13.HOG0003082
map04922	N13.HOG0003082
map04930	N13.HOG0003082
map04932	N13.HOG0003082
map04950	N13.HOG0003082
map05165	N13.HOG0003082
map05203	N13.HOG0003082
map05230	N13.HOG0003082
map00680	N13.HOG0003083
map01120	N13.HOG0003083
map01200	N13.HOG0003083
map00680	N13.HOG0003084
map01120	N13.HOG0003084
map01200	N13.HOG0003084
map00071	N13.HOG0003085
map00592	N13.HOG0003085
map01040	N13.HOG0003085
map01100	N13.HOG0003085
map01110	N13.HOG0003085
map01212	N13.HOG0003085
map03320	N13.HOG0003085
map04024	N13.HOG0003085
map04146	N13.HOG0003085
map04060	N13.HOG0003091
map04350	N13.HOG0003091
map04360	N13.HOG0003091
map04390	N13.HOG0003091
map05200	N13.HOG0003091
map05217	N13.HOG0003091
map03010	N13.HOG0003094
map00010	N13.HOG0003096
map00680	N13.HOG0003096
map01100	N13.HOG0003096
map01110	N13.HOG0003096
map01120	N13.HOG0003096
map01130	N13.HOG0003096
map01200	N13.HOG0003096
map01230	N13.HOG0003096
map03018	N13.HOG0003096
map04066	N13.HOG0003096
map00010	N13.HOG0003097
map00680	N13.HOG0003097
map01100	N13.HOG0003097
map01110	N13.HOG0003097
map01120	N13.HOG0003097
map01130	N13.HOG0003097
map01200	N13.HOG0003097
map01230	N13.HOG0003097
map03018	N13.HOG0003097
map04066	N13.HOG0003097
map03040	N13.HOG0003104
map00350	N13.HOG0003107
map00643	N13.HOG0003107
map01100	N13.HOG0003107
map01120	N13.HOG0003107
map00120	N13.HOG0003108
map01100	N13.HOG0003108
map03320	N13.HOG0003108
map04979	N13.HOG0003108
map03008	N13.HOG0003109
map03010	N13.HOG0003110
map04711	N13.HOG0003111
map04141	N13.HOG0003113
map05164	N13.HOG0003113
map04020	N13.HOG0003118
map04910	N13.HOG0003118
map04922	N13.HOG0003118
map04020	N13.HOG0003119
map04910	N13.HOG0003119
map04922	N13.HOG0003119
map04146	N13.HOG0003128
map03008	N13.HOG0003133
map03013	N13.HOG0003133
map03008	N13.HOG0003134
map04013	N13.HOG0003139
map03018	N13.HOG0003140
map03013	N13.HOG0003143
map00860	N13.HOG0003146
map05202	N13.HOG0003147
map03018	N13.HOG0003148
map04520	N13.HOG0003154
map04950	N13.HOG0003156
map04010	N13.HOG0003159
map00030	N13.HOG0003164
map00480	N13.HOG0003164
map01100	N13.HOG0003164
map01110	N13.HOG0003164
map01120	N13.HOG0003164
map01130	N13.HOG0003164
map01200	N13.HOG0003164
map05230	N13.HOG0003164
map00590	N13.HOG0003167
map00591	N13.HOG0003167
map01100	N13.HOG0003167
map04212	N13.HOG0003167
map04726	N13.HOG0003167
map04750	N13.HOG0003167
map04913	N13.HOG0003167
map04721	N13.HOG0003168
map04726	N13.HOG0003168
map04728	N13.HOG0003168
map05012	N13.HOG0003168
map05030	N13.HOG0003168
map05031	N13.HOG0003168
map05034	N13.HOG0003168
map00563	N13.HOG0003169
map01100	N13.HOG0003169
map04110	N13.HOG0003169
map04114	N13.HOG0003169
map04115	N13.HOG0003169
map04151	N13.HOG0003169
map04218	N13.HOG0003169
map04391	N13.HOG0003169
map04934	N13.HOG0003169
map05161	N13.HOG0003169
map05162	N13.HOG0003169
map05165	N13.HOG0003169
map05200	N13.HOG0003169
map05203	N13.HOG0003169
map05206	N13.HOG0003169
map05215	N13.HOG0003169
map05222	N13.HOG0003169
map05226	N13.HOG0003169
map04020	N13.HOG0003176
map04024	N13.HOG0003176
map04080	N13.HOG0003176
map04540	N13.HOG0003176
map04728	N13.HOG0003176
map05012	N13.HOG0003176
map05030	N13.HOG0003176
map05031	N13.HOG0003176
map05032	N13.HOG0003176
map05034	N13.HOG0003176
map04110	N13.HOG0003182
map04111	N13.HOG0003182
map04113	N13.HOG0003182
map04115	N13.HOG0003182
map04218	N13.HOG0003182
map05166	N13.HOG0003182
map05203	N13.HOG0003182
map00910	N13.HOG0003187
map00010	N13.HOG0003190
map00030	N13.HOG0003190
map00051	N13.HOG0003190
map00680	N13.HOG0003190
map00710	N13.HOG0003190
map01100	N13.HOG0003190
map01110	N13.HOG0003190
map01120	N13.HOG0003190
map01130	N13.HOG0003190
map01200	N13.HOG0003190
map01230	N13.HOG0003190
map00010	N13.HOG0003191
map00030	N13.HOG0003191
map00051	N13.HOG0003191
map00680	N13.HOG0003191
map00710	N13.HOG0003191
map01100	N13.HOG0003191
map01110	N13.HOG0003191
map01120	N13.HOG0003191
map01130	N13.HOG0003191
map01200	N13.HOG0003191
map01230	N13.HOG0003191
map04350	N13.HOG0003201
map00563	N13.HOG0003202
map01100	N13.HOG0003202
map04010	N13.HOG0003206
map04011	N13.HOG0003206
map04014	N13.HOG0003206
map04015	N13.HOG0003206
map04062	N13.HOG0003206
map04144	N13.HOG0003206
map04360	N13.HOG0003206
map04370	N13.HOG0003206
map04510	N13.HOG0003206
map04520	N13.HOG0003206
map04530	N13.HOG0003206
map04660	N13.HOG0003206
map04666	N13.HOG0003206
map04670	N13.HOG0003206
map04722	N13.HOG0003206
map04810	N13.HOG0003206
map04912	N13.HOG0003206
map04932	N13.HOG0003206
map04933	N13.HOG0003206
map05100	N13.HOG0003206
map05120	N13.HOG0003206
map05130	N13.HOG0003206
map05131	N13.HOG0003206
map05132	N13.HOG0003206
map05165	N13.HOG0003206
map05200	N13.HOG0003206
map05203	N13.HOG0003206
map05205	N13.HOG0003206
map05211	N13.HOG0003206
map05212	N13.HOG0003206
map04010	N13.HOG0003207
map04011	N13.HOG0003207
map04014	N13.HOG0003207
map04015	N13.HOG0003207
map04062	N13.HOG0003207
map04144	N13.HOG0003207
map04360	N13.HOG0003207
map04370	N13.HOG0003207
map04510	N13.HOG0003207
map04520	N13.HOG0003207
map04530	N13.HOG0003207
map04660	N13.HOG0003207
map04666	N13.HOG0003207
map04670	N13.HOG0003207
map04722	N13.HOG0003207
map04810	N13.HOG0003207
map04912	N13.HOG0003207
map04932	N13.HOG0003207
map04933	N13.HOG0003207
map05100	N13.HOG0003207
map05120	N13.HOG0003207
map05130	N13.HOG0003207
map05131	N13.HOG0003207
map05132	N13.HOG0003207
map05165	N13.HOG0003207
map05200	N13.HOG0003207
map05203	N13.HOG0003207
map05205	N13.HOG0003207
map05211	N13.HOG0003207
map05212	N13.HOG0003207
map05200	N13.HOG0003228
map05202	N13.HOG0003228
map05221	N13.HOG0003228
map05202	N13.HOG0003235
map05215	N13.HOG0003235
map05202	N13.HOG0003236
map05215	N13.HOG0003236
map00770	N13.HOG0003239
map01100	N13.HOG0003239
map04621	N13.HOG0003239
map04622	N13.HOG0003239
map04623	N13.HOG0003239
map05160	N13.HOG0003239
map05161	N13.HOG0003239
map05162	N13.HOG0003239
map05164	N13.HOG0003239
map05168	N13.HOG0003239
map00330	N13.HOG0003241
map01100	N13.HOG0003241
map01110	N13.HOG0003241
map01130	N13.HOG0003241
map00330	N13.HOG0003242
map01100	N13.HOG0003242
map01110	N13.HOG0003242
map01130	N13.HOG0003242
map00760	N13.HOG0003246
map01100	N13.HOG0003246
map04141	N13.HOG0003247
map04151	N13.HOG0003247
map04217	N13.HOG0003247
map04612	N13.HOG0003247
map04621	N13.HOG0003247
map04626	N13.HOG0003247
map04657	N13.HOG0003247
map04659	N13.HOG0003247
map04914	N13.HOG0003247
map04915	N13.HOG0003247
map05200	N13.HOG0003247
map05215	N13.HOG0003247
map05418	N13.HOG0003247
map04141	N13.HOG0003248
map04151	N13.HOG0003248
map04217	N13.HOG0003248
map04612	N13.HOG0003248
map04621	N13.HOG0003248
map04626	N13.HOG0003248
map04657	N13.HOG0003248
map04659	N13.HOG0003248
map04914	N13.HOG0003248
map04915	N13.HOG0003248
map05200	N13.HOG0003248
map05215	N13.HOG0003248
map05418	N13.HOG0003248
map00350	N13.HOG0003253
map01100	N13.HOG0003253
map04080	N13.HOG0003254
map03040	N13.HOG0003255
map03040	N13.HOG0003256
map04072	N13.HOG0003257
map04115	N13.HOG0003257
map04140	N13.HOG0003257
map04150	N13.HOG0003257
map04151	N13.HOG0003257
map04152	N13.HOG0003257
map04211	N13.HOG0003257
map04218	N13.HOG0003257
map04714	N13.HOG0003257
map04910	N13.HOG0003257
map04919	N13.HOG0003257
map05165	N13.HOG0003257
map05231	N13.HOG0003257
map04014	N13.HOG0003259
map03022	N13.HOG0003260
map00532	N13.HOG0003262
map04070	N13.HOG0003266
map04138	N13.HOG0003266
map04144	N13.HOG0003268
map04621	N13.HOG0003269
map00480	N13.HOG0003274
map00980	N13.HOG0003274
map00982	N13.HOG0003274
map00983	N13.HOG0003274
map01524	N13.HOG0003274
map05200	N13.HOG0003274
map05204	N13.HOG0003274
map05225	N13.HOG0003274
map05418	N13.HOG0003274
map04145	N13.HOG0003276
map04210	N13.HOG0003276
map04530	N13.HOG0003276
map04540	N13.HOG0003276
map05130	N13.HOG0003276
map04145	N13.HOG0003277
map04210	N13.HOG0003277
map04530	N13.HOG0003277
map04540	N13.HOG0003277
map05130	N13.HOG0003277
map03460	N13.HOG0003280
map00900	N13.HOG0003283
map01130	N13.HOG0003283
map00270	N13.HOG0003298
map01100	N13.HOG0003298
map00270	N13.HOG0003299
map01100	N13.HOG0003299
map01522	N13.HOG0003316
map04010	N13.HOG0003316
map04014	N13.HOG0003316
map04020	N13.HOG0003316
map04024	N13.HOG0003316
map04062	N13.HOG0003316
map04113	N13.HOG0003316
map04114	N13.HOG0003316
map04138	N13.HOG0003316
map04140	N13.HOG0003316
map04211	N13.HOG0003316
map04213	N13.HOG0003316
map04261	N13.HOG0003316
map04270	N13.HOG0003316
map04310	N13.HOG0003316
map04340	N13.HOG0003316
map04341	N13.HOG0003316
map04371	N13.HOG0003316
map04530	N13.HOG0003316
map04540	N13.HOG0003316
map04611	N13.HOG0003316
map04713	N13.HOG0003316
map04714	N13.HOG0003316
map04720	N13.HOG0003316
map04723	N13.HOG0003316
map04724	N13.HOG0003316
map04725	N13.HOG0003316
map04726	N13.HOG0003316
map04727	N13.HOG0003316
map04728	N13.HOG0003316
map04740	N13.HOG0003316
map04742	N13.HOG0003316
map04750	N13.HOG0003316
map04910	N13.HOG0003316
map04911	N13.HOG0003316
map04912	N13.HOG0003316
map04913	N13.HOG0003316
map04914	N13.HOG0003316
map04915	N13.HOG0003316
map04916	N13.HOG0003316
map04918	N13.HOG0003316
map04919	N13.HOG0003316
map04921	N13.HOG0003316
map04922	N13.HOG0003316
map04923	N13.HOG0003316
map04924	N13.HOG0003316
map04925	N13.HOG0003316
map04926	N13.HOG0003316
map04927	N13.HOG0003316
map04934	N13.HOG0003316
map04961	N13.HOG0003316
map04962	N13.HOG0003316
map04970	N13.HOG0003316
map04971	N13.HOG0003316
map04976	N13.HOG0003316
map05012	N13.HOG0003316
map05020	N13.HOG0003316
map05030	N13.HOG0003316
map05031	N13.HOG0003316
map05032	N13.HOG0003316
map05110	N13.HOG0003316
map05146	N13.HOG0003316
map05165	N13.HOG0003316
map05166	N13.HOG0003316
map05169	N13.HOG0003316
map05200	N13.HOG0003316
map05203	N13.HOG0003316
map05205	N13.HOG0003316
map05414	N13.HOG0003316
map04020	N13.HOG0003320
map04080	N13.HOG0003320
map04911	N13.HOG0003320
map04972	N13.HOG0003320
map00230	N13.HOG0003326
map00240	N13.HOG0003326
map00983	N13.HOG0003326
map01100	N13.HOG0003326
map01110	N13.HOG0003326
map01130	N13.HOG0003326
map04016	N13.HOG0003326
map04141	N13.HOG0003332
map03013	N13.HOG0003335
map04064	N13.HOG0003335
map04120	N13.HOG0003335
map05206	N13.HOG0003335
map04145	N13.HOG0003343
map04540	N13.HOG0003343
map05130	N13.HOG0003343
map04145	N13.HOG0003344
map04540	N13.HOG0003344
map05130	N13.HOG0003344
map04520	N13.HOG0003351
map04630	N13.HOG0003351
map04910	N13.HOG0003351
map04931	N13.HOG0003351
map00130	N13.HOG0003369
map00360	N13.HOG0003369
map00940	N13.HOG0003369
map01100	N13.HOG0003369
map01110	N13.HOG0003369
map00130	N13.HOG0003370
map00360	N13.HOG0003370
map00940	N13.HOG0003370
map01100	N13.HOG0003370
map01110	N13.HOG0003370
map00062	N13.HOG0003382
map00140	N13.HOG0003382
map01040	N13.HOG0003382
map01100	N13.HOG0003382
map01110	N13.HOG0003382
map01212	N13.HOG0003382
map00062	N13.HOG0003383
map00140	N13.HOG0003383
map01040	N13.HOG0003383
map01100	N13.HOG0003383
map01110	N13.HOG0003383
map01212	N13.HOG0003383
map01524	N13.HOG0003385
map04110	N13.HOG0003385
map04111	N13.HOG0003385
map04113	N13.HOG0003385
map04114	N13.HOG0003385
map04115	N13.HOG0003385
map04120	N13.HOG0003385
map04210	N13.HOG0003385
map04214	N13.HOG0003385
map04215	N13.HOG0003385
map05010	N13.HOG0003385
map05012	N13.HOG0003385
map05014	N13.HOG0003385
map05016	N13.HOG0003385
map05134	N13.HOG0003385
map05152	N13.HOG0003385
map05161	N13.HOG0003385
map05166	N13.HOG0003385
map05200	N13.HOG0003385
map05203	N13.HOG0003385
map05222	N13.HOG0003385
map04080	N13.HOG0003390
map04972	N13.HOG0003390
map04974	N13.HOG0003390
map05164	N13.HOG0003390
map04950	N13.HOG0003392
map04391	N13.HOG0003398
map04530	N13.HOG0003398
map00190	N13.HOG0003401
map01100	N13.HOG0003401
map02020	N13.HOG0003401
map04260	N13.HOG0003401
map04714	N13.HOG0003401
map04932	N13.HOG0003401
map05010	N13.HOG0003401
map05012	N13.HOG0003401
map05016	N13.HOG0003401
map00330	N13.HOG0003402
map01100	N13.HOG0003402
map04216	N13.HOG0003402
map04120	N13.HOG0003404
map04120	N13.HOG0003405
map04080	N13.HOG0003410
map04972	N13.HOG0003410
map04974	N13.HOG0003410
map05164	N13.HOG0003410
map00230	N13.HOG0003416
map00730	N13.HOG0003416
map01100	N13.HOG0003416
map01110	N13.HOG0003416
map01130	N13.HOG0003416
map00230	N13.HOG0003417
map00730	N13.HOG0003417
map01100	N13.HOG0003417
map01110	N13.HOG0003417
map01130	N13.HOG0003417
map03022	N13.HOG0003422
map05168	N13.HOG0003422
map05016	N13.HOG0003423
map05016	N13.HOG0003424
map03410	N13.HOG0003426
map00330	N13.HOG0003437
map01100	N13.HOG0003437
map00030	N13.HOG0003449
map00260	N13.HOG0003449
map00561	N13.HOG0003449
map00630	N13.HOG0003449
