XR_001475461.1	LOC107064227	LOC107064227
XR_001475460.1	LOC107064227	LOC107064227
XM_015316566.1	LOC107064169	LOC107064169
XM_015316593.1	LOC107064169	LOC107064169
XM_015316630.1	LOC107064169	LOC107064169
XM_015316625.1	LOC107064169	LOC107064169
XM_015316575.1	LOC107064169	LOC107064169
XM_015316617.1	LOC107064169	LOC107064169
XM_015316585.1	LOC107064169	LOC107064169
XM_015316608.1	LOC107064169	LOC107064169
XM_015316639.1	LOC107064169	LOC107064169
XM_015316600.1	LOC107064169	LOC107064169
XM_015316644.1	LOC107064169	LOC107064169
XM_015316546.1	LOC107064158	LOC107064158
XM_015316555.1	LOC107064158	LOC107064158
XM_015332665.1	LOC107072482	LOC107072482
XM_015332503.1	LOC107072482	LOC107072482
XM_015332585.1	LOC107072482	LOC107072482
XM_015331134.1	LOC107071655	LOC107071655
XM_015331047.1	LOC107071655	LOC107071655
XM_015330879.1	LOC107071655	LOC107071655
XM_015331391.1	LOC107071655	LOC107071655
XM_015331309.1	LOC107071655	LOC107071655
XM_015331222.1	LOC107071655	LOC107071655
XM_015331645.1	LOC107071655	LOC107071655
XM_015331558.1	LOC107071655	LOC107071655
XM_015331473.1	LOC107071655	LOC107071655
XM_015330962.1	LOC107071655	LOC107071655
XM_015331907.1	LOC107071655	LOC107071655
XM_015331825.1	LOC107071655	LOC107071655
XM_015331987.1	LOC107071655	LOC107071655
XM_015331734.1	LOC107071655	LOC107071655
XM_015332086.1	LOC107072269	LOC107072269
XM_015332218.1	LOC107072336	LOC107072336
XM_015332375.1	LOC107072336	LOC107072336
XM_015332294.1	LOC107072336	LOC107072336
XM_015332978.1	LOC107072717	LOC107072717
XM_015332907.1	LOC107072717	LOC107072717
XM_015333216.1	LOC107072883	LOC107072883
XM_015332789.1	LOC107072648	LOC107072648
XM_015333102.1	LOC107072822	LOC107072822
XM_015335123.1	LOC107074074	LOC107074074
XM_015335135.1	LOC107074082	LOC107074082
XM_015335050.1	LOC107074032	LOC107074032
XM_015335061.1	LOC107074032	LOC107074032
XM_015335054.1	LOC107074032	LOC107074032
XM_015335076.1	LOC107074032	LOC107074032
XM_015335109.1	LOC107074032	LOC107074032
XM_015335069.1	LOC107074032	LOC107074032
XM_015335085.1	LOC107074032	LOC107074032
XM_015335100.1	LOC107074032	LOC107074032
XM_015335090.1	LOC107074032	LOC107074032
XM_015335155.1	LOC107074088	LOC107074088
XM_015335147.1	LOC107074088	LOC107074088
XM_015335164.1	LOC107074088	LOC107074088
XM_015335174.1	LOC107074088	LOC107074088
XM_015335188.1	LOC107074105	LOC107074105
XM_015335198.1	LOC107074105	LOC107074105
XM_015335212.1	LOC107074112	LOC107074112
XM_015335238.1	LOC107074125	LOC107074125
XM_015335224.1	LOC107074116	LOC107074116
XM_015335249.1	LOC107074132	LOC107074132
XM_015317397.1	LOC107064581	LOC107064581
XM_015317407.1	LOC107064581	LOC107064581
XM_015317417.1	LOC107064581	LOC107064581
XM_015317426.1	LOC107064581	LOC107064581
XM_015317441.1	LOC107064597	LOC107064597
XM_015336332.1	LOC107074670	LOC107074670
XM_015336340.1	LOC107074670	LOC107074670
XM_015335722.1	LOC107074348	LOC107074348
XM_015335757.1	LOC107074348	LOC107074348
XM_015335739.1	LOC107074348	LOC107074348
XM_015335766.1	LOC107074348	LOC107074348
XM_015335713.1	LOC107074348	LOC107074348
XM_015335731.1	LOC107074348	LOC107074348
XM_015335706.1	LOC107074348	LOC107074348
XM_015335748.1	LOC107074348	LOC107074348
XM_015336352.1	LOC107074685	LOC107074685
XM_015336362.1	LOC107074693	LOC107074693
XM_015319583.1	LOC107065609	LOC107065609
XM_015319501.1	LOC107065609	LOC107065609
XM_015315657.1	LOC107063673	LOC107063673
XM_015315666.1	LOC107063673	LOC107063673
XM_015315638.1	LOC107063673	LOC107063673
XM_015315649.1	LOC107063673	LOC107063673
XM_015315631.1	LOC107063673	LOC107063673
XM_015315680.1	LOC107063696	LOC107063696
XM_015319789.1	LOC107063613	LOC107063613
XM_015318865.1	LOC107065295	LOC107065295
XM_015318852.1	LOC107065289	LOC107065289
XM_015315742.1	LOC107063717	LOC107063717
XM_015315733.1	LOC107063717	LOC107063717
XR_001475407.1	LOC107063734	LOC107063734
XM_015315755.1	LOC107063725	LOC107063725
XM_015315821.1	LOC107063753	LOC107063753
XM_015315809.1	LOC107063742	LOC107063742
XM_015315800.1	LOC107063742	LOC107063742
XM_015315777.1	LOC107063735	LOC107063735
XM_015315787.1	LOC107063735	LOC107063735
XM_015317771.1	LOC107064754	LOC107064754
XM_015317986.1	LOC107064846	LOC107064846
XM_015318042.1	LOC107064846	LOC107064846
XM_015317997.1	LOC107064846	LOC107064846
XM_015317946.1	LOC107064846	LOC107064846
XM_015317939.1	LOC107064846	LOC107064846
XM_015318015.1	LOC107064846	LOC107064846
XM_015317966.1	LOC107064846	LOC107064846
XM_015318007.1	LOC107064846	LOC107064846
