gene_id	gene_name	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
LOC127061349	LOC127061349	1823.38750986536	1771.16152839345	2252.5374194316	2276.69841525907	1904.72507190198	2235.38347785697	2284.07120502534	2331.57900587727	2804.98925253961	2947.76748303713	2026.05366292213	3348.71890151274	1677.89471784019	1418.11754683934	2487.45677302512	2303.774824928	2281.02535259575	2282.91040007137	2566.69884002429	2667.91398795791	2684.37277558967	2809.81407836904	2054.10660273494	1306.84313660217	2122.73066208805	1510.47993834823	1779.14461917956	2146.24472940825	2613.0761092253	4426.23769641501	2269.28753917634	2110.83998314854	3061.89743287214	2435.43169783508	2767.59858074564	1782.46313889697	3107.95543138222	1998.75816333899	1555.27907592378	1863.83275259591	1458.53149775884	3340.40478901311	3111.23293646629	2632.89993042567	1987.55014649184	2410.55305573084	2270.08199385875	1762.10890419618	2169.37417674473	1511.90742151924	1364.84391194911	1183.65103527018	3137.31225574699	3092.80607895712	3653.65625968643	3160.92295022169	3024.72304970496	2006.80807587896	2936.36935903499	2894.489841814	1275.64871468448	1664.12111222402	1488.81602405273	1422.93907657889	3696.97276850519	4664.71615813389
LOC127061350	LOC127061350	193.252309431118	217.61096506051	273.22762554664	400.390406526398	864.898267636821	750.832031643758	973.45108268052	1137.57557129538	1365.17954004096	1418.58046954031	191.07057310548	144.207604546948	255.431690612159	337.973503222081	585.167288516018	1023.56182148371	900.077160544154	1080.8892924777	1017.57037699718	232.847751160949	191.072836245514	358.625389744807	329.008392745802	406.799651158642	485.581910052617	504.436303072817	880.960841403406	847.677697799014	1071.80862587866	2471.30206304255	1064.02513454184	171.878924198001	162.998419069821	160.167347237042	234.360002971248	226.634785855643	636.710954213602	704.154152694607	512.282220118636	615.867689885939	466.80629888314	1254.26807671627	1122.43252880176	235.224932510133	198.615650906165	690.806838783029	271.228385218425	640.665595543008	829.266471383374	767.876679690692	717.26304910984	500.165972570298	2601.57501291733	2606.19468068113	310.560287318605	266.89651855713	585.030235196586	670.491995807481	728.026936716185	761.110859111136	508.108053624874	522.490194475375	476.407006148203	477.290241716909	2131.67660211343	2943.25375518331
LOC127061351	LOC127061351	1162.401271948	1321.44090602861	928.504561391787	714.789918693046	744.432866268618	730.032756883099	4004.04880123772	5032.51617335738	7155.65786620279	7863.55076958577	1226.02055363817	2473.3845576292	685.565243361535	782.617634646459	1736.32994263057	7845.97263715392	6109.69779599075	7633.85774186361	8345.41601861099	837.332738395381	691.383664309674	684.276026386931	757.976406301543	415.47634352817	361.805671212801	1743.39631109784	1594.79776538336	2461.28379695838	7043.78290309919	14697.0451978007	7807.77157143043	2425.7575389274	2427.91531477121	451.925768342899	587.568691423198	574.368590469196	657.830974056144	1100.08916558852	2821.64612090867	6091.58954005277	3084.9496599774	9675.65089933172	9843.63310905307	2356.68291693025	1347.90410954395	848.316531880699	635.773463694063	1146.5569048844	2094.01309567126	5004.86775619424	5109.15785872887	3086.11795963635	11303.9615913667	13950.5643589851	909.889651810348	977.721197455004	668.959402803494	1257.84726113029	1888.5611634518	3123.28799995242	2921.86269840708	3158.6583482901	4844.8048086453	3894.21376350555	15784.3495029802	13171.5245480017
LOC127061352	LOC127061352	242.33873167293	165.627817428222	64.0495060457999	88.9915369060393	76.4389285751092	77.5145258675751	88.4544338644754	158.431778954079	2217.44439589664	1523.54458925864	79.7399559109249	134.621763223111	57.2216355752201	66.2186513030108	31.8459083270147	102.231968102558	69.2353586699331	390.193908172804	960.014374751399	95.2945543996014	101.398995067535	101.764677116517	90.4179673019469	28.4869173064693	104.602777473494	38.8371965985446	745.529703700329	63.1509807251711	875.596534562394	3494.37173530293	870.829587209859	116.493405485316	139.183696402837	45.6121344373845	44.4391138765664	49.302207865097	96.2595972875353	28.2153940186896	28.0328142115245	35.145417153911	34.3595351086107	3293.66160002184	3086.64903394654	258.714755983672	115.74795627759	87.1734615678639	84.1415531670623	45.4308971430119	51.2579831314014	39.4515171930973	444.593002646093	18.9986274807007	1530.32612595831	1553.26575715154	156.801237884002	137.161954829152	101.33787361639	88.7713796226603	45.440725237211	68.6739731446184	18.7624642696138	21.8206197855613	28.1057453600014	48.8046260242186	5035.87816941314	3615.66932126637
LOC127061353	LOC127061353	364.058627938001	413.694308151942	179.915660189803	254.676196187656	843.501161932979	908.564790359241	1366.206273272	1647.58357918608	4333.15269843848	3833.86310513617	203.148911813988	265.424032548169	333.990089515261	345.313153372357	1170.27222741803	1307.56010049177	1347.18517458737	4150.95751833791	5362.90457175558	305.515576438424	311.221595862409	187.309129289014	211.80725879613	487.97917999069	406.805104320863	1020.21724974037	1144.43088242876	1101.5126933456	741.551257091527	1791.3302589375	3258.16685841887	302.24024922333	332.642367996572	203.150941051911	224.551556105248	211.007349543692	638.767604582078	750.977847773106	564.409471794314	439.886708994978	549.050652332973	1996.39614429024	963.23204355651	224.57042444599	393.572283532905	756.278320180425	165.635376454937	664.193029299168	1065.26020786268	931.262240729024	937.466555528642	254.999663327718	1117.05426657663	1485.72935099431	149.344379056199	170.263215799497	305.455038650635	739.514066400763	946.803375663407	787.844516344314	365.963016204904	548.478954228576	331.689298864716	427.471826986156	1787.36246439274	1812.99982555918
LOC127061354	LOC127061354	410.984248505614	605.269219556079	1168.08695504629	1366.14433670574	513.271273175035	544.574250508632	623.480841024057	702.400479420669	2595.87770892463	1745.7308133818	333.884087332085	371.034197798619	235.28256348041	538.938942132934	253.85804209392	755.322046244934	813.433305940896	1212.45354298595	1945.30598793702	233.016707135579	328.570014589756	530.983246034319	202.749819752631	1075.06637901584	455.602303373652	272.906544026679	283.169728817868	440.750344103728	801.935416518047	1613.40122292694	1246.94597064849	200.918977123237	734.228611100953	234.624517899161	552.123624168549	310.586199827061	904.631198258101	247.702723749644	153.444957060313	296.540837167076	183.372854945644	2468.02586192719	847.327091645745	700.28666289941	298.050942261391	1694.98540740813	363.429332510787	350.180740268219	1310.49014714857	302.381717199444	314.901738667705	107.754365906487	1932.01821320958	1529.75621261099	967.359602205329	1203.5713861997	729.975512820037	3364.81839068173	448.781144622113	2573.91086198463	149.32523169122	211.054202200057	242.11568238784	268.351470358047	1285.1630902916	2184.77604622155
LOC127061355	LOC127061355	267.735613479736	217.595650988099	236.119142903659	297.454441461477	209.470326835011	198.722225532722	184.761628394677	186.55821777308	181.043335065841	200.564414818807	258.273509901923	281.037717025648	229.88386681871	225.339526473443	183.25821719084	281.977628558104	205.443690470971	168.880852657052	204.994082533762	258.608011041123	311.585018421181	291.270029426826	219.562205767238	120.846198193522	169.98415606829	110.529461852573	118.059787952187	185.384293028451	274.424620006035	445.658944987276	204.835908777573	119.457768302348	239.917500916765	244.145200641525	202.000379724374	153.883818695522	330.448527158112	192.384470730138	151.139680655495	139.52294599542	174.623566695327	239.939029849593	289.226532191011	223.821656352109	215.11383236041	274.957767577168	272.982246888064	161.461264588595	207.974766317441	150.880072326023	202.160067022969	93.9732924794089	443.595303766471	394.736328271909	222.286284120721	136.132882893431	295.206352285681	285.105503286006	175.862881013821	200.211099860634	109.648160498712	123.995952332523	118.972655167751	107.563994391121	428.687518348555	635.882117143184
LOC127061356	LOC127061356	342.212215453231	518.267830573112	119.850514987702	157.114663809248	711.031783911476	751.566138497738	817.545263153497	939.965156019128	3936.01153699843	4556.5799825895	152.975320165016	128.754453420934	160.563175902385	160.204043356626	334.55187570991	900.906544812413	671.831803064201	3185.83082412766	4277.73408739932	200.698034128152	247.132928685269	112.104347801411	90.491202125636	242.091261966498	191.816391719476	477.262570362326	441.33372371067	507.797702025112	409.632560059799	3173.77225142485	2596.6955676977	282.267507801301	280.409157428079	289.523252128211	217.440529970862	360.176362647597	392.921463268218	395.156046913207	261.483760433902	240.776589710105	281.621657004005	1288.56534748086	1172.93804064489	233.068869793362	282.528024653194	251.763818400343	117.275462804279	542.815175943125	615.37443897967	374.300637200552	437.604358777438	82.6714196400087	1154.53290786896	1598.19301653745	63.4372808396448	82.6712879044603	133.472889172999	549.859801096658	438.052029680743	405.398298555383	240.296910309935	300.962837759654	149.593640233485	155.53959540827	1370.14861550883	1769.8381507561
LOC127061357	LOC127061357	3603.6675113517	3664.73887713549	3543.58100475944	5666.27368202125	15057.0324882101	17501.491612583	6324.11769097464	6595.93937749587	4600.81945905123	4529.88237310783	3210.08016179416	4788.243097542	4143.27833822612	3935.37922502979	29321.2154846199	5605.33016745194	5568.12488234022	4065.18342681209	4188.61033773701	4271.70022496457	5291.74703199788	6325.88641756994	5236.81430645641	11771.7952557756	5021.13167597652	61141.6794538252	20572.5210084323	6785.4018012818	7108.82975628699	6815.26883295921	3662.63162888446	2070.81827441037	5554.4095819521	2924.6290924434	3372.9372084441	3289.19681160943	5332.41194065972	35923.3373806243	37855.4359403385	3437.09367699164	4575.53526609677	5218.81057408173	5383.31647509627	4447.07933105519	2293.52335716238	9272.98047410797	3022.22543773802	9793.17657354796	11613.750670143	53276.8902805996	46716.5336292126	7347.38531119651	5765.21219473153	5618.0322033447	5894.30512098666	5505.61315043658	10145.0731487906	12956.2809156233	18736.0953814591	21404.7238311479	36887.334212338	45038.49738241	3534.39084915987	2661.73586897433	6961.23585349731	8449.83237725396
LOC127061358	LOC127061358	472.783089170965	444.638441922515	428.560294119826	219.67860710244	155.049654357088	147.607837318121	174.329697332424	173.852844888392	232.490673059184	370.535199954539	282.789498102715	476.411260580992	168.786190121585	167.545841505987	86.0696150587062	215.762550604081	213.550762408811	227.731252511401	209.292695550263	390.537684136795	402.888523893545	291.505846201817	334.830972391938	70.3590493993749	201.735625620814	71.3672341171153	184.243987599214	120.88723288488	734.145513426968	880.704831063255	191.4071952259	393.106307399562	477.8301040684	231.11364846934	244.85738380393	268.539355879241	344.795333411171	123.300645690026	96.5621453190352	211.45628064025	123.330036917036	724.991113509509	851.705956582828	430.308795563951	370.135720807961	183.009655886358	292.231401168482	121.166690521606	130.491990370219	121.975614639886	150.936396167244	102.007268017491	1159.27914158746	1103.22840803037	364.670312176613	358.350441301527	296.737322553969	172.0684352754	128.812882227531	129.359064023842	63.9778756099447	100.356491690477	217.567510217014	338.303476602272	818.70149675535	1243.34320865
LOC127061359	LOC127061359	1748.1257413231	1956.43506043491	2230.10825808973	1247.971250175	578.841463078523	600.972299970645	733.641395865639	732.707429029751	2036.38866107693	2134.92145171634	2413.78615305875	3594.12569753731	966.834497470049	876.614088020603	617.149607888786	1023.38071570299	853.668402543076	2422.65507424318	2110.51206794451	2171.71073733942	1934.71926108365	1228.5910180657	1814.79382285331	495.492351239014	801.700725050126	533.699405257302	618.527201588666	615.960645767675	1345.02928828623	2519.82178485798	2014.46527573285	2028.37623892339	2333.3329589447	2029.20090535868	1986.25827218544	2063.60786256986	1827.10016636818	643.659214802721	448.463551674553	630.138243265518	602.361855370901	2175.7673711031	1889.48280913851	1814.29380497505	1496.01322539528	1231.68863579924	1371.11927439545	557.009673435469	816.165151072837	634.647462469726	531.478040627665	384.018183404934	2497.22757720485	2453.69057076447	1774.58107355846	2074.43570153608	1669.53005176168	917.586178878683	926.832238321052	809.082539159598	452.798323401527	597.185750904033	647.869214968071	871.981772611285	2648.42405286878	2922.51625988115
LOC127061360	LOC127061360	270.00820018018	230.213081142466	124.312488083548	172.133870565683	650.451017523028	711.989810490292	765.582490027873	780.254144493101	1218.5318311194	1380.95654037142	138.367911643192	187.198343707799	146.26637820231	142.481039999983	505.57332753996	831.29970444151	779.704717026455	957.438363542205	1020.81032280745	194.192778600982	183.411187440769	206.246299564644	113.580388892178	218.683623800246	216.421631069165	403.89306262228	533.859474258785	551.666483507673	723.151129312334	1963.07657849139	811.085491983289	140.398594327448	122.222252595652	71.4801351336982	116.420683613855	130.515003899471	475.675499210457	400.430418912348	337.286164210495	552.39364596199	438.401931748848	913.884300953506	679.373941132533	231.765580788311	252.744524651737	693.486500610805	206.262069318782	652.921070016221	711.658722735403	630.550196830031	485.783144228332	387.931311406724	1182.52871686083	1165.21751577382	146.660097074208	153.310026245381	292.549873399432	609.314927294292	445.014058881916	392.354012698855	297.64452433451	290.960259751319	408.002581241081	454.931613140341	1609.14345854487	1602.90977073829
LOC127061361	LOC127061361	37.7572975951329	68.3562030193926	29.0110676417621	40.6688044023837	42.7120069294078	59.6330373314462	178.659200484963	199.539372879383	1550.18810425758	1872.65650914221	23.1903966358824	18.1208868180786	18.7581567381554	19.7779338376444	21.9033041451364	167.528444546165	85.1615230094049	894.276993526103	812.648138960722	23.1327463634338	32.4460995285223	36.9091340933955	11.9249100606421	16.7171933775294	28.8357586116385	24.9021728902464	123.064547436806	120.220820024342	232.850687545999	2187.56018143213	995.192717649548	26.5159137134507	39.2876534069088	36.4427958646139	12.9889148283633	50.2693949257731	87.3634658611975	22.1483328221528	17.0150403758308	64.3760203654723	55.1477393546032	506.853041100309	523.775789615779	57.4284121647111	42.5768470279604	57.9955098119938	44.0749176389101	27.1813146124812	33.1452884446828	29.6179421521942	118.48822251888	37.9893336035535	892.249710100238	963.976926005062	39.7812050672563	13.9137417718412	28.5603997977202	47.3943513467174	22.7423652789337	34.395194566536	13.8460601964891	21.8399804148652	15.9971523129695	49.8162278707835	615.983515750182	658.78677622704
LOC127061362	LOC127061362	166.209383348052	135.48736247548	193.125509982785	205.464583914039	272.493368945893	362.739485666665	314.110463867171	297.523421017641	414.315522261836	494.441261645481	132.904288370595	182.072792540133	96.4749031467303	115.155163057586	208.50928712417	197.847070350989	197.291450818141	560.515755962097	301.266262468372	249.983124222585	236.33071977399	265.407813216662	280.579332165503	162.034215100826	213.743672788353	227.320999454568	248.873963444886	262.618587693375	318.477952745602	429.904401462916	383.385541182211	253.136794927777	175.307335640172	146.402548261061	202.005649798901	127.392408109239	222.670382678321	269.621026551446	238.558683558078	276.761807056325	272.38739827525	449.385284008591	328.983924824311	207.062192686741	100.621763435609	203.100050315698	133.528977448322	244.202090873196	260.504745974315	231.529233181195	206.829605939914	233.950711238968	465.015494734531	452.235399594262	223.741385876567	248.911903774567	221.835998341908	278.640802754602	321.680624801646	240.443212244438	171.609190052521	198.428488292671	290.972006900016	317.747079481406	488.549871012666	503.676306894993
LOC127061363	LOC127061363	1070.92216131604	936.30009387745	954.844041052821	781.438072228619	493.062534719297	555.007330915581	351.526998278288	334.413794078538	765.556865515352	813.989862639479	880.591943870743	1358.00645858002	630.982586923671	589.200057422895	672.548726237472	450.689655338325	428.260330451352	669.706867932649	769.031157749362	938.866960064016	1192.3379760911	798.296955782503	1036.75912720035	416.870599128005	608.504659433038	599.658793607036	579.344961699153	437.217597833948	737.447449943202	1116.78058889933	614.745104453221	840.263531857969	890.386531942211	865.146278621985	970.778447182625	729.534854954903	882.724586964403	684.808672330942	511.399717462207	323.403329070938	366.568194378915	957.294390520514	916.507749700183	805.086366239401	882.633206530095	610.118046349854	826.248882624686	488.901696979835	537.482477629858	578.963430972177	487.029971399077	373.835934118423	863.495370893207	995.743173002109	1081.86559187631	1051.37906205948	1048.41756265537	546.570429843617	837.006650285435	844.017995130553	470.781856771097	653.75237447067	374.113563948225	347.342808958351	1053.71980738865	1103.49016695102
LOC127061364	LOC127061364	559.277502069807	508.691865770405	341.756323750615	766.437754564075	488.315205083203	470.595375981991	608.365784966788	699.979950230645	3591.78030832991	3587.94207743911	409.844473916106	543.620686094527	271.608440352099	351.722358703487	200.617116514845	895.039639540171	608.20896309249	2009.00507151002	3132.17122134274	349.207333480439	322.45327103485	531.827022623049	263.072192927361	292.170860334454	427.17729272078	315.783766903195	481.649236475936	407.536639154411	527.259781257043	5531.40714561661	2069.33402636752	306.744660863584	470.18453087569	209.176535041441	441.157236719403	221.045560089091	780.721901892161	356.052815550011	176.58097756559	270.752157557809	186.72535359394	3118.39347896934	2015.77233003934	540.232190653152	407.618145101444	1345.0935988622	466.307572126506	389.015405252256	517.494352838405	415.700296935238	577.874493902659	149.851126140914	3231.18229447264	3378.98677248281	444.507591633184	481.047981995238	354.521366387279	1873.50871831063	488.791127462198	674.765001919708	260.201218748069	322.916297747577	211.747234900948	215.559733934661	4159.81478686617	4600.44734479719
LOC127061365	LOC127061365	94.0834729777023	120.427144414387	43.9824748262288	51.7128396670532	30.8994530842222	17.9450809704069	30.0297116551802	26.0233133269838	170.884138655361	195.812042010671	45.2035876555799	83.253351796246	15.8607049985155	18.8564495937544	19.9665451340422	39.04695533081	43.0110692020711	89.1851692437392	86.1929596253882	74.2037530509367	38.295684172668	43.903575545483	68.67594286156	31.6443076605467	42.8316794392358	36.9312984282047	81.0517901811128	27.0098590948859	98.0088901172444	254.651064530101	133.48993309122	67.847627705471	74.2330448834439	25.191248431724	27.9608972320024	19.056287537813	23.8908219639644	21.07542153368	22.0135120700554	56.0491836528977	58.2093086024783	224.459363923426	196.954183066968	130.420149724936	52.4063503335837	18.8317676476736	46.3330319814774	17.0935464191159	21.0526279706501	32.8127865126074	50.7608760265051	33.9912686258581	281.497405474174	271.657027220145	70.6263423594408	115.404186444988	42.5695484659549	44.674812226242	40.7477664236485	32.6986909349642	35.8726045590217	45.8842611714387	50.0081391422054	86.877888881658	209.324883227132	235.553768418611
LOC127061366	LOC127061366	376.202464017239	307.459592539883	473.674335265587	397.524771840376	295.650106509692	226.90694123826	392.443040152937	431.50232874607	376.20347582755	423.589484852214	573.84201930625	397.774589963268	341.138622794113	354.300315532635	382.670132349511	610.734001297354	558.895231149376	260.617895055238	274.732369352894	573.309318428295	460.309495377583	538.918098635058	642.060945748665	360.87733904549	473.02791894425	384.570320867698	513.758936758699	501.984493880443	705.673690698758	565.330000976602	333.694154921362	325.896784820768	279.57654886251	306.38527957239	380.629987177883	227.481106675764	293.496631853638	378.856745461283	452.020210601021	480.761019321244	403.590918273405	452.708458686899	436.447724015026	354.325394440784	319.766182962028	356.993489366017	387.431886107198	215.44071888666	249.108524020191	382.003525597644	306.144143551052	503.582323450139	546.292192183591	498.517982045901	409.528105041764	494.135909058874	331.12748959207	291.570059918605	328.09298134728	257.60514794076	386.374112584057	405.82396677571	646.556416413435	637.588052448445	575.568485222424	579.10460157288
