tx	gene_id	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
XM_051013951.1	LOC127072993	0	1.143782	1.921792	0	0	0	1.521606	0	2.893238	8.295716	0	0.358315	0	2.776341	0	1.188899	0	14.030339	12.73872	0.539866	1.601021	0.296455	2.84335	1.648944	0.24148	1.395433	0	0	1.187215	0.533751	4.762327	0	0	0.57138	0.162616	0.993263	0.547848	0.844222	0.455116	0.434809	0.190804	2.365657	0.437497	0.803662	0	0.12119	0.43111	0	0	0	2.275846	0.661823	0.508512	0.429992	0.568936	0	0.304988	0.270995	2.78748	1.076408	0.485378	0.720111	0.37607	0.299038	1.233258	0
XM_051013973.1	LOC127073002	1295.157284	2433.544948	4786.815297	294.926467	2393.056084	2158.317402	1582.844631	1821.090457	2296.78164	1675.770979	2292.812323	59.401657	1158.83158	1928.429179	2575.642795	129.893174	406.636653	409.176407	1140.949597	342.571893	1447.522707	16.65753	2166.267086	2826.114574	13.362989	3408.60831	4703.861315	2445.799162	414.694075	2.316057	742.349459	438.861232	2926.280319	352.130744	20.933816	518.86426	206.826568	2284.846237	1450.046964	521.576999	892.874595	12.973863	0.890431	2019.047875	246.49423	82.104431	135.190401	1622.539044	2189.740101	4724.130565	7525.210886	2605.146008	1.413855	2.592446	569.238079	43.544138	121.530683	365.66681	1169.183157	1943.093222	2700.776128	3713.386329	1295.458308	467.028673	22.42123	1.101605
XR_007785646.1	LOC127073018	0.090796	0.214913	0.372083	0	0.32305	0.242379	0	0	0	0.066589	0.116575	0	0	0.264724	0	0	0	0.237423	0.131524	0.042789	0.041866	0	0.11984	0.271058	0	0.102906	0.178374	0	0	0	0.17794	0	0.279716	0	0	0	0	0.095086	0.056522	0.063652	0.272323	0	0	0.102043	0	0	0	0.03961	0.21066	0.11046	0.1385	0.072699	0.068713	0.065144	0.040392	0	0	0	0.090822	0.094224	0.121321	0.055759	0	0.061888	0	0
XM_051014184.1	LOC127073102	0.068828	0.146299	0.030692	0.061439	0.118544	0.0342	0.111893	0.409667	8.295253	12.760967	0.072689	0	0.027981	0.027747	0.062092	0.40117	0.134552	1.107327	3.063359	0.095865	0.047284	0.057644	0.014734	0.042382	0.028201	0.018953	0.176138	0.101252	0.166745	0.910524	2.001697	0	0.059874	0	0	0.014222	0.015855	0.053277	0.062855	0.047469	0.332618	14.50508	0.660838	0.045229	0.046219	0	0	0.088767	0.078428	0.060195	0.050199	0	0.177991	0.121206	0.059514	0.045159	0.014474	0.016997	0.03318	0.238875	0.066044	0.163104	0.050627	0.045568	1.636911	0.700517
XM_050989458.1	LOC127061937	0.040397	0	0.036651	0.073913	0.16331	0.082379	0.066527	55.294601	1016.584291	1219.314484	0	0	0	0	0.049816	0.074981	0.128297	22.594865	215.042503	0	0	0	0	0	0.033865	0	0.052687	0	0	0.516981	71.009903	0	0.035483	0	0	0.067689	0	0.168781	0.050095	0.056474	0.181467	71.043332	0.127067	0.071468	0	0	0	0	0.03737	0	0	0	0.060881	0.057777	0.035758	0	0	1.152405	0	0.207892	0.053556	0	0.303027	0.328698	6.763577	0.311149
XM_051013983.1	LOC127073010	1.480234	22.990865	3.744489	0.708226	34.495157	11.878458	0.389567	2.93574	34.63624	40.727717	0.829554	0.446379	12.385772	9.019401	1.127961	0.74555	0.337512	26.524183	19.254326	0.222468	1.861807	0.24128	22.899621	2.630304	0.413529	1.932593	3.624515	0.670305	14.739388	1.505032	32.793918	0.78151	2.874057	0.289673	0.242385	2.23847	0.775434	4.104379	0.759787	0.462816	0.355718	49.338927	1.255388	4.446844	0.642403	0.340234	0.598124	14.769021	12.960278	28.734761	32.620808	2.404081	2.377102	1.925477	2.078229	0.861509	0.405132	0.428246	15.903702	1.291998	1.6662	5.305926	0.494478	0.604746	9.964015	1.557439
XM_051013976.1	LOC127073005	225.443511	231.175186	495.243897	564.422902	393.951096	508.959873	98.929669	71.398604	4.075917	3.275365	838.176717	229.848179	422.290348	459.019989	126.451742	21.958215	40.257581	22.031392	7.138692	550.603484	267.826609	642.007943	689.81158	595.099888	550.276051	322.041245	235.384406	197.624001	29.216876	1.202175	9.637333	423.004884	196.204634	289.776686	207.806414	285.989485	160.010181	192.771918	181.17924	51.028168	214.213326	2.309801	0.997449	150.967032	439.026245	241.628651	455.85271	272.796381	203.520263	101.569271	96.640663	72.391254	0.445908	2.175512	364.751442	422.695676	264.705926	198.874292	173.774444	139.279122	93.475589	117.12461	33.861977	15.080282	1.800116	1.693146
XM_051013971.1	LOC127073000	0.331308	0.592274	0.578115	0.609182	8.762252	6.628278	29.458423	24.765783	6.669921	5.868136	1.186702	0.296982	1.586926	1.450725	2.264295	11.045081	6.638464	4.175584	6.366585	0.208163	0.108243	0.661001	0.443545	1.253948	1.302209	6.22258	7.627463	12.453147	8.484274	8.822239	4.609425	0.060411	0.133513	0.285825	0.303009	0.321722	1.268415	3.105451	8.823532	4.539524	6.622258	3.328616	4.302963	0.372401	0.645334	7.172162	1.55118	4.981317	7.331343	11.97833	15.970195	11.006505	14.604061	14.568523	0.70218	0.432651	3.360578	3.330875	6.220246	7.050451	3.769208	5.319763	6.827592	6.34167	4.347316	8.841465
XR_007785642.1	LOC127073014	0.568264	1.253961	0.480299	0.241954	0.076354	0.115557	0.311508	0.457001	6.071152	7.860071	0.323141	0.74864	0.094732	0.156409	0.139772	0.421239	0.240236	3.995225	4.862001	0.4979	0.627726	0.161415	0.397105	0.127928	0.06336	0.085217	0.098615	0.226051	0.251368	6.234642	4.935449	0.893174	0.731304	0.198044	0.282725	0.190156	0.24982	0.079039	0.093772	0.370191	0.226736	6.757284	6.477805	1.138209	0.818493	0.068713	0.249916	0.032925	0.139961	0.045563	0.057093	0.120585	4.443858	5.301264	0.334486	0.337719	0.130965	0.192334	0.225121	0.310663	0.050029	0	0	0.204967	7.551525	6.229871
XM_051013984.1	LOC127073011	108.615293	88.852489	40.109933	28.951593	243.645607	141.562037	357.257686	326.357572	0	0	30.943137	30.738956	11.542962	66.466605	97.372548	100.367839	252.310471	0.182847	0	63.932635	53.475747	53.696216	32.89397	114.489048	139.091218	135.499683	277.044887	410.378004	182.617163	0	0.359358	169.959327	29.633087	6.50147	7.886143	21.959376	23.086788	173.386236	86.031592	444.951019	149.286888	0.18944	0	10.697939	19.47962	34.540107	13.510183	62.102105	52.998009	92.606885	141.626477	260.618576	0.434753	0	6.091484	6.499353	38.342718	89.732786	58.858168	44.426692	112.373452	123.123353	194.649365	350.622669	0	0
